observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
2226,26.612055094954648,2176390979459,1,5.5706985294818878,5.4868,5.723136,1.7566,14563,0.001024,0.50688,,0.035328,0.165376,0,0.1472,0.036864,0.013568,,0.003072,,2.0864,2226,816,0,
2227,26.61734629393424,2176391034327,1,5.2911988459527493,6.2748,5.550336,1.7556,14539,0.001024,0.38118399999999997,,0.034816,0.163072,0.000256,0.14438399999999998,0.021759999999999998,0.013824,,0.004096,,2.097664,2227,817,0,
2228,26.622879095804986,2176391097075,1,5.5328020825982094,5.7263,5.281536,2.1976,14563,0.001024,0.350464,,0.034816,0.168704,0,0.150528,0.0076799999999999993,0.013568,,0.004352,,2.067456,2228,818,0,
2229,26.628596896258504,2176391154338,1,5.7178004644811153,5.6919,5.50784,1.9285,14539,0.001024,0.351232,,0.041471999999999995,0.167936,0,0.15001599999999998,0.007936,0.013056,,0.003584,,2.09024,2229,819,0,
2230,26.63435469812925,2176391211257,1,5.7578017003834248,5.2612,5.6896,2.1233,28047,0.001024,0.380928,,0.035072,0.16383999999999999,0.000256,0.145152,0.023039999999999998,0.014591999999999999,,0.003072,,2.08384,2230,820,0,
2231,26.64020359977324,2176391263869,1,5.8489018119871616,5.6687,5.734656,2.1091,14539,0.001024,0.379392,,0.034816,0.16255999999999998,0,0.14438399999999998,0.021504,0.013824,,0.0025599999999999998,,2.2976,2231,821,0,
2232,26.64591429988662,2176391320556,1,5.7107000611722469,5.6521,5.83424,1.9058,14563,0.001024,0.383744,,0.038144,0.154112,0,0.135936,0.023552,0.013056,,0.004096,,2.086656,2232,822,0,
2233,26.651675198412697,2176391377077,1,5.7608983479440212,5.8068,5.676032,2.0402,14539,0.0012799999999999999,0.476672,,0.034816,0.165632,0,0.1472,0.03712,0.014336,,0.003328,,2.323968,2233,823,0,
2234,26.657421995464851,2176391435145,1,5.7467971928417683,5.7087,5.750784,2.2797,14563,0.0012799999999999999,0.50892799999999994,,0.035072,0.165632,0,0.146944,0.036608,0.016128,,0.003072,,2.3114239999999997,2234,824,0,
2235,26.662949794501134,2176391492232,1,5.527799017727375,5.8331,5.723392,1.8128,14539,0.0012799999999999999,0.4992,,0.035072,0.163072,0,0.14438399999999998,0.021504,0.014591999999999999,,0.003584,,2.3198719999999997,2235,825,0,
2236,26.668711897675735,2176391550563,1,5.7621030136942863,5.5792,5.50272,1.8659,20492,0.001024,0.351232,,0.034816,0.1664,0,0.14848,0.007424,0.012799999999999999,,0.004096,,2.066432,2236,826,0,
2237,26.675006795634921,2176391606355,1,6.2948977574706078,5.838,5.74592,2.0637,14758,0.001024,0.349696,,0.034304,0.424448,0,0.40627199999999997,0.007936,0.014079999999999999,,0.0025599999999999998,,2.2901759999999998,2237,827,0,
2238,26.680612400793649,2176391664735,1,5.6056049652397633,5.501,6.278144,2.2903,14910,0.001024,0.38272,,0.034816,0.16614399999999999,0,0.147456,0.020735999999999997,0.012799999999999999,,0.003328,,2.628608,2238,828,0,
2239,26.686050694444443,2176391719745,1,5.4382937960326672,5.7217,5.575168,2.0957,20757,0.001024,0.381696,,0.03456,0.16512,0,0.146432,0.021248,0.014079999999999999,,0.003328,,2.073088,2239,829,0,
2240,26.691662996031745,2176391776962,1,5.6123016402125359,6.4336,5.353728,2.049,26565,0.001024,0.38527999999999996,,0.034816,0.159744,0,0.14207999999999998,0.022272,0.013824,,0.003584,,2.0689919999999997,2240,830,0,
2241,26.697629400510202,2176391841298,1,5.96640445291996,5.4322,5.650944,1.9937,14539,0.001024,0.47308799999999995,,0.041215999999999996,0.166912,0,0.148224,0.036608,0.013568,,0.003328,,2.077952,2241,831,0,
2242,26.703479095804987,2176391895620,1,5.849695298820734,5.6326,5.94304,2.4154,14563,0.001024,0.504064,,0.035328,0.16768,0,0.14976,0.036095999999999996,0.014848,,0.0038399999999999997,,2.355968,2242,832,0,
