observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
9959,76.9443479946145,2176894271855,1,6.4474986866116524,6.8488,6.755328,2.1559,14563,0.001024,0.36070399999999997,,0.035328,0.44057599999999997,0,0.15231999999999998,0.022528,0.013824,,0.003328,,3.236608,9959,787,0,
9960,76.95074849773242,2176894340343,1,6.4005032181739807,5.9325,6.432256,2.1655,14758,0.001024,0.361728,,0.035072,0.361216,0,0.140544,0.027648,0.015104,,0.003328,,2.764288,9960,788,0,
9961,76.957586196145115,2176894399668,1,6.8376986309885979,6.9282,6.386944,1.8056,14563,0.001024,0.45311999999999997,,0.03456,0.16614399999999999,0,0.14771199999999998,0.037376,0.013568,,0.003584,,2.356992,9961,789,0,
9962,76.963633900226753,2176894468950,1,6.0477042570710182,6.3856,6.805504,2.1198,14539,0.001024,0.484352,,0.034816,0.17049599999999998,0,0.151808,0.03712,0.013824,,0.002816,,2.8270079999999997,9962,790,0,
9963,76.970445797902485,2176894532806,1,6.811897736042738,6.5863,6.02752,1.8278,14563,0.0012799999999999999,0.362496,,0.035328,0.165632,0,0.1472,0.021504,0.013056,,0.003072,,2.371584,9963,791,0,
9964,76.977094997165523,2176894598669,1,6.6491994075477123,6.8075,6.79296,1.902,14539,0.001024,0.44595199999999996,,0.035072,0.16896,0,0.14976,0.019712,0.013568,,0.002304,,2.9775359999999997,9964,792,0,
9965,76.98347310090702,2176894666744,1,6.3781035132706165,6.235,6.626816,2.55,14563,0.001024,0.332032,,0.034816,0.169216,0.000256,0.150528,0.007936,0.013824,,0.003072,,2.9696,9965,793,0,
9966,76.990553599773236,2176894729094,1,7.0804990828037262,6.6353,6.348544,2.0332,14539,0.001024,0.393984,,0.035072,0.164096,0,0.145664,0.024064,0.014336,,0.004096,,2.64192,9966,794,0,
9967,76.996942998866217,2176894795447,1,6.38939905911684,6.5386,6.731776,2.0398,14563,0.001024,0.447488,,0.035072,0.165632,0,0.147456,0.021248,0.014591999999999999,,0.003328,,2.655232,9967,795,0,
9968,77.0033169005102,2176894860833,1,6.3739018514752388,6.4211,6.36672,1.9234,14591,0.0012799999999999999,0.363264,,0.034816,0.15616,0,0.137984,0.023295999999999997,0.013312,,0.0025599999999999998,,2.77248,9968,796,0,
9969,77.009893898809523,2176894925044,1,6.57699815928936,7.147,6.352896,2.1951,14765,0.001024,0.45568,,0.034816,0.16947199999999998,0,0.150784,0.037632,0.013312,,0.003328,,2.7243519999999997,9969,797,0,
9970,77.017010700113374,2176894996514,1,7.1168011054396629,6.3784,6.553344,2.5299,14539,0.001024,0.483328,,0.035328,0.167424,0,0.14848,0.036351999999999995,0.014079999999999999,,0.003328,,2.808064,9970,798,0,
9971,77.023437797619039,2176895060298,1,6.427097599953413,6.3937,7.108352,1.9723,14563,0.001024,0.36275199999999996,,0.041471999999999995,0.1664,0,0.1472,0.021759999999999998,0.013056,,0.003328,,2.714368,9971,799,0,
9972,77.030040497448979,2176895124235,1,6.6026998683810234,6.5847,6.4,2.0351,14539,0.001024,0.36275199999999996,,0.035072,0.1664,0.000256,0.147968,0.020224,0.015104,,0.0038399999999999997,,2.786304,9972,800,0,
9973,77.036515100623575,2176895190082,1,6.4746029675006866,7.0981,6.575616,2.2999,14563,0.001024,0.332032,,0.03456,0.167936,0,0.147968,0.004352,0.012544,,0.003072,,3.0143999999999997,9973,801,0,
9974,77.043183397108834,2176895261063,1,6.66829664260149,6.4367,6.452736,2.1228,14539,0.001024,0.393472,,0.034816,0.164352,0,0.146432,0.024064,0.013568,,0.003072,,2.35904,9974,802,0,
9975,77.049593494897962,2176895325430,1,6.4100977033376694,6.6108,6.643968,2.1215,14563,0.001024,0.36224,,0.03456,0.164352,0,0.14592,0.021504,0.013824,,0.002816,,2.9388799999999997,9975,803,0,
9976,77.056117594954642,2176895391538,1,6.5240999683737755,6.7027,6.382848,2.1604,14539,0.001024,0.364288,,0.035328,0.164352,0,0.14592,0.023039999999999998,0.014336,,0.003328,,2.876416,9976,804,0,
9977,77.062977699829929,2176895458565,1,6.8601048551499844,6.5245,6.460672,1.956,14563,0.001024,0.453632,,0.035072,0.41881599999999997,0,0.14592,0.044031999999999995,0.020224,,0.003328,,2.836224,9977,805,0,
9978,77.069616695011334,2176895523810,1,6.6389953717589378,6.4549,6.883072,2.105,14539,0.001024,0.48742399999999997,,0.041471999999999995,0.1664,0,0.148224,0.036608,0.015359999999999999,,0.002304,,2.856448,9978,806,0,
9979,77.076541298185944,2176895588359,1,6.924603134393692,6.7505,6.58816,1.9834,14563,0.0012799999999999999,0.36275199999999996,,0.034816,0.166912,0.000256,0.14848,0.020992,0.015616,,0.003584,,2.356224,9979,807,0,
9980,77.082300396825389,2176895655864,1,5.7590985670685768,6.4287,6.913792,1.8839,14539,0.0012799999999999999,0.363264,,0.035328,0.169216,0,0.15103999999999998,0.020224,0.015359999999999999,,0.002816,,2.563584,9980,808,0,
9981,77.089151700680276,2176895720151,1,6.8513038568198681,6.6157,5.758976,2.1682,14563,0.001024,0.332032,,0.035072,0.168448,0,0.15001599999999998,0.0076799999999999993,0.013568,,0.004096,,2.3500799999999997,9981,809,0,
9982,77.095711798469381,2176895786308,1,6.5600979141891,7.0222,6.834176,1.8364,14539,0.001024,0.393984,,0.035072,0.16947199999999998,0,0.15103999999999998,0.023808,0.013824,,0.0025599999999999998,,3.065344,9982,810,0,
9983,77.102217098922893,2176895856530,1,6.5053002908825874,5.6735,6.529024,2.1247,14782,0.001024,0.36352,,0.035072,0.167424,0.000256,0.148224,0.020735999999999997,0.014591999999999999,,0.003072,,2.677248,9983,811,0,
9984,77.109310196995466,2176895913265,1,7.0930980145931244,6.8472,6.485504,2.0908,14741,0.001024,0.363008,,0.037632,0.157696,0,0.138752,0.023552,0.012799999999999999,,0.003584,,2.592,9984,812,0,
9985,77.1159422973356,2176895981737,1,6.6321003250777721,6.7006,6.524416,2.0121,14563,0.0012799999999999999,0.45516799999999996,,0.0384,0.172544,0,0.15231999999999998,0.037376,0.018175999999999998,,0.0038399999999999997,,2.6009599999999997,9985,813,0,
9986,77.122513995181407,2176896048743,1,6.5716980025172234,6.4319,6.582272,2.4118,14539,0.001024,0.486656,,0.035072,0.16716799999999998,0.000256,0.149504,0.037888,0.014591999999999999,,0.002816,,3.156736,9986,814,0,
9987,77.128966595804982,2176896113062,1,6.452600471675396,7.1781,6.562816,2.0235,14563,0.001024,0.36147199999999996,,0.035072,0.168448,0,0.150528,0.021504,0.013056,,0.003072,,3.2762879999999996,9987,815,0,
9988,77.135338499149654,2176896184843,1,6.371903233230114,6.5271,6.426368,1.9023,14539,0.001024,0.364544,,0.03456,0.16947199999999998,0,0.15129599999999999,0.020479999999999998,0.014336,,0.003072,,2.931456,9988,816,0,
9989,77.142274794501134,2176896250114,1,6.936295423656702,6.5707,6.362624,2.4255,14563,0.001024,0.33228799999999997,,0.038655999999999996,0.169216,0,0.15001599999999998,0.007936,0.013312,,0.004352,,2.5973759999999997,9989,817,0,
9990,77.148309899376414,2176896315821,1,6.0351048596203327,6.4455,6.912256,1.8499,14539,0.001024,0.392704,,0.035072,0.4608,0,0.442112,0.023552,0.013056,,0.004096,,2.983936,9990,818,0,
9991,77.155202295918357,2176896380276,1,6.8923966027796268,6.4227,6.01088,1.9571,14563,0.001024,0.363264,,0.034816,0.16512,0,0.1472,0.020479999999999998,0.013824,,0.003584,,2.568704,9991,819,0,
9992,77.1614558956916,2176896444503,1,6.2535996548831463,6.8865,6.8608,1.935,14539,0.001024,0.450816,,0.035328,0.159488,0,0.140544,0.023295999999999997,0.013312,,0.0025599999999999998,,2.700288,9992,820,0,
9993,77.168220996315185,2176896513368,1,6.7651006393134594,6.4405,6.24256,2.1373,14563,0.001024,0.45568,,0.034816,0.165632,0,0.14668799999999999,0.036864,0.013056,,0.003072,,2.3603199999999998,9993,821,0,
9994,77.174936096938779,2176896577773,1,6.7151007242500782,6.5396,6.740224,2.002,14539,0.001024,0.48512,,0.034816,0.169984,0,0.151808,0.036608,0.013568,,0.002304,,2.87616,9994,822,0,
9995,77.18102760062358,2176896643169,1,6.0915038920938969,6.2026,6.595072,1.8465,20973,0.001024,0.363264,,0.034816,0.16768,0,0.149504,0.021248,0.013824,,0.0025599999999999998,,2.776576,9995,823,0,
9996,77.187552097505659,2176896705195,1,6.5244967117905617,6.7928,6.166016,1.9451,14539,0.001024,0.363264,,0.035072,0.169984,0,0.151552,0.019968,0.013824,,0.003072,,2.3567359999999997,9996,824,0,
9997,77.193753096655328,2176896773123,1,6.2009990215301514,7.2199,6.491392,1.8998,14563,0.0012799999999999999,0.33228799999999997,,0.035328,0.37888,0,0.36070399999999997,0.007936,0.012544,,0.0025599999999999998,,2.7448319999999997,9997,825,0,
9998,77.200581200396826,2176896845322,1,6.8281036801636219,5.8499,6.192384,2.0355,14539,0.001024,0.394752,,0.041471999999999995,0.164352,0,0.14592,0.027903999999999998,0.013824,,0.003584,,2.683392,9998,826,0,
9999,77.207142594954647,2176896903821,1,6.5613947808742523,6.8877,6.814464,2.2897,14615,0.0012799999999999999,0.36224,,0.038911999999999995,0.167424,0,0.14899199999999999,0.021759999999999998,0.014591999999999999,,0.0025599999999999998,,3.0192639999999997,9999,827,0,
10000,77.213876998299313,2176896972698,1,6.7344033159315586,5.7824,6.53184,2.0764,14741,0.001024,0.363008,,0.035328,0.16716799999999998,0,0.148736,0.024064,0.014336,,0.003072,,3.0108159999999997,10000,828,0,
10001,77.220927196712012,2176897030522,1,7.0501985028386116,6.6114,6.712576,2.0684,14563,0.001024,0.454912,,0.035072,0.16383999999999999,0.000256,0.145152,0.036608,0.013312,,0.003584,,2.358272,10001,829,0,
10002,77.227423596938777,2176897096636,1,6.4964001066982746,6.6639,7.03616,1.8531,14539,0.001024,0.48409599999999997,,0.035328,0.57087999999999994,0,0.55244799999999994,0.036864,0.015872,,0.0025599999999999998,,2.469376,10002,830,0,
10003,77.233273795351465,2176897163275,1,5.8501982130110264,6.6852,6.477056,1.8493,14563,0.001024,0.363008,,0.034816,0.172032,0,0.1536,0.021504,0.014336,,0.004096,,2.718976,10003,831,0,
10004,77.239943799603168,2176897230127,1,6.6700042225420475,7.0013,5.817344,1.7835,14539,0.001024,0.36352,,0.035072,0.16947199999999998,0,0.15103999999999998,0.019968,0.014336,,0.003072,,2.360832,10004,832,0,
10005,77.246679195011339,2176897300140,1,6.7353956401348114,6.4408,6.654208,2.128,14563,0.001024,0.3328,,0.040959999999999996,0.17024,0.000256,0.15129599999999999,0.005888,0.014848,,0.003584,,2.934528,10005,833,0,
10006,77.2534922973356,2176897364548,1,6.8131024017930031,5.8193,6.714624,2.136,14758,0.001024,0.47692799999999996,,0.041215999999999996,0.172032,0.000256,0.15334399999999998,0.023552,0.015104,,0.003072,,2.610944,10006,834,0,
