case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"bnd4_b","completed_with_warnings","frame_interval_ms",780,780,6.4072492532432079,7.0650014095008373,3.9160996675491333,15.063903294503689
0,"bnd4_b","completed_with_warnings","cpu_frame_ms",780,780,6.4158500000000007,7.2608,3.5982,15.0649
0,"bnd4_b","completed_with_warnings","gpu_frame_ms",780,780,6.37312,6.989824,5.59104,7.686912
0,"bnd4_b","completed_with_warnings","cpu_render_thread_ms",780,780,2.0564,2.4919,1.646,3.8134
0,"bnd4_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",780,780,14563,17112,14539,67276
0,"bnd4_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",780,780,0.001024,0.0012799999999999999,0.001024,0.321024
0,"bnd4_b","completed_with_warnings","VSM.Allocate_gpu_ms",780,780,0.363776,0.4864,0.32972799999999997,0.683264
0,"bnd4_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",780,0,,,,
0,"bnd4_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",780,780,0.035072,0.04224,0.032768,0.498944
0,"bnd4_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",780,780,0.167424,0.36940799999999996,0.15488,0.812032
0,"bnd4_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",780,780,0,0.000256,0,0.000256
0,"bnd4_b","completed_with_warnings","VSM.PageCull_gpu_ms",780,780,0.14848,0.15616,0.135424,0.707328
0,"bnd4_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",780,780,0.022784,0.037376,0.003328,0.355328
0,"bnd4_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",780,780,0.014079999999999999,0.015872,0.011519999999999999,0.021759999999999998
0,"bnd4_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",780,0,,,,
0,"bnd4_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",780,780,0.003328,0.004352,0.002048,0.35328
0,"bnd4_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",780,0,,,,
0,"bnd4_b","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",780,780,2.609152,3.0241279999999997,2.169088,3.4769919999999996
