case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"bnd8_a","completed_with_warnings","frame_interval_ms",735,735,6.7978031001985073,7.4791028164327145,3.6165958736091852,14.099397696554661
0,"bnd8_a","completed_with_warnings","cpu_frame_ms",735,735,6.7753,7.6885,3.8659,14.4143
0,"bnd8_a","completed_with_warnings","gpu_frame_ms",735,735,6.760448,7.394048,6.007808,7.880448
0,"bnd8_a","completed_with_warnings","cpu_render_thread_ms",735,735,2.0096,2.4513,1.5607,4.1062
0,"bnd8_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",735,735,14563,14810,14539,67252
0,"bnd8_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",735,735,0.001024,0.0012799999999999999,0.001024,0.43673599999999996
0,"bnd8_a","completed_with_warnings","VSM.Allocate_gpu_ms",735,735,0.362496,0.485888,0.326656,0.644608
0,"bnd8_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",735,0,,,,
0,"bnd8_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",735,735,0.035072,0.041984,0.034304,0.601344
0,"bnd8_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",735,735,0.167936,0.392704,0.1536,0.807936
0,"bnd8_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",735,735,0,0.000256,0,0.000256
0,"bnd8_a","completed_with_warnings","VSM.PageCull_gpu_ms",735,735,0.14848,0.155392,0.1344,0.527872
0,"bnd8_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",735,735,0.021504,0.037888,0.003328,0.308992
0,"bnd8_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",735,735,0.013824,0.016128,0.007936,0.022015999999999997
0,"bnd8_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",735,0,,,,
0,"bnd8_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",735,735,0.003328,0.004352,0.001792,0.460288
0,"bnd8_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",735,0,,,,
0,"bnd8_a","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",735,735,2.738432,3.1808,2.39104,3.571968
