observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
6958,56.815030399659861,2176692969920,1,7.13340425863862,7.7613,6.929408,3.8539,14539,0.001024,0.47615999999999997,,0.036095999999999996,0.17536,0,0.156416,0.020735999999999997,0.016384,,0.002048,,2.207488,6958,756,0,
6959,56.822244097222217,2176693047533,1,7.2136977687478065,6.9398,7.117824,3.4732,14563,0.0012799999999999999,0.38527999999999996,,0.035584,0.164352,0,0.145664,0.023552,0.012544,,0.0038399999999999997,,2.7412479999999997,6959,757,0,
6960,56.830685997732424,2176693116931,1,8.441900834441185,7.1129,7.190528,3.2501,14539,0.001024,0.38323199999999996,,0.035072,0.16255999999999998,0,0.144128,0.024064,0.016128,,0.003584,,3.3251839999999997,6960,758,0,
6961,56.838224695294784,2176693188060,1,7.5386976823210716,6.6798,8.313088,3.2486,14563,0.001024,0.59136,,0.035584,0.443648,0.000256,0.15692799999999998,0.043519999999999996,0.014848,,0.002304,,2.5090559999999997,6961,759,0,
6962,56.845905796485262,2176693254858,1,7.6811010949313641,7.3072,7.621632,2.499,14539,0.002816,0.623104,,0.041471999999999995,0.173568,0.000256,0.15488,0.037376,0.016384,,0.002304,,2.538496,6962,760,0,
6963,56.853792396541948,2176693327930,1,7.8865997493267059,8.1532,7.38816,3.0064,14563,0.001024,0.48153599999999996,,0.036095999999999996,0.17049599999999998,0.000256,0.151808,0.022015999999999997,0.016128,,0.002048,,2.5126399999999998,6963,761,0,
6964,56.860934098639454,2176693409462,1,7.141701877117157,7.7389,7.8784,2.9917,14539,0.001024,0.440832,,0.036095999999999996,0.1792,0,0.16025599999999998,0.27008,0.015872,,0.002048,,2.443008,6964,762,0,
6965,56.868761394557822,2176693486851,1,7.8272959217429161,7.8637,7.111168,2.3611,14782,0.001024,0.35225599999999996,,0.035072,0.165632,0,0.1472,0.0076799999999999993,0.015359999999999999,,0.0038399999999999997,,3.376384,6965,763,0,
6966,56.876109297052153,2176693565488,1,7.3479022830724716,7.2819,7.793664,3.6048,14591,0.001024,0.48,,0.036095999999999996,0.172288,0.000256,0.15334399999999998,0.018688,0.015872,,0.002304,,2.414848,6966,764,0,
6967,56.883039994331064,2176693638307,1,6.9306972436606884,8.1711,7.335936,2.7513,14563,0.001024,0.382208,,0.041728,0.17024,0,0.152064,0.022528,0.015616,,0.004352,,2.228992,6967,765,0,
6968,56.8907920989229,2176693720018,1,7.7521046623587608,7.0585,6.907392,1.9046,14539,0.001024,0.384768,,0.035072,0.164352,0,0.14592,0.023552,0.015104,,0.003584,,2.232576,6968,766,0,
6969,56.89773369472789,2176693790603,1,6.9415955804288387,6.6914,7.71968,2.1577,14765,0.001024,0.590336,,0.03584,0.174592,0,0.15564799999999998,0.036864,0.015616,,0.0025599999999999998,,2.8180479999999997,6969,767,0,
6970,56.904378698979592,2176693857517,1,6.6450042650103569,7.1536,6.925824,1.8543,14539,0.001024,0.505088,,0.035072,0.164608,0,0.146176,0.036864,0.015616,,0.003328,,3.1475199999999997,6970,768,0,
6971,56.911693594104307,2176693929053,1,7.3148952797055244,7.1524,6.618112,2.3081,14563,0.001024,0.474624,,0.03584,0.175872,0,0.157184,0.022015999999999997,0.016384,,0.002048,,2.4686079999999997,6971,769,0,
6972,56.918362195294783,2176694000577,1,6.6686011850833893,6.9884,7.297536,2.2714,14539,0.0012799999999999999,0.354304,,0.034816,0.16614399999999999,0,0.147456,0.0076799999999999993,0.013824,,0.003584,,2.435584,6972,770,0,
6973,56.924717396541951,2176694070461,1,6.3552013598382473,6.7073,6.640896,1.9986,14563,0.001024,0.44032,,0.041984,0.17792,0.000256,0.15872,0.007936,0.015616,,0.002304,,2.240512,6973,771,0,
6974,56.930703996598638,2176694137534,1,5.9866001829504967,7.4108,6.3296,2.7287,14539,0.368384,0.38579199999999997,,0.035072,0.16768,0,0.149504,0.019455999999999998,0.015872,,0.0025599999999999998,,2.207744,6974,772,0,
6975,56.93812410005669,2176694211642,1,7.4201035313308239,7.0677,5.96224,2.0046,14563,0.230144,0.389376,,0.035072,0.16512,0,0.146944,0.022784,0.016384,,0.003072,,2.2399999999999998,6975,773,0,
6976,56.944603394274374,2176694282319,1,6.4792940393090248,5.8484,7.398656,2.2692,14539,0.001024,0.38655999999999996,,0.034816,0.162304,0,0.143872,0.023295999999999997,0.015104,,0.003072,,2.7502079999999998,6976,774,0,
6977,56.951010494614508,2176694340803,1,6.4071002416312695,5.9121,6.455552,2.0211,14563,0.0012799999999999999,0.47487999999999997,,0.035328,0.170752,0,0.152576,0.037632,0.016384,,0.0025599999999999998,,2.22848,6977,775,0,
6978,56.957504095804985,2176694399924,1,6.4936010167002678,7.4101,6.38208,1.8918,14539,0.001024,0.504576,,0.040704,0.164352,0,0.146176,0.036864,0.014079999999999999,,0.003584,,2.2336,6978,776,0,
6979,56.96398359552154,2176694474025,1,6.4794998615980148,6.3903,6.48064,2.1133,14563,0.001024,0.385024,,0.035072,0.171008,0.000256,0.152832,0.022015999999999997,0.015616,,0.003584,,2.228992,6979,777,0,
6980,56.970493594104305,2176694537928,1,6.5099988132715225,6.4944,6.446336,1.8662,14539,0.001024,0.35276799999999997,,0.034816,0.16716799999999998,0,0.14848,0.011264,0.015359999999999999,,0.0038399999999999997,,2.230016,6980,778,0,
6981,56.977630697278911,2176694602872,1,7.1371030062437057,6.5379,6.487296,1.932,14563,0.001024,0.35072,,0.035072,0.169216,0,0.15129599999999999,0.0076799999999999993,0.014591999999999999,,0.004096,,2.586624,6981,779,0,
6982,56.983366695011334,2176694668251,1,5.7359975762665272,6.4226,7.113472,2.5894,14539,0.001024,0.49792,,0.034816,0.1664,0,0.14771199999999998,0.020735999999999997,0.014591999999999999,,0.0038399999999999997,,3.1208959999999997,6982,780,0,
6983,56.990534098639451,2176694732477,1,7.16740358620882,6.9246,5.709824,2.2015,14563,0.001024,0.38246399999999997,,0.034816,0.171264,0,0.153088,0.021759999999999998,0.017152,,0.003328,,2.2115839999999998,6983,781,0,
6984,56.9966420989229,2176694801723,1,6.1080004088580608,6.7071,7.148288,2.0712,14741,0.001024,0.38579199999999997,,0.034816,0.161024,0,0.142336,0.022528,0.01664,,0.0025599999999999998,,2.820608,6984,782,0,
6985,57.003851594387754,2176694868794,1,7.2094956412911415,5.6122,6.063616,2.0874,14563,0.001024,0.477184,,0.034816,0.16512,0,0.14668799999999999,0.036864,0.016128,,0.003584,,2.488832,6985,783,0,
6986,57.009832100340134,2176694924916,1,5.9805060736835,7.4743,7.205632,2.1032,14539,0.001024,0.507392,,0.035072,0.16486399999999998,0,0.146176,0.037376,0.016895999999999998,,0.003072,,3.220224,6986,784,0,
