case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"bnd8_b","completed_with_warnings","frame_interval_ms",701,701,6.9399024359881878,8.43149796128273,4.9858987331390381,28.348902240395546
0,"bnd8_b","completed_with_warnings","cpu_frame_ms",701,701,6.9434,8.7762,3.8685,22.0637
0,"bnd8_b","completed_with_warnings","gpu_frame_ms",701,701,6.87104,8.178688,0.038912,10.368512
0,"bnd8_b","completed_with_warnings","cpu_render_thread_ms",701,701,2.2451,3.1679,0.4171,5.0169
0,"bnd8_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",701,701,14563,20973,14539,911592
0,"bnd8_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",701,701,0.001024,0.0012799999999999999,0.000768,0.368384
0,"bnd8_b","completed_with_warnings","VSM.Allocate_gpu_ms",701,701,0.386304,0.59007999999999994,0.349696,0.748288
0,"bnd8_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",701,0,,,,
0,"bnd8_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",701,701,0.035072,0.042496,0.032256,0.753408
0,"bnd8_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",701,701,0.168448,0.434176,0.154112,0.82688
0,"bnd8_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",701,701,0,0.000256,0,0.007168
0,"bnd8_b","completed_with_warnings","VSM.PageCull_gpu_ms",701,701,0.14976,0.16,0.13568,0.80819199999999991
0,"bnd8_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",701,701,0.022015999999999997,0.038911999999999995,0.003328,0.839936
0,"bnd8_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",701,701,0.015616,0.017152,0.002048,0.417024
0,"bnd8_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",701,0,,,,
0,"bnd8_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",701,701,0.003072,0.004352,0.001792,0.650752
0,"bnd8_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",701,0,,,,
0,"bnd8_b","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",701,701,2.578176,3.29088,2.033152,3.9808
