observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
634,16.550220996315193,2176290336131,1,6.028302013874054,6.2493,6.498304,2.023,14539,0.001024,0.501248,,0.033791999999999996,0.15488,0,0.13696,0.03456,0.015104,,0.003328,,1.9345919999999999,634,633,0,
635,16.556281200396825,2176290398624,1,6.06020400300622,6.8835,6.002432,1.8778,14563,0.000768,0.379136,,0.039424,0.165376,0,0.146944,0.022015999999999997,0.013312,,0.003584,,1.921536,635,634,0,
636,16.562987896825398,2176290467459,1,6.7066964693367481,6.764,5.967616,2.0228,14539,0.001024,0.348416,,0.033535999999999996,0.43648,0,0.148224,0.008704,0.01792,,0.002304,,1.933312,636,635,0,
637,16.569757794784579,2176290535099,1,6.7698978818953037,5.9281,6.761216,1.9204,14563,0.001024,0.347136,,0.033535999999999996,0.16716799999999998,0,0.15001599999999998,0.0076799999999999993,0.014848,,0.0038399999999999997,,2.51136,637,636,0,
638,16.576105697278912,2176290594380,1,6.3479025848209858,6.0652,6.674432,1.8661,14741,0.001024,0.45696,,0.03328,0.16512,0,0.14771199999999998,0.007424,0.014336,,0.004096,,2.62528,638,637,0,
639,16.582499298469386,2176290655032,1,6.3936011865735054,6.5441,6.214656,2.1442,14563,0.001024,0.379648,,0.03328,0.16383999999999999,0,0.146176,0.020735999999999997,0.015359999999999999,,0.002304,,2.288128,639,638,0,
640,16.589399596088434,2176290720473,1,6.9002974778413773,6.6822,6.30528,2.1771,14758,0.001024,0.379136,,0.319488,0.161792,0,0.13824,0.022272,0.015616,,0.002816,,2.171648,640,639,0,
641,16.595935395408162,2176290787295,1,6.5357992425560951,6.3866,6.869504,2.1519,14563,0.001024,0.475136,,0.03328,0.459264,0.000256,0.4416,0.03712,0.014336,,0.0025599999999999998,,2.127872,641,640,0,
642,16.602057794784582,2176290851161,1,6.1223995871841908,6.6971,6.525184,2.1156,14539,0.001024,0.50047999999999992,,0.03328,0.15334399999999998,0,0.13568,0.036095999999999996,0.015359999999999999,,0.003584,,2.437888,642,641,0,
643,16.608861996882087,2176290918132,1,6.80420221760869,6.609,6.108416,1.9734,14563,0.001024,0.381696,,0.03328,0.16588799999999998,0,0.14848,0.021248,0.014336,,0.003328,,2.155264,643,642,0,
644,16.615125396825395,2176290984222,1,6.263399962335825,6.7618,6.777088,2.9775,14539,0.001024,0.35148799999999997,,0.033024,0.164096,0,0.146944,0.008192,0.014848,,0.002816,,2.4801279999999997,644,643,0,
645,16.621609800170067,2176291051840,1,6.4844032749533653,6.0416,6.121728,2.1038,14615,0.001024,0.455424,,0.033535999999999996,0.165376,0,0.14771199999999998,0.0076799999999999993,0.013824,,0.002816,,2.252032,645,644,0,
646,16.628044600340136,2176291112256,1,6.43480010330677,7.1243,6.64576,2.0146,14539,0.001024,0.35328,,0.039168,0.167424,0,0.14976,0.007424,0.012544,,0.0025599999999999998,,2.463232,646,645,0,
647,16.634119097222221,2176291183499,1,6.0744970105588436,6.0976,6.353152,2.0395,14563,0.001024,0.382208,,0.033791999999999996,0.16486399999999998,0,0.147456,0.020992,0.015872,,0.003328,,2.150144,647,646,0,
648,16.640988895975056,2176291244475,1,6.86979852616787,6.2324,6.049024,2.0331,14539,0.001024,0.38118399999999997,,0.03328,0.16768,0,0.150272,0.022015999999999997,0.014848,,0.0025599999999999998,,2.1396479999999998,648,647,0,
649,16.647686196145123,2176291306799,1,6.6973003558814526,6.9616,6.832896,2.1659,14563,0.001024,0.472576,,0.231424,0.164608,0,0.14540799999999998,0.037376,0.013824,,0.0038399999999999997,,2.121216,649,648,0,
650,16.65400759637188,2176291376415,1,6.32140040397644,5.9526,6.670848,2.2786,14539,0.001024,0.50227199999999994,,0.033791999999999996,0.16358399999999998,0,0.146176,0.035072,0.014848,,0.0025599999999999998,,2.3669759999999997,650,649,0,
651,16.660492800453515,2176291435941,1,6.4852042123675346,6.7452,6.370048,2.1504,14563,0.001024,0.381696,,0.033535999999999996,0.164352,0,0.146944,0.021504,0.015872,,0.003584,,2.540032,651,650,0,
652,16.666864597505668,2176291503393,1,6.3717970624566078,7.105,6.39104,2.3087,14539,0.001024,0.43135999999999997,,0.033024,0.17868799999999999,0,0.16025599999999998,0.0076799999999999993,0.015359999999999999,,0.002304,,2.5856,652,651,0,
653,16.673632893990931,2176291574443,1,6.7682964727282524,5.6868,6.35648,1.9945,14765,0.001024,0.351744,,0.03328,0.1664,0,0.148736,0.007424,0.015872,,0.004096,,2.430208,653,652,0,
654,16.68033259637188,2176291631311,1,6.6997022368013859,6.668,6.824704,2.1268,14539,0.001024,0.35148799999999997,,0.033535999999999996,0.162048,0,0.144896,0.0076799999999999993,0.015616,,0.0025599999999999998,,1.938432,654,653,0,
655,16.686581894841268,2176291697991,1,6.2492983415722847,6.3484,6.679296,2.1694,14563,0.001024,0.38144,,0.03328,0.89779199999999992,0,0.154112,0.027392,0.018175999999999998,,0.003072,,2.207488,655,654,0,
656,16.693599199263037,2176291761475,1,7.0173041895031929,6.7555,6.072064,1.896,14539,0.001024,0.378368,,0.03328,0.16383999999999999,0,0.14592,0.022784,0.011519999999999999,,0.004096,,1.922304,656,655,0,
657,16.7003797973356,2176291829030,1,6.780597846955061,6.5346,7.151872,1.9016,14563,0.001024,0.47308799999999995,,0.03328,0.163328,0,0.145664,0.036864,0.011519999999999999,,0.003328,,2.687488,657,656,0,
658,16.707003897392291,2176291894376,1,6.6241002641618252,7.0022,6.765568,2.3521,14539,0.001024,0.501248,,0.038911999999999995,0.1664,0,0.149248,0.035584,0.015104,,0.002816,,2.616832,658,657,0,
659,16.714309998582767,2176291964398,1,7.3061012662947178,6.209,6.605312,1.9961,14563,0.001024,0.49792,,0.03328,0.578048,0,0.14668799999999999,0.023552,0.01664,,0.002816,,1.9330559999999999,659,658,0,
660,16.720836196145125,2176292026488,1,6.5261977724730968,6.9085,7.199232,2.1355,14539,0.001024,0.35072,,0.03328,0.580096,0,0.154368,0.013568,0.009472,,0.004352,,2.19264,660,659,0,
661,16.727603096655329,2176292095573,1,6.7669004201889038,6.4807,6.59456,1.9364,14563,0.001024,0.350464,,0.03328,0.16,0,0.142592,0.003328,0.011519999999999999,,0.003584,,2.288128,661,660,0,
662,16.734506299603176,2176292160380,1,6.90320273861289,7.8479,6.74304,2.0398,14539,0.001024,0.35148799999999997,,0.03328,0.163328,0,0.14592,0.004096,0.011264,,0.004096,,2.5405439999999997,662,661,0,
663,16.740892899659862,2176292238859,1,6.3865999691188335,6.2774,6.893824,1.8764,61658,0.001024,0.378368,,0.033535999999999996,0.160768,0,0.143616,0.021504,0.015104,,0.0025599999999999998,,2.51648,663,662,0,
664,16.748361196145122,2176292301633,1,7.4682966805994511,6.6481,5.911296,2.3663,14539,0.001024,0.380928,,0.033535999999999996,0.160512,0,0.142848,0.022784,0.013824,,0.002816,,2.140416,664,663,0,
665,16.754953698979591,2176292368114,1,6.5925028175115585,6.8532,7.278592,1.8929,19661,0.0025599999999999998,0.59596799999999994,,0.03968,0.171264,0.000256,0.152576,0.03712,0.018688,,0.0025599999999999998,,2.292224,665,664,0,
666,16.761412400793649,2176292436646,1,6.4587020315229893,6.3406,6.637568,1.9531,14539,0.001024,0.50380799999999992,,0.033535999999999996,0.158208,0.000256,0.140544,0.034048,0.011776,,0.003328,,1.9258879999999998,666,665,0,
667,16.768126395975056,2176292500052,1,6.71399524435401,7.9691,6.554624,2.323,27121,0.001024,0.37862399999999996,,0.039168,0.16768,0,0.150528,0.021759999999999998,0.01664,,0.003072,,2.562048,667,666,0,
668,16.775214200680271,2176292579743,1,7.0878048427402973,6.0349,6.616832,1.8234,14741,0.001024,0.351744,,0.03328,0.166912,0,0.149248,0.0076799999999999993,0.016384,,0.0025599999999999998,,2.729216,668,667,0,
669,16.781467998866212,2176292640092,1,6.2537980265915394,6.8395,7.14496,2.1119,14563,0.001024,0.351744,,0.033791999999999996,0.16947199999999998,0.000256,0.152064,0.009472,0.015872,,0.002816,,2.24512,669,668,0,
670,16.78816849489796,2176292708487,1,6.7004961892962456,6.3379,6.158592,2.6661,17519,0.000768,0.351744,,0.033535999999999996,0.16512,0,0.147968,0.008192,0.014848,,0.002816,,2.2016,670,669,0,
671,16.79432899659864,2176292771866,1,6.1605018563568592,8.226,6.691584,1.8189,14563,0.001024,0.37862399999999996,,0.033535999999999996,0.16383999999999999,0,0.145664,0.026112,0.014591999999999999,,0.003072,,2.304512,671,670,0,
672,16.801299695294784,2176292854126,1,6.9706984795629978,5.3425,6.171648,2.183,14539,0.001024,0.38272,,0.03328,0.159488,0,0.142336,0.023039999999999998,0.016128,,0.004096,,1.9258879999999998,672,671,0,
