case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"legacy4_a","completed_with_warnings","frame_interval_ms",776,776,6.4602005295455456,6.95729861035943,5.6609977036714554,7.6026008464396
0,"legacy4_a","completed_with_warnings","cpu_frame_ms",776,776,6.4643999999999995,7.1913,4.8106,8.226
0,"legacy4_a","completed_with_warnings","gpu_frame_ms",776,776,6.41088,6.931456,5.673472,7.659776
0,"legacy4_a","completed_with_warnings","cpu_render_thread_ms",776,776,2.0388,2.5371,1.7259,2.9775
0,"legacy4_a","completed_with_warnings","gc_allocated_in_editor_frame_bytes",776,776,14563,17993,14539,67276
0,"legacy4_a","completed_with_warnings","VSM.LayoutRemap_gpu_ms",776,776,0.001024,0.001024,0.000768,0.275712
0,"legacy4_a","completed_with_warnings","VSM.Allocate_gpu_ms",776,776,0.38118399999999997,0.50432,0.346624,0.731648
0,"legacy4_a","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",776,0,,,,
0,"legacy4_a","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",776,776,0.033535999999999996,0.040448,0.032512,0.35481599999999996
0,"legacy4_a","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",776,776,0.165376,0.423936,0.15129599999999999,0.922624
0,"legacy4_a","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",776,776,0,0.000256,0,0.002048
0,"legacy4_a","completed_with_warnings","VSM.PageCull_gpu_ms",776,776,0.147456,0.161024,0.133632,0.692736
0,"legacy4_a","completed_with_warnings","VSM.StaticRaster_gpu_ms",776,776,0.021248,0.03712,0.003072,0.408576
0,"legacy4_a","completed_with_warnings","VSM.DynamicRaster_gpu_ms",776,776,0.015104,0.01664,0.004352,0.21273599999999998
0,"legacy4_a","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",776,0,,,,
0,"legacy4_a","completed_with_warnings","VSM.FinalizePages_gpu_ms",776,776,0.0031999999999999997,0.004352,0.002048,0.304128
0,"legacy4_a","completed_with_warnings","VSM.ResetFeedback_gpu_ms",776,0,,,,
0,"legacy4_a","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",776,776,2.215424,2.6711039999999997,1.920512,3.153152
