observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
11578,87.0118883999433,2176994970935,1,5.5281035602092743,6.4542,6.100992,2.0697,14539,0.000768,0.48563199999999995,,0.03968,0.163072,0,0.145664,0.036608,0.016128,,0.003328,,2.445312,11578,839,0,
11579,87.017965100623584,2176995035477,1,6.0767005197703838,6.4028,5.57568,1.8993,14765,0.001024,0.363264,,0.033535999999999996,0.387328,0,0.369664,0.021504,0.016384,,0.002816,,2.1578239999999997,11579,840,0,
11580,87.023716695011331,2176995099505,1,5.7515944354236126,5.8215,6.0544,1.7695,14539,0.001024,0.3328,,0.03328,0.164608,0,0.146944,0.0063999999999999994,0.013312,,0.002816,,2.449408,11580,841,0,
11581,87.029795897108841,2176995157720,1,6.079202052205801,5.3176,5.725184,2.0502,14563,0.001024,0.33408,,0.035072,0.165376,0,0.1472,0.011007999999999999,0.013056,,0.0038399999999999997,,2.131712,11581,842,0,
11582,87.035964498299322,2176995210896,1,6.1686011031270027,6.7459,6.062592,1.8937,14539,0.001024,0.33100799999999997,,0.034816,0.167936,0,0.147968,0.009216,0.012032,,0.002304,,2.1324799999999997,11582,843,0,
11583,87.041945393990929,2176995278355,1,5.9808958321809769,5.198,6.149888,2.174,14782,0.001024,0.36403199999999997,,0.035072,0.16588799999999998,0.000256,0.146944,0.024319999999999998,0.012799999999999999,,0.004352,,2.5041919999999998,11583,844,0,
11584,87.04855499574829,2176995330335,1,6.6096018999814987,5.7889,5.95456,1.8422,14539,0.001024,0.36224,,0.035072,0.171008,0.000256,0.15231999999999998,0.023039999999999998,0.013568,,0.0025599999999999998,,2.501632,11584,845,0,
11585,87.054943098072556,2176995388224,1,6.3881021924316883,6.3397,6.589184,1.8757,14563,0.0012799999999999999,0.546304,,0.042496,0.167936,0.000256,0.148224,0.036351999999999995,0.013568,,0.003072,,2.372864,11585,846,0,
11586,87.061076899092967,2176995451621,1,6.1338008381426334,5.9438,6.363136,1.9203,14539,0.0012799999999999999,0.485376,,0.034816,0.16486399999999998,0.000256,0.146432,0.03712,0.013824,,0.004096,,2.3754239999999998,11586,847,0,
11587,87.067211897675733,2176995511059,1,6.1349985189735889,6.711,6.112256,1.9348,14563,0.001024,0.364544,,0.035328,0.16716799999999998,0,0.148224,0.020992,0.013312,,0.0025599999999999998,,2.35776,11587,848,0,
