case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"legacy4_b","completed_with_warnings","frame_interval_ms",809,809,6.1548966914415359,6.7926021292805672,3.8582978304475546,16.934601590037346
0,"legacy4_b","completed_with_warnings","cpu_frame_ms",809,809,6.1348,6.8876,3.4847,15.5155
0,"legacy4_b","completed_with_warnings","gpu_frame_ms",809,809,6.114048,6.75328,5.24416,7.67616
0,"legacy4_b","completed_with_warnings","cpu_render_thread_ms",809,809,2.0087,2.4856,1.6332,4.0015
0,"legacy4_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",809,809,14563,15126,14539,67252
0,"legacy4_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",809,809,0.001024,0.0012799999999999999,0.000768,0.41164799999999996
0,"legacy4_b","completed_with_warnings","VSM.Allocate_gpu_ms",809,809,0.363264,0.486656,0.32767999999999997,0.60083199999999992
0,"legacy4_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",809,0,,,,
0,"legacy4_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",809,809,0.035072,0.042496,0.032512,0.555008
0,"legacy4_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",809,809,0.16768,0.36940799999999996,0.15334399999999998,0.67584
0,"legacy4_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",809,809,0,0.000256,0,0.001792
0,"legacy4_b","completed_with_warnings","VSM.PageCull_gpu_ms",809,809,0.14848,0.157184,0.13568,0.658176
0,"legacy4_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",809,809,0.021504,0.037632,0.003328,0.328704
0,"legacy4_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",809,809,0.013824,0.016128,0.002304,0.221184
0,"legacy4_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",809,0,,,,
0,"legacy4_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",809,809,0.003328,0.004352,0.001792,0.491008
0,"legacy4_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",809,0,,,,
0,"legacy4_b","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",809,809,2.3687679999999998,2.7714559999999997,1.940736,3.2550399999999997
