observation_frame,unscaled_time,frame_timing_timestamp,segment,"frame_interval_ms","cpu_frame_ms","gpu_frame_ms","cpu_render_thread_ms","gc_allocated_in_editor_frame_bytes","VSM.LayoutRemap_gpu_ms","VSM.Allocate_gpu_ms","VSM.InvalidateStatic_gpu_ms","VSM.ClearPhysicalPages_gpu_ms","VSM.StaticCasterCull_gpu_ms","VSM.DynamicCasterCull_gpu_ms","VSM.PageCull_gpu_ms","VSM.StaticRaster_gpu_ms","VSM.DynamicRaster_gpu_ms","VSM.UnityCompatibilityRaster_gpu_ms","VSM.FinalizePages_gpu_ms","VSM.ResetFeedback_gpu_ms","VSM.ResolveAndFeedback_gpu_ms",observed_camera_frame,observed_camera_serial,window_repaint_count,seconds_since_window_repaint
8404,66.878053996598638,2176793603257,1,6.7037981934845448,6.8927,6.0672,2.3556,14563,0.001024,0.33152,,0.035072,0.164608,0,0.146176,0.0076799999999999993,0.013824,,0.0038399999999999997,,2.488832,8404,745,0,
8405,66.884525899943313,2176793672184,1,6.4719035290181637,7.1928,6.696448,2.4354,14539,0.001024,0.329472,,0.034816,0.164608,0,0.145664,0.007936,0.015104,,0.003072,,2.439168,8405,746,0,
8406,66.890675999149664,2176793744112,1,6.1500989831984043,6.0227,6.376704,2.1883,14563,0.001024,0.332544,,0.035072,0.16614399999999999,0,0.147456,0.0076799999999999993,0.014591999999999999,,0.003328,,2.421504,8406,747,0,
8407,66.897539399092963,2176793804339,1,6.8633998744189739,6.6478,6.137344,2.3464,14539,0.0012799999999999999,0.36352,,0.035072,0.170752,0,0.15129599999999999,0.021248,0.013312,,0.002304,,2.433792,8407,748,0,
8408,66.903850396825391,2176793870817,1,6.3109975308179855,6.6145,6.907904,2.0662,14765,0.001024,0.364288,,0.034816,0.168704,0.000256,0.14976,0.022015999999999997,0.013056,,0.002816,,2.86976,8408,749,0,
8409,66.910668296485255,2176793936962,1,6.8178996443748474,6.0269,6.2848,2.0996,14539,0.001024,0.456704,,0.034816,0.168704,0,0.14976,0.036608,0.014079999999999999,,0.0038399999999999997,,2.43968,8409,750,0,
8410,66.917191298185941,2176793997231,1,6.5230014733970165,7.0181,6.802688,1.8784,14563,0.0012799999999999999,0.48563199999999995,,0.041215999999999996,0.161792,0,0.142848,0.036351999999999995,0.013824,,0.004096,,2.996736,8410,751,0,
8411,66.92374169501133,2176794067412,1,6.5503967925906181,6.373,6.50496,2.1888,14539,0.001024,0.451328,,0.034816,0.167936,0.000256,0.148736,0.021248,0.013312,,0.0038399999999999997,,2.413312,8411,752,0,
8412,66.929919196428571,2176794131142,1,6.1775012873113155,6.6403,6.528256,1.8911,14563,0.001024,0.33177599999999996,,0.034816,0.171264,0.000256,0.15231999999999998,0.007936,0.012544,,0.002304,,2.8336639999999997,8412,753,0,
8413,66.936336699263038,2176794197545,1,6.417502649128437,6.5315,6.145024,2.221,14539,0.001024,0.332032,,0.034816,0.16614399999999999,0,0.147456,0.009216,0.012032,,0.003584,,2.740736,8413,754,0,
