case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"legacy8_b","completed_with_warnings","frame_interval_ms",768,768,6.5027531236410141,7.2045987471938133,3.4937995951622725,15.351800248026848
0,"legacy8_b","completed_with_warnings","cpu_frame_ms",768,768,6.5038,7.3923,3.2342,15.4697
0,"legacy8_b","completed_with_warnings","gpu_frame_ms",768,768,6.4611839999999994,7.151616,5.516288,8.468736
0,"legacy8_b","completed_with_warnings","cpu_render_thread_ms",768,768,2.09185,2.599,1.7231,4.2517
0,"legacy8_b","completed_with_warnings","gc_allocated_in_editor_frame_bytes",768,768,14563,20323,14539,81147
0,"legacy8_b","completed_with_warnings","VSM.LayoutRemap_gpu_ms",768,768,0.001024,0.0012799999999999999,0.001024,0.28543999999999997
0,"legacy8_b","completed_with_warnings","VSM.Allocate_gpu_ms",768,768,0.363136,0.4864,0.329472,0.60083199999999992
0,"legacy8_b","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",768,0,,,,
0,"legacy8_b","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",768,768,0.035072,0.042496,0.034304,0.59161599999999992
0,"legacy8_b","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",768,768,0.168704,0.379392,0.1536,0.8448
0,"legacy8_b","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",768,768,0,0.000256,0,0.002048
0,"legacy8_b","completed_with_warnings","VSM.PageCull_gpu_ms",768,768,0.149504,0.162048,0.134912,0.82585599999999992
0,"legacy8_b","completed_with_warnings","VSM.StaticRaster_gpu_ms",768,768,0.021504,0.037376,0.003328,0.42342399999999997
0,"legacy8_b","completed_with_warnings","VSM.DynamicRaster_gpu_ms",768,768,0.013568,0.015359999999999999,0.007936,0.020992
0,"legacy8_b","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",768,0,,,,
0,"legacy8_b","completed_with_warnings","VSM.FinalizePages_gpu_ms",768,768,0.003328,0.004352,0.002048,0.297216
0,"legacy8_b","completed_with_warnings","VSM.ResetFeedback_gpu_ms",768,0,,,,
0,"legacy8_b","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",768,768,2.470528,2.90816,2.1475839999999997,3.34976
