pool,physical_page,virtual_page,clipmap,occupied_slots,nonempty_texels,empty_texels,last_layer_nonempty,max_occupied_layers,slot_fraction,last_layer_fraction,layer_counts,occupancy_histogram
static,0,2439,9,4504,806,15578,21,16,0.017181396484375,0.00128173828125,806 792 786 436 330 245 235 214 206 131 118 67 63 28 26 21,15578 14 6 350 106 85 10 21 8 75 13 51 4 35 2 5 21
static,1,2440,9,4792,844,15540,33,16,0.018280029296875,0.00201416015625,844 790 790 482 404 301 280 253 235 102 84 61 48 45 40 33,15540 54 0 308 78 103 21 27 18 133 18 23 13 3 5 7 33
static,2,1146,4,148500,16384,0,12,16,0.5664825439453125,0.000732421875,16384 16384 16384 16384 16384 16213 16213 15738 15356 1720 635 436 163 76 18 12,0 0 0 0 0 171 0 475 382 13636 1085 199 273 87 58 6 12
static,3,1157,4,112390,16384,0,0,13,0.42873382568359375,0.0,16384 16384 16384 16384 14633 8691 8210 7253 7040 840 173 13 1 0 0 0,0 0 0 0 1751 5942 481 957 213 6200 667 160 12 1 0 0 0
static,4,1158,4,182853,16384,0,105,16,0.6975288391113281,0.00640869140625,16384 16384 16384 16384 16384 16384 16384 16384 16384 11931 11931 5602 5602 116 110 105,0 0 0 0 0 0 0 0 0 4453 0 6329 0 5486 6 5 105
static,5,1160,4,68436,16384,0,0,8,0.2610626220703125,0.0,16384 16384 16384 16384 949 949 501 501 0 0 0 0 0 0 0 0,0 0 0 0 15435 0 448 0 501 0 0 0 0 0 0 0 0
static,6,1161,4,199733,16384,0,6554,16,0.7619209289550781,0.4000244140625,16384 16384 16384 16384 16384 16384 16337 16337 15494 8781 8606 7834 7574 7097 6815 6554,0 0 0 0 0 0 47 0 843 6713 175 772 260 477 282 261 6554
static,7,1162,4,149440,16384,0,0,15,0.570068359375,0.0,16384 16384 16384 16384 16384 16384 16384 16361 16324 1189 488 280 96 13 1 0,0 0 0 0 0 0 0 23 37 15135 701 208 184 83 12 1 0
static,8,1163,4,64052,16384,0,10,16,0.2443389892578125,0.0006103515625,16384 16384 16384 3941 3941 1877 1876 1150 781 590 284 223 117 92 18 10,0 0 0 12443 0 2064 1 726 369 191 306 61 106 25 74 8 10
static,9,1173,4,103473,16384,0,0,15,0.3947181701660156,0.0,16384 16384 16384 16384 12864 6838 6428 5206 5012 1030 362 138 43 15 1 0,0 0 0 0 3520 6026 410 1222 194 3982 668 224 95 28 14 1 0
static,10,1174,4,188996,16384,0,1163,16,0.7209625244140625,0.07098388671875,16384 16384 16384 16384 16384 16384 16384 16384 16384 10553 10553 7089 6693 3274 2215 1163,0 0 0 0 0 0 0 0 0 5831 0 3464 396 3419 1059 1052 1163
static,11,1175,4,166433,16384,0,3154,16,0.6348915100097656,0.1925048828125,16384 16384 16384 16384 14779 14779 13098 12639 9835 7976 6832 5271 4947 3927 3660 3154,0 0 0 0 1605 0 1681 459 2804 1859 1144 1561 324 1020 267 506 3154
static,12,1176,4,112090,16384,0,2,16,0.42758941650390625,0.0001220703125,16384 16384 16384 16384 11141 11141 8555 8019 4755 1964 708 148 82 28 11 2,0 0 0 0 5243 0 2586 536 3264 2791 1256 560 66 54 17 9 2
static,13,1177,4,203426,16384,0,6240,16,0.7760086059570312,0.380859375,16384 16384 16384 16384 16342 16342 15927 15910 15346 10028 9583 9063 8587 7539 6983 6240,0 0 0 0 42 0 415 17 564 5318 445 520 476 1048 556 743 6240
static,14,1178,4,164398,16384,0,93,16,0.6271286010742188,0.00567626953125,16384 16384 16384 16384 16384 16384 16384 16384 16384 6846 5716 2256 1290 507 234 93,0 0 0 0 0 0 0 0 0 9538 1130 3460 966 783 273 141 93
static,15,1179,4,75848,16384,0,1,16,0.289337158203125,6.103515625e-05,16384 16384 16384 5681 5681 3646 3646 2838 2241 1611 703 480 137 27 4 1,0 0 0 10703 0 2035 0 808 597 630 908 223 343 110 23 3 1
static,16,1189,4,94776,16384,0,0,13,0.361541748046875,0.0,16384 16384 16384 16384 11103 5000 4635 3824 3518 882 259 16 3 0 0 0,0 0 0 0 5281 6103 365 811 306 2636 623 243 13 3 0 0 0
static,17,1190,4,178118,16384,0,123,16,0.6794662475585938,0.00750732421875,16384 16384 16384 16384 16384 16384 16384 16384 16384 8839 8547 5506 5355 1233 1059 123,0 0 0 0 0 0 0 0 0 7545 292 3041 151 4122 174 936 123
static,18,1191,4,177529,16384,0,983,16,0.6772193908691406,0.05999755859375,16384 16384 16384 16384 16384 16384 14308 14072 13626 11895 11130 5841 4144 1872 1354 983,0 0 0 0 0 0 2076 236 446 1731 765 5289 1697 2272 518 371 983
static,19,1192,4,169438,16384,0,384,16,0.6463546752929688,0.0234375,16384 16384 16384 16384 16384 16384 13074 12599 12187 11440 8183 6525 4447 1402 893 384,0 0 0 0 0 0 3310 475 412 747 3257 1658 2078 3045 509 509 384
static,20,1193,4,199642,16384,0,3600,16,0.7615737915039062,0.2197265625,16384 16384 16384 16384 16384 16384 15965 15869 15190 12158 10865 9914 7198 5776 4803 3600,0 0 0 0 0 0 419 96 679 3032 1293 951 2716 1422 973 1203 3600
static,21,1194,4,145467,16384,0,0,11,0.5549125671386719,0.0,16384 16384 16384 16384 16384 16384 16384 16001 14257 519 2 0 0 0 0 0,0 0 0 0 0 0 0 383 1744 13738 517 2 0 0 0 0 0
static,22,1195,4,79605,16384,0,1,16,0.3036689758300781,6.103515625e-05,16384 16384 16384 6305 6305 4566 4553 3888 3005 1124 432 215 45 13 1 1,0 0 0 10079 0 1739 13 665 883 1881 692 217 170 32 12 0 1
static,23,1205,4,81654,16384,0,0,11,0.31148529052734375,0.0,16384 16384 16384 15656 9326 3413 2904 919 220 63 1 0 0 0 0 0,0 0 0 728 6330 5913 509 1985 699 157 62 1 0 0 0 0 0
static,24,1206,4,145743,16384,0,0,13,0.5559654235839844,0.0,16384 16384 16384 16384 16384 16384 16384 9648 8286 5502 5258 1373 988 0 0 0,0 0 0 0 0 0 0 6736 1362 2784 244 3885 385 988 0 0 0
static,25,1207,4,154944,16384,0,0,14,0.591064453125,0.0,16384 16384 16384 16384 16384 16384 16317 16221 14316 6082 2949 609 144 2 0 0,0 0 0 0 0 0 67 96 1905 8234 3133 2340 465 142 2 0 0
static,26,1208,4,150210,16384,0,1,16,0.5730056762695312,6.103515625e-05,16384 16384 16384 16384 16384 16384 16384 15048 11418 5143 2944 718 204 23 23 1,0 0 0 0 0 0 0 1336 3630 6275 2199 2226 514 181 0 22 1
static,27,1209,4,149327,16384,0,0,15,0.5696372985839844,0.0,16384 16384 16384 16384 16384 16384 14453 11751 10596 7036 5529 1337 300 17 4 0,0 0 0 0 0 0 1931 2702 1155 3560 1507 4192 1037 283 13 4 0
static,28,1210,4,113791,16384,0,0,8,0.4340782165527344,0.0,16384 16384 16384 16384 16384 16164 15589 118 0 0 0 0 0 0 0 0,0 0 0 0 0 220 575 15471 118 0 0 0 0 0 0 0 0
static,29,1211,4,72029,16384,0,0,11,0.2747688293457031,0.0,16384 16384 16384 6438 6438 5364 3886 588 137 22 4 0 0 0 0 0,0 0 0 9946 0 1074 1478 3298 451 115 18 4 0 0 0 0 0
static,30,888,3,66185,16384,0,0,6,0.2524757385253906,0.0,16384 16384 16384 16384 325 324 0 0 0 0 0 0 0 0 0 0,0 0 0 0 16059 1 324 0 0 0 0 0 0 0 0 0 0
static,31,889,3,84503,16384,0,0,13,0.3223533630371094,0.0,16384 16384 16384 16384 5040 5040 3582 3582 612 571 446 47 47 0 0 0,0 0 0 0 11344 0 1458 0 2970 41 125 399 0 47 0 0 0
static,32,890,3,247376,16384,0,12883,16,0.94366455078125,0.78631591796875,16384 16384 16384 16384 16384 16384 16384 16384 16326 16219 16219 14045 13998 13480 13134 12883,0 0 0 0 0 0 0 0 58 107 0 2174 47 518 346 251 12883
static,33,902,3,198573,16384,0,8102,16,0.7574958801269531,0.4945068359375,16384 16384 16384 16384 13130 12997 12341 12340 11438 11431 10923 10661 10293 9947 9434 8102,0 0 0 0 3254 133 656 1 902 7 508 262 368 346 513 1332 8102
static,34,903,3,67657,16384,0,0,14,0.2580909729003906,0.0,16384 16384 16384 16384 881 607 193 193 117 116 4 4 3 3 0 0,0 0 0 0 15503 274 414 0 76 1 112 0 1 0 3 0 0
static,35,904,3,65536,16384,0,0,4,0.25,0.0,16384 16384 16384 16384 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 16384 0 0 0 0 0 0 0 0 0 0 0 0
static,36,905,3,74552,16384,0,0,8,0.284393310546875,0.0,16384 16384 16384 16384 2733 2733 1775 1775 0 0 0 0 0 0 0 0,0 0 0 0 13651 0 958 0 1775 0 0 0 0 0 0 0 0
static,37,906,3,241198,16384,0,12140,16,0.9200973510742188,0.740966796875,16384 16384 16384 16384 16384 16384 16384 16384 15441 15397 15210 13724 13124 12757 12333 12140,0 0 0 0 0 0 0 0 943 44 187 1486 600 367 424 193 12140
static,38,907,3,156729,16384,0,709,16,0.5978736877441406,0.04327392578125,16384 16384 16384 16384 16384 16384 16384 16384 16384 1893 1753 1496 1442 1207 773 709,0 0 0 0 0 0 0 0 0 14491 140 257 54 235 434 64 709
static,39,916,3,172589,16384,0,0,13,0.6583747863769531,0.0,16384 16384 16384 16384 16384 16384 16384 16384 16384 6592 6591 5975 5975 0 0 0,0 0 0 0 0 0 0 0 0 9792 1 616 0 5975 0 0 0
static,40,918,3,221387,16384,0,9565,16,0.8445243835449219,0.58380126953125,16384 16384 16384 16384 16249 15462 14757 14505 13965 13621 13325 11992 11464 10709 10237 9565,0 0 0 0 135 787 705 252 540 344 296 1333 528 755 472 672 9565
static,41,919,3,77736,16384,0,0,15,0.296539306640625,0.0,16384 16384 16384 16384 3534 3191 1669 1445 1067 686 361 156 61 26 4 0,0 0 0 0 12850 343 1522 224 378 381 325 205 95 35 22 4 0
static,42,920,3,65536,16384,0,0,4,0.25,0.0,16384 16384 16384 16384 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 16384 0 0 0 0 0 0 0 0 0 0 0 0
