observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,11126,3752.7574695999997,1,VSM.LayoutRemap,0,1
0,11126,3752.7574695999997,1,VSM.ResetFeedback,0,1
0,11126,3752.7574695999997,1,VSM.MarkReceiverPages,552704,1
0,11126,3752.7574695999997,1,VSM.Allocate,229376,1
0,11126,3752.7574695999997,1,VSM.InvalidateStatic,0,0
0,11126,3752.7574695999997,1,VSM.ClearPhysicalPages,90112,1
0,11126,3752.7574695999997,1,VSM.StaticCasterCull,66048,1
0,11126,3752.7574695999997,1,VSM.DynamicCasterCull,0,1
0,11126,3752.7574695999997,1,VSM.PageCull,47360,1
0,11126,3752.7574695999997,1,VSM.StaticRaster,3072,1
0,11126,3752.7574695999997,1,VSM.FinalizePages,2304,1
0,11126,3752.7574695999997,1,VSM.DynamicRaster,12288,1
0,11126,3752.7574695999997,1,VSM.UnityCompatibilityRaster,0,0
0,11126,3752.7574695999997,1,VSM.Resolve,13979904,1
0,11126,3752.7574695999997,1,VSM.ResolveTrace,13755392,1
0,11126,3752.7574695999997,1,VSM.FilterHorizontal,65792,1
0,11126,3752.7574695999997,1,VSM.FilterVertical,0,0
0,11126,3752.7574695999997,1,VSM.FilterTemporalVertical,157440,1
1,11127,3752.7800385,1,VSM.LayoutRemap,0,1
1,11127,3752.7800385,1,VSM.ResetFeedback,256,1
1,11127,3752.7800385,1,VSM.MarkReceiverPages,550912,1
1,11127,3752.7800385,1,VSM.Allocate,226560,1
1,11127,3752.7800385,1,VSM.InvalidateStatic,0,0
1,11127,3752.7800385,1,VSM.ClearPhysicalPages,89856,1
1,11127,3752.7800385,1,VSM.StaticCasterCull,660480,1
1,11127,3752.7800385,1,VSM.DynamicCasterCull,0,1
1,11127,3752.7800385,1,VSM.PageCull,641536,1
1,11127,3752.7800385,1,VSM.StaticRaster,10496,1
1,11127,3752.7800385,1,VSM.FinalizePages,2560,1
1,11127,3752.7800385,1,VSM.DynamicRaster,11008,1
1,11127,3752.7800385,1,VSM.UnityCompatibilityRaster,0,0
1,11127,3752.7800385,1,VSM.Resolve,12558848,1
1,11127,3752.7800385,1,VSM.ResolveTrace,12332800,1
1,11127,3752.7800385,1,VSM.FilterHorizontal,66560,1
1,11127,3752.7800385,1,VSM.FilterVertical,0,0
1,11127,3752.7800385,1,VSM.FilterTemporalVertical,158464,1
2,11128,3752.8016217,1,VSM.LayoutRemap,0,1
