observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,14021,3823.4410811,1,VSM.LayoutRemap,0,1
0,14021,3823.4410811,1,VSM.ResetFeedback,0,1
0,14021,3823.4410811,1,VSM.MarkReceiverPages,552704,1
0,14021,3823.4410811,1,VSM.Allocate,228096,1
0,14021,3823.4410811,1,VSM.InvalidateStatic,0,0
0,14021,3823.4410811,1,VSM.ClearPhysicalPages,89600,1
0,14021,3823.4410811,1,VSM.StaticCasterCull,747520,1
0,14021,3823.4410811,1,VSM.DynamicCasterCull,0,1
0,14021,3823.4410811,1,VSM.PageCull,49408,1
0,14021,3823.4410811,1,VSM.StaticRaster,9472,1
0,14021,3823.4410811,1,VSM.FinalizePages,2560,1
0,14021,3823.4410811,1,VSM.DynamicRaster,16384,1
0,14021,3823.4410811,1,VSM.UnityCompatibilityRaster,0,0
0,14021,3823.4410811,1,VSM.Resolve,14581760,1
0,14021,3823.4410811,1,VSM.ResolveTrace,14354432,1
0,14021,3823.4410811,1,VSM.FilterHorizontal,66816,1
0,14021,3823.4410811,1,VSM.FilterVertical,0,0
0,14021,3823.4410811,1,VSM.FilterTemporalVertical,159232,1
1,14022,3823.4654050999998,1,VSM.LayoutRemap,0,1
1,14022,3823.4654050999998,1,VSM.ResetFeedback,0,1
1,14022,3823.4654050999998,1,VSM.MarkReceiverPages,552704,1
1,14022,3823.4654050999998,1,VSM.Allocate,230656,1
1,14022,3823.4654050999998,1,VSM.InvalidateStatic,0,0
1,14022,3823.4654050999998,1,VSM.ClearPhysicalPages,388864,1
1,14022,3823.4654050999998,1,VSM.StaticCasterCull,72448,1
1,14022,3823.4654050999998,1,VSM.DynamicCasterCull,0,1
1,14022,3823.4654050999998,1,VSM.PageCull,49408,1
1,14022,3823.4654050999998,1,VSM.StaticRaster,7168,1
1,14022,3823.4654050999998,1,VSM.FinalizePages,2048,1
1,14022,3823.4654050999998,1,VSM.DynamicRaster,14848,1
1,14022,3823.4654050999998,1,VSM.UnityCompatibilityRaster,0,0
1,14022,3823.4654050999998,1,VSM.Resolve,14522368,1
1,14022,3823.4654050999998,1,VSM.ResolveTrace,14295552,1
1,14022,3823.4654050999998,1,VSM.FilterHorizontal,67328,1
1,14022,3823.4654050999998,1,VSM.FilterVertical,0,0
1,14022,3823.4654050999998,1,VSM.FilterTemporalVertical,158208,1
2,14023,3823.487947,1,VSM.LayoutRemap,0,1
2,14023,3823.487947,1,VSM.ResetFeedback,0,1
2,14023,3823.487947,1,VSM.MarkReceiverPages,553216,1
2,14023,3823.487947,1,VSM.Allocate,229376,1
2,14023,3823.487947,1,VSM.InvalidateStatic,0,0
2,14023,3823.487947,1,VSM.ClearPhysicalPages,89600,1
2,14023,3823.487947,1,VSM.StaticCasterCull,548864,1
2,14023,3823.487947,1,VSM.DynamicCasterCull,256,1
2,14023,3823.487947,1,VSM.PageCull,530176,1
2,14023,3823.487947,1,VSM.StaticRaster,8960,1
2,14023,3823.487947,1,VSM.FinalizePages,2304,1
2,14023,3823.487947,1,VSM.DynamicRaster,11008,1
2,14023,3823.487947,1,VSM.UnityCompatibilityRaster,0,0
2,14023,3823.487947,1,VSM.Resolve,15103488,1
2,14023,3823.487947,1,VSM.ResolveTrace,14880000,1
2,14023,3823.487947,1,VSM.FilterHorizontal,64768,1
2,14023,3823.487947,1,VSM.FilterVertical,0,0
2,14023,3823.487947,1,VSM.FilterTemporalVertical,157184,1
3,14024,3823.5093724,1,VSM.LayoutRemap,2560,1
3,14024,3823.5093724,1,VSM.ResetFeedback,1792,1
3,14024,3823.5093724,1,VSM.MarkReceiverPages,628736,1
3,14024,3823.5093724,1,VSM.Allocate,930048,1
3,14024,3823.5093724,1,VSM.InvalidateStatic,0,0
3,14024,3823.5093724,1,VSM.ClearPhysicalPages,102144,1
3,14024,3823.5093724,1,VSM.StaticCasterCull,58624,1
3,14024,3823.5093724,1,VSM.DynamicCasterCull,0,1
3,14024,3823.5093724,1,VSM.PageCull,39424,1
3,14024,3823.5093724,1,VSM.StaticRaster,694272,1
3,14024,3823.5093724,1,VSM.FinalizePages,7424,1
3,14024,3823.5093724,1,VSM.DynamicRaster,15360,1
3,14024,3823.5093724,1,VSM.UnityCompatibilityRaster,0,0
3,14024,3823.5093724,1,VSM.Resolve,12491008,1
3,14024,3823.5093724,1,VSM.ResolveTrace,12273920,1
3,14024,3823.5093724,1,VSM.FilterHorizontal,66816,1
3,14024,3823.5093724,1,VSM.FilterVertical,0,0
3,14024,3823.5093724,1,VSM.FilterTemporalVertical,148992,1
4,14025,3823.5309352,1,VSM.LayoutRemap,0,1
4,14025,3823.5309352,1,VSM.ResetFeedback,0,1
4,14025,3823.5309352,1,VSM.MarkReceiverPages,641024,1
4,14025,3823.5309352,1,VSM.Allocate,226304,1
4,14025,3823.5309352,1,VSM.InvalidateStatic,0,0
4,14025,3823.5309352,1,VSM.ClearPhysicalPages,1022208,1
4,14025,3823.5309352,1,VSM.StaticCasterCull,72960,1
4,14025,3823.5309352,1,VSM.DynamicCasterCull,0,1
4,14025,3823.5309352,1,VSM.PageCull,49152,1
4,14025,3823.5309352,1,VSM.StaticRaster,6912,1
4,14025,3823.5309352,1,VSM.FinalizePages,2304,1
4,14025,3823.5309352,1,VSM.DynamicRaster,13824,1
4,14025,3823.5309352,1,VSM.UnityCompatibilityRaster,0,0
4,14025,3823.5309352,1,VSM.Resolve,12409088,1
4,14025,3823.5309352,1,VSM.ResolveTrace,12181760,1
4,14025,3823.5309352,1,VSM.FilterHorizontal,66560,1
4,14025,3823.5309352,1,VSM.FilterVertical,0,0
4,14025,3823.5309352,1,VSM.FilterTemporalVertical,159488,1
5,14026,3823.5540627,1,VSM.LayoutRemap,0,1
5,14026,3823.5540627,1,VSM.ResetFeedback,0,1
5,14026,3823.5540627,1,VSM.MarkReceiverPages,627712,1
5,14026,3823.5540627,1,VSM.Allocate,225280,1
5,14026,3823.5540627,1,VSM.InvalidateStatic,0,0
5,14026,3823.5540627,1,VSM.ClearPhysicalPages,377856,1
5,14026,3823.5540627,1,VSM.StaticCasterCull,69376,1
5,14026,3823.5540627,1,VSM.DynamicCasterCull,0,1
5,14026,3823.5540627,1,VSM.PageCull,45568,1
5,14026,3823.5540627,1,VSM.StaticRaster,3072,1
5,14026,3823.5540627,1,VSM.FinalizePages,2560,1
5,14026,3823.5540627,1,VSM.DynamicRaster,11520,1
