observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,11319,3757.03575,1,VSM.LayoutRemap,0,1
0,11319,3757.03575,1,VSM.ResetFeedback,0,1
0,11319,3757.03575,1,VSM.MarkReceiverPages,588800,1
0,11319,3757.03575,1,VSM.Allocate,222720,1
0,11319,3757.03575,1,VSM.InvalidateStatic,0,0
0,11319,3757.03575,1,VSM.ClearPhysicalPages,90112,1
0,11319,3757.03575,1,VSM.StaticCasterCull,68864,1
0,11319,3757.03575,1,VSM.DynamicCasterCull,0,1
0,11319,3757.03575,1,VSM.PageCull,50176,1
0,11319,3757.03575,1,VSM.StaticRaster,7168,1
0,11319,3757.03575,1,VSM.FinalizePages,2048,1
0,11319,3757.03575,1,VSM.DynamicRaster,12288,1
0,11319,3757.03575,1,VSM.UnityCompatibilityRaster,0,0
0,11319,3757.03575,1,VSM.Resolve,16307456,1
0,11319,3757.03575,1,VSM.ResolveTrace,16082688,1
0,11319,3757.03575,1,VSM.FilterHorizontal,66816,1
0,11319,3757.03575,1,VSM.FilterVertical,0,0
0,11319,3757.03575,1,VSM.FilterTemporalVertical,156928,1
1,11320,3757.0574567,1,VSM.LayoutRemap,0,1
1,11320,3757.0574567,1,VSM.ResetFeedback,0,1
1,11320,3757.0574567,1,VSM.MarkReceiverPages,589312,1
1,11320,3757.0574567,1,VSM.Allocate,224256,1
1,11320,3757.0574567,1,VSM.InvalidateStatic,0,0
1,11320,3757.0574567,1,VSM.ClearPhysicalPages,253952,1
1,11320,3757.0574567,1,VSM.StaticCasterCull,67584,1
1,11320,3757.0574567,1,VSM.DynamicCasterCull,256,1
1,11320,3757.0574567,1,VSM.PageCull,47872,1
1,11320,3757.0574567,1,VSM.StaticRaster,7168,1
1,11320,3757.0574567,1,VSM.FinalizePages,2048,1
1,11320,3757.0574567,1,VSM.DynamicRaster,10752,1
1,11320,3757.0574567,1,VSM.UnityCompatibilityRaster,0,0
1,11320,3757.0574567,1,VSM.Resolve,14125568,1
1,11320,3757.0574567,1,VSM.ResolveTrace,13899520,1
1,11320,3757.0574567,1,VSM.FilterHorizontal,66816,1
1,11320,3757.0574567,1,VSM.FilterVertical,0,0
1,11320,3757.0574567,1,VSM.FilterTemporalVertical,158208,1
2,11321,3757.0802451,1,VSM.LayoutRemap,0,1
2,11321,3757.0802451,1,VSM.ResetFeedback,0,1
2,11321,3757.0802451,1,VSM.MarkReceiverPages,591616,1
2,11321,3757.0802451,1,VSM.Allocate,222720,1
2,11321,3757.0802451,1,VSM.InvalidateStatic,0,0
2,11321,3757.0802451,1,VSM.ClearPhysicalPages,440832,1
2,11321,3757.0802451,1,VSM.StaticCasterCull,75008,1
2,11321,3757.0802451,1,VSM.DynamicCasterCull,0,1
2,11321,3757.0802451,1,VSM.PageCull,50432,1
2,11321,3757.0802451,1,VSM.StaticRaster,7168,1
2,11321,3757.0802451,1,VSM.FinalizePages,2304,1
2,11321,3757.0802451,1,VSM.DynamicRaster,11264,1
2,11321,3757.0802451,1,VSM.UnityCompatibilityRaster,0,0
2,11321,3757.0802451,1,VSM.Resolve,14025728,1
2,11321,3757.0802451,1,VSM.ResolveTrace,13800960,1
2,11321,3757.0802451,1,VSM.FilterHorizontal,66048,1
2,11321,3757.0802451,1,VSM.FilterVertical,0,0
2,11321,3757.0802451,1,VSM.FilterTemporalVertical,157440,1
3,11322,3757.1011072,1,VSM.LayoutRemap,0,1
3,11322,3757.1011072,1,VSM.ResetFeedback,0,1
3,11322,3757.1011072,1,VSM.MarkReceiverPages,629248,1
3,11322,3757.1011072,1,VSM.Allocate,332032,1
3,11322,3757.1011072,1,VSM.InvalidateStatic,0,0
3,11322,3757.1011072,1,VSM.ClearPhysicalPages,92416,1
3,11322,3757.1011072,1,VSM.StaticCasterCull,62464,1
3,11322,3757.1011072,1,VSM.DynamicCasterCull,0,1
3,11322,3757.1011072,1,VSM.PageCull,43008,1
3,11322,3757.1011072,1,VSM.StaticRaster,48896,1
3,11322,3757.1011072,1,VSM.FinalizePages,2304,1
3,11322,3757.1011072,1,VSM.DynamicRaster,16128,1
3,11322,3757.1011072,1,VSM.UnityCompatibilityRaster,0,0
3,11322,3757.1011072,1,VSM.Resolve,12619776,1
3,11322,3757.1011072,1,VSM.ResolveTrace,12399360,1
3,11322,3757.1011072,1,VSM.FilterHorizontal,65792,1
3,11322,3757.1011072,1,VSM.FilterVertical,0,0
3,11322,3757.1011072,1,VSM.FilterTemporalVertical,153088,1
4,11323,3757.1229719,1,VSM.LayoutRemap,0,1
4,11323,3757.1229719,1,VSM.ResetFeedback,0,1
4,11323,3757.1229719,1,VSM.MarkReceiverPages,626432,1
4,11323,3757.1229719,1,VSM.Allocate,222976,1
4,11323,3757.1229719,1,VSM.InvalidateStatic,0,0
4,11323,3757.1229719,1,VSM.ClearPhysicalPages,850688,1
4,11323,3757.1229719,1,VSM.StaticCasterCull,75264,1
4,11323,3757.1229719,1,VSM.DynamicCasterCull,0,1
4,11323,3757.1229719,1,VSM.PageCull,50688,1
4,11323,3757.1229719,1,VSM.StaticRaster,6912,1
4,11323,3757.1229719,1,VSM.FinalizePages,2304,1
4,11323,3757.1229719,1,VSM.DynamicRaster,12544,1
4,11323,3757.1229719,1,VSM.UnityCompatibilityRaster,0,0
4,11323,3757.1229719,1,VSM.Resolve,13116160,1
4,11323,3757.1229719,1,VSM.ResolveTrace,12891648,1
4,11323,3757.1229719,1,VSM.FilterHorizontal,65280,1
4,11323,3757.1229719,1,VSM.FilterVertical,0,0
4,11323,3757.1229719,1,VSM.FilterTemporalVertical,158208,1
5,11324,3757.1440181,1,VSM.LayoutRemap,0,1
5,11324,3757.1440181,1,VSM.ResetFeedback,0,1
5,11324,3757.1440181,1,VSM.MarkReceiverPages,624384,1
5,11324,3757.1440181,1,VSM.Allocate,226304,1
5,11324,3757.1440181,1,VSM.InvalidateStatic,0,0
5,11324,3757.1440181,1,VSM.ClearPhysicalPages,433152,1
5,11324,3757.1440181,1,VSM.StaticCasterCull,70656,1
5,11324,3757.1440181,1,VSM.DynamicCasterCull,0,1
5,11324,3757.1440181,1,VSM.PageCull,49664,1
5,11324,3757.1440181,1,VSM.StaticRaster,6912,1
5,11324,3757.1440181,1,VSM.FinalizePages,2560,1
5,11324,3757.1440181,1,VSM.DynamicRaster,11520,1
5,11324,3757.1440181,1,VSM.UnityCompatibilityRaster,0,0
5,11324,3757.1440181,1,VSM.Resolve,12224256,1
5,11324,3757.1440181,1,VSM.ResolveTrace,12000768,1
5,11324,3757.1440181,1,VSM.FilterHorizontal,65536,1
5,11324,3757.1440181,1,VSM.FilterVertical,0,0
5,11324,3757.1440181,1,VSM.FilterTemporalVertical,156928,1
6,11325,3757.165931,1,VSM.LayoutRemap,0,1
6,11325,3757.165931,1,VSM.ResetFeedback,0,1
6,11325,3757.165931,1,VSM.MarkReceiverPages,630272,1
6,11325,3757.165931,1,VSM.Allocate,225792,1
6,11325,3757.165931,1,VSM.InvalidateStatic,0,0
6,11325,3757.165931,1,VSM.ClearPhysicalPages,658176,1
6,11325,3757.165931,1,VSM.StaticCasterCull,71168,1
6,11325,3757.165931,1,VSM.DynamicCasterCull,0,1
6,11325,3757.165931,1,VSM.PageCull,47104,1
6,11325,3757.165931,1,VSM.StaticRaster,7168,1
6,11325,3757.165931,1,VSM.FinalizePages,2560,1
6,11325,3757.165931,1,VSM.DynamicRaster,12288,1
6,11325,3757.165931,1,VSM.UnityCompatibilityRaster,0,0
6,11325,3757.165931,1,VSM.Resolve,11371264,1
6,11325,3757.165931,1,VSM.ResolveTrace,11145984,1
6,11325,3757.165931,1,VSM.FilterHorizontal,66048,1
6,11325,3757.165931,1,VSM.FilterVertical,0,0
6,11325,3757.165931,1,VSM.FilterTemporalVertical,158208,1
7,11326,3757.1873674,1,VSM.LayoutRemap,0,1
7,11326,3757.1873674,1,VSM.ResetFeedback,0,1
7,11326,3757.1873674,1,VSM.MarkReceiverPages,627456,1
7,11326,3757.1873674,1,VSM.Allocate,222720,1
7,11326,3757.1873674,1,VSM.InvalidateStatic,0,0
7,11326,3757.1873674,1,VSM.ClearPhysicalPages,373760,1
7,11326,3757.1873674,1,VSM.StaticCasterCull,71424,1
7,11326,3757.1873674,1,VSM.DynamicCasterCull,0,1
7,11326,3757.1873674,1,VSM.PageCull,46336,1
7,11326,3757.1873674,1,VSM.StaticRaster,7424,1
7,11326,3757.1873674,1,VSM.FinalizePages,2048,1
7,11326,3757.1873674,1,VSM.DynamicRaster,11520,1
7,11326,3757.1873674,1,VSM.UnityCompatibilityRaster,0,0
7,11326,3757.1873674,1,VSM.Resolve,11345152,1
7,11326,3757.1873674,1,VSM.ResolveTrace,10632192,1
7,11326,3757.1873674,1,VSM.FilterHorizontal,67072,1
7,11326,3757.1873674,1,VSM.FilterVertical,0,0
7,11326,3757.1873674,1,VSM.FilterTemporalVertical,158464,1
8,11327,3757.2113651,1,VSM.LayoutRemap,0,1
8,11327,3757.2113651,1,VSM.ResetFeedback,0,1
8,11327,3757.2113651,1,VSM.MarkReceiverPages,616448,1
8,11327,3757.2113651,1,VSM.Allocate,226048,1
8,11327,3757.2113651,1,VSM.InvalidateStatic,0,0
8,11327,3757.2113651,1,VSM.ClearPhysicalPages,89856,1
8,11327,3757.2113651,1,VSM.StaticCasterCull,68352,1
8,11327,3757.2113651,1,VSM.DynamicCasterCull,0,1
8,11327,3757.2113651,1,VSM.PageCull,49408,1
8,11327,3757.2113651,1,VSM.StaticRaster,7168,1
8,11327,3757.2113651,1,VSM.FinalizePages,2048,1
8,11327,3757.2113651,1,VSM.DynamicRaster,13824,1
8,11327,3757.2113651,1,VSM.UnityCompatibilityRaster,0,0
8,11327,3757.2113651,1,VSM.Resolve,13150720,1
8,11327,3757.2113651,1,VSM.ResolveTrace,12755456,1
8,11327,3757.2113651,1,VSM.FilterHorizontal,66560,1
8,11327,3757.2113651,1,VSM.FilterVertical,0,0
8,11327,3757.2113651,1,VSM.FilterTemporalVertical,163072,1
9,11328,3757.2345418,1,VSM.LayoutRemap,0,1
9,11328,3757.2345418,1,VSM.ResetFeedback,0,1
9,11328,3757.2345418,1,VSM.MarkReceiverPages,613632,1
9,11328,3757.2345418,1,VSM.Allocate,223488,1
9,11328,3757.2345418,1,VSM.InvalidateStatic,0,0
9,11328,3757.2345418,1,VSM.ClearPhysicalPages,90112,1
9,11328,3757.2345418,1,VSM.StaticCasterCull,67072,1
9,11328,3757.2345418,1,VSM.DynamicCasterCull,0,1
9,11328,3757.2345418,1,VSM.PageCull,48640,1
9,11328,3757.2345418,1,VSM.StaticRaster,6912,1
9,11328,3757.2345418,1,VSM.FinalizePages,2048,1
9,11328,3757.2345418,1,VSM.DynamicRaster,13056,1
9,11328,3757.2345418,1,VSM.UnityCompatibilityRaster,0,0
9,11328,3757.2345418,1,VSM.Resolve,12634880,1
9,11328,3757.2345418,1,VSM.ResolveTrace,12309248,1
9,11328,3757.2345418,1,VSM.FilterHorizontal,65792,1
9,11328,3757.2345418,1,VSM.FilterVertical,0,0
9,11328,3757.2345418,1,VSM.FilterTemporalVertical,259072,1
10,11329,3757.2574894,1,VSM.LayoutRemap,0,1
10,11329,3757.2574894,1,VSM.ResetFeedback,0,1
10,11329,3757.2574894,1,VSM.MarkReceiverPages,620544,1
10,11329,3757.2574894,1,VSM.Allocate,225792,1
10,11329,3757.2574894,1,VSM.InvalidateStatic,0,0
10,11329,3757.2574894,1,VSM.ClearPhysicalPages,89344,1
10,11329,3757.2574894,1,VSM.StaticCasterCull,66304,1
10,11329,3757.2574894,1,VSM.DynamicCasterCull,0,1
10,11329,3757.2574894,1,VSM.PageCull,47360,1
10,11329,3757.2574894,1,VSM.StaticRaster,7168,1
10,11329,3757.2574894,1,VSM.FinalizePages,2048,1
10,11329,3757.2574894,1,VSM.DynamicRaster,13056,1
10,11329,3757.2574894,1,VSM.UnityCompatibilityRaster,0,0
10,11329,3757.2574894,1,VSM.Resolve,14842112,1
10,11329,3757.2574894,1,VSM.ResolveTrace,14611712,1
10,11329,3757.2574894,1,VSM.FilterHorizontal,66048,1
10,11329,3757.2574894,1,VSM.FilterVertical,0,0
10,11329,3757.2574894,1,VSM.FilterTemporalVertical,163072,1
11,11330,3757.2811165,1,VSM.LayoutRemap,0,1
11,11330,3757.2811165,1,VSM.ResetFeedback,0,1
11,11330,3757.2811165,1,VSM.MarkReceiverPages,620800,1
11,11330,3757.2811165,1,VSM.Allocate,226304,1
11,11330,3757.2811165,1,VSM.InvalidateStatic,0,0
11,11330,3757.2811165,1,VSM.ClearPhysicalPages,89600,1
11,11330,3757.2811165,1,VSM.StaticCasterCull,65280,1
11,11330,3757.2811165,1,VSM.DynamicCasterCull,0,1
11,11330,3757.2811165,1,VSM.PageCull,46848,1
11,11330,3757.2811165,1,VSM.StaticRaster,3072,1
11,11330,3757.2811165,1,VSM.FinalizePages,2048,1
11,11330,3757.2811165,1,VSM.DynamicRaster,12544,1
11,11330,3757.2811165,1,VSM.UnityCompatibilityRaster,0,0
11,11330,3757.2811165,1,VSM.Resolve,14877184,1
11,11330,3757.2811165,1,VSM.ResolveTrace,14450944,1
11,11330,3757.2811165,1,VSM.FilterHorizontal,261632,1
11,11330,3757.2811165,1,VSM.FilterVertical,0,0
11,11330,3757.2811165,1,VSM.FilterTemporalVertical,163328,1
12,11331,3757.3053298,1,VSM.LayoutRemap,0,1
12,11331,3757.3053298,1,VSM.ResetFeedback,0,1
12,11331,3757.3053298,1,VSM.MarkReceiverPages,620032,1
12,11331,3757.3053298,1,VSM.Allocate,226560,1
12,11331,3757.3053298,1,VSM.InvalidateStatic,0,0
12,11331,3757.3053298,1,VSM.ClearPhysicalPages,446720,1
12,11331,3757.3053298,1,VSM.StaticCasterCull,73728,1
12,11331,3757.3053298,1,VSM.DynamicCasterCull,0,1
12,11331,3757.3053298,1,VSM.PageCull,49920,1
12,11331,3757.3053298,1,VSM.StaticRaster,7424,1
12,11331,3757.3053298,1,VSM.FinalizePages,2048,1
12,11331,3757.3053298,1,VSM.DynamicRaster,13056,1
12,11331,3757.3053298,1,VSM.UnityCompatibilityRaster,0,0
12,11331,3757.3053298,1,VSM.Resolve,13886720,1
12,11331,3757.3053298,1,VSM.ResolveTrace,13657088,1
12,11331,3757.3053298,1,VSM.FilterHorizontal,66560,1
12,11331,3757.3053298,1,VSM.FilterVertical,0,0
12,11331,3757.3053298,1,VSM.FilterTemporalVertical,162304,1
13,11332,3757.3289115,1,VSM.LayoutRemap,0,1
13,11332,3757.3289115,1,VSM.ResetFeedback,0,1
13,11332,3757.3289115,1,VSM.MarkReceiverPages,613888,1
13,11332,3757.3289115,1,VSM.Allocate,226048,1
