observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,13828,3819.3286851,1,VSM.LayoutRemap,0,1
0,13828,3819.3286851,1,VSM.ResetFeedback,0,1
0,13828,3819.3286851,1,VSM.MarkReceiverPages,593664,1
0,13828,3819.3286851,1,VSM.Allocate,225536,1
0,13828,3819.3286851,1,VSM.InvalidateStatic,0,0
0,13828,3819.3286851,1,VSM.ClearPhysicalPages,90624,1
0,13828,3819.3286851,1,VSM.StaticCasterCull,68864,1
0,13828,3819.3286851,1,VSM.DynamicCasterCull,0,1
0,13828,3819.3286851,1,VSM.PageCull,49408,1
0,13828,3819.3286851,1,VSM.StaticRaster,7168,1
0,13828,3819.3286851,1,VSM.FinalizePages,2048,1
0,13828,3819.3286851,1,VSM.DynamicRaster,15360,1
0,13828,3819.3286851,1,VSM.UnityCompatibilityRaster,0,0
0,13828,3819.3286851,1,VSM.Resolve,11148288,1
0,13828,3819.3286851,1,VSM.ResolveTrace,10924288,1
0,13828,3819.3286851,1,VSM.FilterHorizontal,65792,1
0,13828,3819.3286851,1,VSM.FilterVertical,0,0
0,13828,3819.3286851,1,VSM.FilterTemporalVertical,157440,1
1,13829,3819.3462222,1,VSM.LayoutRemap,0,1
1,13829,3819.3462222,1,VSM.ResetFeedback,0,1
1,13829,3819.3462222,1,VSM.MarkReceiverPages,588800,1
1,13829,3819.3462222,1,VSM.Allocate,222976,1
1,13829,3819.3462222,1,VSM.InvalidateStatic,0,0
1,13829,3819.3462222,1,VSM.ClearPhysicalPages,90368,1
1,13829,3819.3462222,1,VSM.StaticCasterCull,67072,1
1,13829,3819.3462222,1,VSM.DynamicCasterCull,0,1
1,13829,3819.3462222,1,VSM.PageCull,48384,1
1,13829,3819.3462222,1,VSM.StaticRaster,6912,1
1,13829,3819.3462222,1,VSM.FinalizePages,2048,1
1,13829,3819.3462222,1,VSM.DynamicRaster,14336,1
1,13829,3819.3462222,1,VSM.UnityCompatibilityRaster,0,0
1,13829,3819.3462222,1,VSM.Resolve,11826688,1
1,13829,3819.3462222,1,VSM.ResolveTrace,11600384,1
1,13829,3819.3462222,1,VSM.FilterHorizontal,65024,1
1,13829,3819.3462222,1,VSM.FilterVertical,0,0
1,13829,3819.3462222,1,VSM.FilterTemporalVertical,160000,1
2,13830,3819.3640606999998,1,VSM.LayoutRemap,0,1
2,13830,3819.3640606999998,1,VSM.ResetFeedback,0,1
2,13830,3819.3640606999998,1,VSM.MarkReceiverPages,593152,1
2,13830,3819.3640606999998,1,VSM.Allocate,225792,1
2,13830,3819.3640606999998,1,VSM.InvalidateStatic,0,0
2,13830,3819.3640606999998,1,VSM.ClearPhysicalPages,90112,1
2,13830,3819.3640606999998,1,VSM.StaticCasterCull,69632,1
2,13830,3819.3640606999998,1,VSM.DynamicCasterCull,0,1
