observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,11705,3765.9385825,1,VSM.LayoutRemap,0,1
0,11705,3765.9385825,1,VSM.ResetFeedback,0,1
0,11705,3765.9385825,1,VSM.MarkReceiverPages,852736,1
0,11705,3765.9385825,1,VSM.Allocate,232448,1
0,11705,3765.9385825,1,VSM.InvalidateStatic,0,0
0,11705,3765.9385825,1,VSM.ClearPhysicalPages,89856,1
0,11705,3765.9385825,1,VSM.StaticCasterCull,66560,1
0,11705,3765.9385825,1,VSM.DynamicCasterCull,34304,1
0,11705,3765.9385825,1,VSM.PageCull,67584,2
0,11705,3765.9385825,1,VSM.StaticRaster,7168,1
0,11705,3765.9385825,1,VSM.FinalizePages,2048,1
0,11705,3765.9385825,1,VSM.DynamicRaster,62464,1
0,11705,3765.9385825,1,VSM.UnityCompatibilityRaster,0,0
0,11705,3765.9385825,1,VSM.Resolve,12170752,1
0,11705,3765.9385825,1,VSM.ResolveTrace,11947264,1
0,11705,3765.9385825,1,VSM.FilterHorizontal,65024,1
0,11705,3765.9385825,1,VSM.FilterVertical,0,0
0,11705,3765.9385825,1,VSM.FilterTemporalVertical,157184,1
1,11706,3765.9657070999997,1,VSM.LayoutRemap,0,1
1,11706,3765.9657070999997,1,VSM.ResetFeedback,0,1
1,11706,3765.9657070999997,1,VSM.MarkReceiverPages,645888,1
1,11706,3765.9657070999997,1,VSM.Allocate,233216,1
1,11706,3765.9657070999997,1,VSM.InvalidateStatic,0,0
1,11706,3765.9657070999997,1,VSM.ClearPhysicalPages,90112,1
1,11706,3765.9657070999997,1,VSM.StaticCasterCull,66560,1
1,11706,3765.9657070999997,1,VSM.DynamicCasterCull,34560,1
1,11706,3765.9657070999997,1,VSM.PageCull,68608,2
1,11706,3765.9657070999997,1,VSM.StaticRaster,6912,1
1,11706,3765.9657070999997,1,VSM.FinalizePages,2048,1
1,11706,3765.9657070999997,1,VSM.DynamicRaster,62976,1
1,11706,3765.9657070999997,1,VSM.UnityCompatibilityRaster,0,0
1,11706,3765.9657070999997,1,VSM.Resolve,11795712,1
1,11706,3765.9657070999997,1,VSM.ResolveTrace,11247616,1
1,11706,3765.9657070999997,1,VSM.FilterHorizontal,65280,1
1,11706,3765.9657070999997,1,VSM.FilterVertical,0,0
1,11706,3765.9657070999997,1,VSM.FilterTemporalVertical,157184,1
2,11707,3765.9912213,1,VSM.LayoutRemap,0,1
2,11707,3765.9912213,1,VSM.ResetFeedback,0,1
2,11707,3765.9912213,1,VSM.MarkReceiverPages,645120,1
2,11707,3765.9912213,1,VSM.Allocate,231424,1
2,11707,3765.9912213,1,VSM.InvalidateStatic,0,0
2,11707,3765.9912213,1,VSM.ClearPhysicalPages,313856,1
2,11707,3765.9912213,1,VSM.StaticCasterCull,73984,1
2,11707,3765.9912213,1,VSM.DynamicCasterCull,35072,1
2,11707,3765.9912213,1,VSM.PageCull,70400,2
2,11707,3765.9912213,1,VSM.StaticRaster,6912,1
2,11707,3765.9912213,1,VSM.FinalizePages,2304,1
2,11707,3765.9912213,1,VSM.DynamicRaster,62720,1
2,11707,3765.9912213,1,VSM.UnityCompatibilityRaster,0,0
2,11707,3765.9912213,1,VSM.Resolve,12534528,1
2,11707,3765.9912213,1,VSM.ResolveTrace,12306944,1
2,11707,3765.9912213,1,VSM.FilterHorizontal,67840,1
2,11707,3765.9912213,1,VSM.FilterVertical,0,0
2,11707,3765.9912213,1,VSM.FilterTemporalVertical,158720,1
3,11708,3766.0158126,1,VSM.LayoutRemap,0,1
3,11708,3766.0158126,1,VSM.ResetFeedback,0,1
3,11708,3766.0158126,1,VSM.MarkReceiverPages,941568,1
3,11708,3766.0158126,1,VSM.Allocate,229120,1
3,11708,3766.0158126,1,VSM.InvalidateStatic,0,0
