observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,13442,3810.8331543,1,VSM.LayoutRemap,0,1
0,13442,3810.8331543,1,VSM.ResetFeedback,0,1
0,13442,3810.8331543,1,VSM.MarkReceiverPages,649728,1
0,13442,3810.8331543,1,VSM.Allocate,229888,1
0,13442,3810.8331543,1,VSM.InvalidateStatic,0,0
0,13442,3810.8331543,1,VSM.ClearPhysicalPages,89856,1
0,13442,3810.8331543,1,VSM.StaticCasterCull,60672,1
0,13442,3810.8331543,1,VSM.DynamicCasterCull,34048,1
0,13442,3810.8331543,1,VSM.PageCull,62464,2
0,13442,3810.8331543,1,VSM.StaticRaster,7424,1
0,13442,3810.8331543,1,VSM.FinalizePages,2048,1
0,13442,3810.8331543,1,VSM.DynamicRaster,62464,1
0,13442,3810.8331543,1,VSM.UnityCompatibilityRaster,0,0
0,13442,3810.8331543,1,VSM.Resolve,10502144,1
0,13442,3810.8331543,1,VSM.ResolveTrace,10280192,1
0,13442,3810.8331543,1,VSM.FilterHorizontal,64512,1
0,13442,3810.8331543,1,VSM.FilterVertical,0,0
0,13442,3810.8331543,1,VSM.FilterTemporalVertical,156672,1
1,13443,3810.8545817,1,VSM.LayoutRemap,0,1
1,13443,3810.8545817,1,VSM.ResetFeedback,0,1
1,13443,3810.8545817,1,VSM.MarkReceiverPages,644608,1
1,13443,3810.8545817,1,VSM.Allocate,231424,1
1,13443,3810.8545817,1,VSM.InvalidateStatic,0,0
1,13443,3810.8545817,1,VSM.ClearPhysicalPages,461056,1
1,13443,3810.8545817,1,VSM.StaticCasterCull,72192,1
1,13443,3810.8545817,1,VSM.DynamicCasterCull,34560,1
1,13443,3810.8545817,1,VSM.PageCull,67840,2
1,13443,3810.8545817,1,VSM.StaticRaster,6912,1
1,13443,3810.8545817,1,VSM.FinalizePages,2304,1
1,13443,3810.8545817,1,VSM.DynamicRaster,61696,1
1,13443,3810.8545817,1,VSM.UnityCompatibilityRaster,0,0
1,13443,3810.8545817,1,VSM.Resolve,10670592,1
1,13443,3810.8545817,1,VSM.ResolveTrace,10445056,1
1,13443,3810.8545817,1,VSM.FilterHorizontal,66816,1
1,13443,3810.8545817,1,VSM.FilterVertical,0,0
1,13443,3810.8545817,1,VSM.FilterTemporalVertical,157696,1
2,13444,3810.8771449,1,VSM.LayoutRemap,0,1
2,13444,3810.8771449,1,VSM.ResetFeedback,0,1
2,13444,3810.8771449,1,VSM.MarkReceiverPages,643328,1
2,13444,3810.8771449,1,VSM.Allocate,232192,1
2,13444,3810.8771449,1,VSM.InvalidateStatic,0,0
2,13444,3810.8771449,1,VSM.ClearPhysicalPages,89856,1
2,13444,3810.8771449,1,VSM.StaticCasterCull,67072,1
2,13444,3810.8771449,1,VSM.DynamicCasterCull,33792,1
2,13444,3810.8771449,1,VSM.PageCull,67840,2
2,13444,3810.8771449,1,VSM.StaticRaster,3072,1
2,13444,3810.8771449,1,VSM.FinalizePages,2304,1
2,13444,3810.8771449,1,VSM.DynamicRaster,62464,1
2,13444,3810.8771449,1,VSM.UnityCompatibilityRaster,0,0
2,13444,3810.8771449,1,VSM.Resolve,9839872,1
2,13444,3810.8771449,1,VSM.ResolveTrace,9442816,1
2,13444,3810.8771449,1,VSM.FilterHorizontal,64256,1
2,13444,3810.8771449,1,VSM.FilterVertical,0,0
2,13444,3810.8771449,1,VSM.FilterTemporalVertical,156928,1
3,13445,3810.9040225,1,VSM.LayoutRemap,0,1
3,13445,3810.9040225,1,VSM.ResetFeedback,0,1
3,13445,3810.9040225,1,VSM.MarkReceiverPages,644864,1
3,13445,3810.9040225,1,VSM.Allocate,231424,1
3,13445,3810.9040225,1,VSM.InvalidateStatic,0,0
3,13445,3810.9040225,1,VSM.ClearPhysicalPages,279040,1
3,13445,3810.9040225,1,VSM.StaticCasterCull,71424,1
3,13445,3810.9040225,1,VSM.DynamicCasterCull,35328,1
3,13445,3810.9040225,1,VSM.PageCull,68096,2
3,13445,3810.9040225,1,VSM.StaticRaster,7168,1
3,13445,3810.9040225,1,VSM.FinalizePages,2048,1
3,13445,3810.9040225,1,VSM.DynamicRaster,62208,1
3,13445,3810.9040225,1,VSM.UnityCompatibilityRaster,0,0
3,13445,3810.9040225,1,VSM.Resolve,9586688,1
3,13445,3810.9040225,1,VSM.ResolveTrace,9361920,1
3,13445,3810.9040225,1,VSM.FilterHorizontal,65280,1
3,13445,3810.9040225,1,VSM.FilterVertical,0,0
3,13445,3810.9040225,1,VSM.FilterTemporalVertical,157440,1
4,13446,3810.9261039999997,1,VSM.LayoutRemap,0,1
4,13446,3810.9261039999997,1,VSM.ResetFeedback,0,1
4,13446,3810.9261039999997,1,VSM.MarkReceiverPages,646912,1
4,13446,3810.9261039999997,1,VSM.Allocate,232448,1
4,13446,3810.9261039999997,1,VSM.InvalidateStatic,0,0
4,13446,3810.9261039999997,1,VSM.ClearPhysicalPages,89856,1
4,13446,3810.9261039999997,1,VSM.StaticCasterCull,67072,1
4,13446,3810.9261039999997,1,VSM.DynamicCasterCull,35328,1
4,13446,3810.9261039999997,1,VSM.PageCull,69888,2
4,13446,3810.9261039999997,1,VSM.StaticRaster,7680,1
4,13446,3810.9261039999997,1,VSM.FinalizePages,2048,1
4,13446,3810.9261039999997,1,VSM.DynamicRaster,62464,1
4,13446,3810.9261039999997,1,VSM.UnityCompatibilityRaster,0,0
4,13446,3810.9261039999997,1,VSM.Resolve,10253056,1
4,13446,3810.9261039999997,1,VSM.ResolveTrace,10024960,1
4,13446,3810.9261039999997,1,VSM.FilterHorizontal,68096,1
4,13446,3810.9261039999997,1,VSM.FilterVertical,0,0
4,13446,3810.9261039999997,1,VSM.FilterTemporalVertical,158720,1
5,13447,3810.9497552,1,VSM.LayoutRemap,0,1
5,13447,3810.9497552,1,VSM.ResetFeedback,0,1
5,13447,3810.9497552,1,VSM.MarkReceiverPages,647424,1
5,13447,3810.9497552,1,VSM.Allocate,229376,1
5,13447,3810.9497552,1,VSM.InvalidateStatic,0,0
5,13447,3810.9497552,1,VSM.ClearPhysicalPages,89856,1
5,13447,3810.9497552,1,VSM.StaticCasterCull,60672,1
5,13447,3810.9497552,1,VSM.DynamicCasterCull,34048,1
