observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,12091,3774.9589398,1,VSM.LayoutRemap,0,1
0,12091,3774.9589398,1,VSM.ResetFeedback,0,1
0,12091,3774.9589398,1,VSM.MarkReceiverPages,613376,1
0,12091,3774.9589398,1,VSM.Allocate,221440,1
0,12091,3774.9589398,1,VSM.InvalidateStatic,0,0
0,12091,3774.9589398,1,VSM.ClearPhysicalPages,89600,1
0,12091,3774.9589398,1,VSM.StaticCasterCull,67072,1
0,12091,3774.9589398,1,VSM.DynamicCasterCull,41728,1
0,12091,3774.9589398,1,VSM.PageCull,75520,2
0,12091,3774.9589398,1,VSM.StaticRaster,3072,1
0,12091,3774.9589398,1,VSM.FinalizePages,2048,1
0,12091,3774.9589398,1,VSM.DynamicRaster,35072,1
0,12091,3774.9589398,1,VSM.UnityCompatibilityRaster,0,0
0,12091,3774.9589398,1,VSM.Resolve,10885120,1
0,12091,3774.9589398,1,VSM.ResolveTrace,10662400,1
0,12091,3774.9589398,1,VSM.FilterHorizontal,65536,1
0,12091,3774.9589398,1,VSM.FilterVertical,0,0
0,12091,3774.9589398,1,VSM.FilterTemporalVertical,156160,1
1,12092,3774.9826731999997,1,VSM.LayoutRemap,0,1
1,12092,3774.9826731999997,1,VSM.ResetFeedback,0,1
1,12092,3774.9826731999997,1,VSM.MarkReceiverPages,615936,1
1,12092,3774.9826731999997,1,VSM.Allocate,223744,1
1,12092,3774.9826731999997,1,VSM.InvalidateStatic,0,0
1,12092,3774.9826731999997,1,VSM.ClearPhysicalPages,370432,1
1,12092,3774.9826731999997,1,VSM.StaticCasterCull,66560,1
1,12092,3774.9826731999997,1,VSM.DynamicCasterCull,40960,1
1,12092,3774.9826731999997,1,VSM.PageCull,74496,2
1,12092,3774.9826731999997,1,VSM.StaticRaster,6912,1
1,12092,3774.9826731999997,1,VSM.FinalizePages,2048,1
1,12092,3774.9826731999997,1,VSM.DynamicRaster,35072,1
1,12092,3774.9826731999997,1,VSM.UnityCompatibilityRaster,0,0
1,12092,3774.9826731999997,1,VSM.Resolve,11220224,1
1,12092,3774.9826731999997,1,VSM.ResolveTrace,10994176,1
1,12092,3774.9826731999997,1,VSM.FilterHorizontal,67072,1
1,12092,3774.9826731999997,1,VSM.FilterVertical,0,0
1,12092,3774.9826731999997,1,VSM.FilterTemporalVertical,157696,1
2,12093,3775.0055394,1,VSM.LayoutRemap,0,1
2,12093,3775.0055394,1,VSM.ResetFeedback,0,1
2,12093,3775.0055394,1,VSM.MarkReceiverPages,617728,1
2,12093,3775.0055394,1,VSM.Allocate,221696,1
2,12093,3775.0055394,1,VSM.InvalidateStatic,0,0
2,12093,3775.0055394,1,VSM.ClearPhysicalPages,89600,1
2,12093,3775.0055394,1,VSM.StaticCasterCull,68608,1
2,12093,3775.0055394,1,VSM.DynamicCasterCull,43520,1
2,12093,3775.0055394,1,VSM.PageCull,78336,2
2,12093,3775.0055394,1,VSM.StaticRaster,7424,1
2,12093,3775.0055394,1,VSM.FinalizePages,2048,1
2,12093,3775.0055394,1,VSM.DynamicRaster,33792,1
2,12093,3775.0055394,1,VSM.UnityCompatibilityRaster,0,0
2,12093,3775.0055394,1,VSM.Resolve,11699968,1
2,12093,3775.0055394,1,VSM.ResolveTrace,11473408,1
2,12093,3775.0055394,1,VSM.FilterHorizontal,66816,1
2,12093,3775.0055394,1,VSM.FilterVertical,0,0
2,12093,3775.0055394,1,VSM.FilterTemporalVertical,158720,1
3,12094,3775.0285473,1,VSM.LayoutRemap,0,1
3,12094,3775.0285473,1,VSM.ResetFeedback,0,1
3,12094,3775.0285473,1,VSM.MarkReceiverPages,622592,1
3,12094,3775.0285473,1,VSM.Allocate,262400,1
3,12094,3775.0285473,1,VSM.InvalidateStatic,0,0
3,12094,3775.0285473,1,VSM.ClearPhysicalPages,90112,1
3,12094,3775.0285473,1,VSM.StaticCasterCull,67072,1
3,12094,3775.0285473,1,VSM.DynamicCasterCull,46592,1
3,12094,3775.0285473,1,VSM.PageCull,80128,2
3,12094,3775.0285473,1,VSM.StaticRaster,30720,1
3,12094,3775.0285473,1,VSM.FinalizePages,2048,1
3,12094,3775.0285473,1,VSM.DynamicRaster,32256,1
3,12094,3775.0285473,1,VSM.UnityCompatibilityRaster,0,0
3,12094,3775.0285473,1,VSM.Resolve,11649536,1
3,12094,3775.0285473,1,VSM.ResolveTrace,11430400,1
3,12094,3775.0285473,1,VSM.FilterHorizontal,65280,1
3,12094,3775.0285473,1,VSM.FilterVertical,0,0
3,12094,3775.0285473,1,VSM.FilterTemporalVertical,152576,1
4,12095,3775.0502618,1,VSM.LayoutRemap,0,1
4,12095,3775.0502618,1,VSM.ResetFeedback,0,1
4,12095,3775.0502618,1,VSM.MarkReceiverPages,625152,1
4,12095,3775.0502618,1,VSM.Allocate,225792,1
4,12095,3775.0502618,1,VSM.InvalidateStatic,0,0
4,12095,3775.0502618,1,VSM.ClearPhysicalPages,279552,1
4,12095,3775.0502618,1,VSM.StaticCasterCull,68352,1
4,12095,3775.0502618,1,VSM.DynamicCasterCull,44032,1
4,12095,3775.0502618,1,VSM.PageCull,78336,2
4,12095,3775.0502618,1,VSM.StaticRaster,7168,1
4,12095,3775.0502618,1,VSM.FinalizePages,2304,1
4,12095,3775.0502618,1,VSM.DynamicRaster,34304,1
4,12095,3775.0502618,1,VSM.UnityCompatibilityRaster,0,0
4,12095,3775.0502618,1,VSM.Resolve,11763456,1
4,12095,3775.0502618,1,VSM.ResolveTrace,11381248,1
4,12095,3775.0502618,1,VSM.FilterHorizontal,66560,1
4,12095,3775.0502618,1,VSM.FilterVertical,0,0
4,12095,3775.0502618,1,VSM.FilterTemporalVertical,314624,1
5,12096,3775.0728183,1,VSM.LayoutRemap,0,1
5,12096,3775.0728183,1,VSM.ResetFeedback,0,1
5,12096,3775.0728183,1,VSM.MarkReceiverPages,622336,1
5,12096,3775.0728183,1,VSM.Allocate,223744,1
5,12096,3775.0728183,1,VSM.InvalidateStatic,0,0
5,12096,3775.0728183,1,VSM.ClearPhysicalPages,89600,1
5,12096,3775.0728183,1,VSM.StaticCasterCull,69376,1
5,12096,3775.0728183,1,VSM.DynamicCasterCull,44288,1
5,12096,3775.0728183,1,VSM.PageCull,80384,2
5,12096,3775.0728183,1,VSM.StaticRaster,3328,1
5,12096,3775.0728183,1,VSM.FinalizePages,1792,1
5,12096,3775.0728183,1,VSM.DynamicRaster,34048,1
5,12096,3775.0728183,1,VSM.UnityCompatibilityRaster,0,0
5,12096,3775.0728183,1,VSM.Resolve,12624384,1
5,12096,3775.0728183,1,VSM.ResolveTrace,12399872,1
5,12096,3775.0728183,1,VSM.FilterHorizontal,65280,1
5,12096,3775.0728183,1,VSM.FilterVertical,0,0
5,12096,3775.0728183,1,VSM.FilterTemporalVertical,157696,1
6,12097,3775.0951153,1,VSM.LayoutRemap,0,1
6,12097,3775.0951153,1,VSM.ResetFeedback,0,1
6,12097,3775.0951153,1,VSM.MarkReceiverPages,624640,1
6,12097,3775.0951153,1,VSM.Allocate,226048,1
6,12097,3775.0951153,1,VSM.InvalidateStatic,0,0
6,12097,3775.0951153,1,VSM.ClearPhysicalPages,258048,1
6,12097,3775.0951153,1,VSM.StaticCasterCull,75008,1
6,12097,3775.0951153,1,VSM.DynamicCasterCull,45568,1
6,12097,3775.0951153,1,VSM.PageCull,82176,2
6,12097,3775.0951153,1,VSM.StaticRaster,6912,1
6,12097,3775.0951153,1,VSM.FinalizePages,2048,1
