observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,13056,3802.5340384,1,VSM.LayoutRemap,0,1
0,13056,3802.5340384,1,VSM.ResetFeedback,0,1
0,13056,3802.5340384,1,VSM.MarkReceiverPages,616448,1
0,13056,3802.5340384,1,VSM.Allocate,223744,1
0,13056,3802.5340384,1,VSM.InvalidateStatic,0,0
0,13056,3802.5340384,1,VSM.ClearPhysicalPages,89600,1
0,13056,3802.5340384,1,VSM.StaticCasterCull,67072,1
0,13056,3802.5340384,1,VSM.DynamicCasterCull,41472,1
0,13056,3802.5340384,1,VSM.PageCull,75776,2
0,13056,3802.5340384,1,VSM.StaticRaster,7680,1
0,13056,3802.5340384,1,VSM.FinalizePages,2048,1
0,13056,3802.5340384,1,VSM.DynamicRaster,33792,1
0,13056,3802.5340384,1,VSM.UnityCompatibilityRaster,0,0
0,13056,3802.5340384,1,VSM.Resolve,10449920,1
0,13056,3802.5340384,1,VSM.ResolveTrace,10226176,1
0,13056,3802.5340384,1,VSM.FilterHorizontal,66048,1
0,13056,3802.5340384,1,VSM.FilterVertical,0,0
0,13056,3802.5340384,1,VSM.FilterTemporalVertical,156160,1
1,13057,3802.5567731,1,VSM.LayoutRemap,0,1
1,13057,3802.5567731,1,VSM.ResetFeedback,0,1
1,13057,3802.5567731,1,VSM.MarkReceiverPages,617728,1
1,13057,3802.5567731,1,VSM.Allocate,221696,1
1,13057,3802.5567731,1,VSM.InvalidateStatic,0,0
1,13057,3802.5567731,1,VSM.ClearPhysicalPages,252416,1
1,13057,3802.5567731,1,VSM.StaticCasterCull,70656,1
1,13057,3802.5567731,1,VSM.DynamicCasterCull,41984,1
1,13057,3802.5567731,1,VSM.PageCull,78080,2
1,13057,3802.5567731,1,VSM.StaticRaster,6912,1
1,13057,3802.5567731,1,VSM.FinalizePages,2304,1
1,13057,3802.5567731,1,VSM.DynamicRaster,33792,1
1,13057,3802.5567731,1,VSM.UnityCompatibilityRaster,0,0
1,13057,3802.5567731,1,VSM.Resolve,10558464,1
1,13057,3802.5567731,1,VSM.ResolveTrace,10333440,1
1,13057,3802.5567731,1,VSM.FilterHorizontal,65536,1
1,13057,3802.5567731,1,VSM.FilterVertical,0,0
1,13057,3802.5567731,1,VSM.FilterTemporalVertical,158464,1
2,13058,3802.5791437,1,VSM.LayoutRemap,0,1
2,13058,3802.5791437,1,VSM.ResetFeedback,0,1
2,13058,3802.5791437,1,VSM.MarkReceiverPages,615424,1
2,13058,3802.5791437,1,VSM.Allocate,225536,1
2,13058,3802.5791437,1,VSM.InvalidateStatic,0,0
2,13058,3802.5791437,1,VSM.ClearPhysicalPages,89856,1
2,13058,3802.5791437,1,VSM.StaticCasterCull,68352,1
2,13058,3802.5791437,1,VSM.DynamicCasterCull,42752,1
2,13058,3802.5791437,1,VSM.PageCull,77824,2
2,13058,3802.5791437,1,VSM.StaticRaster,7680,1
2,13058,3802.5791437,1,VSM.FinalizePages,2048,1
2,13058,3802.5791437,1,VSM.DynamicRaster,33792,1
2,13058,3802.5791437,1,VSM.UnityCompatibilityRaster,0,0
2,13058,3802.5791437,1,VSM.Resolve,10540032,1
2,13058,3802.5791437,1,VSM.ResolveTrace,10314240,1
2,13058,3802.5791437,1,VSM.FilterHorizontal,65280,1
2,13058,3802.5791437,1,VSM.FilterVertical,0,0
2,13058,3802.5791437,1,VSM.FilterTemporalVertical,159488,1
3,13059,3802.6007036,1,VSM.LayoutRemap,0,1
3,13059,3802.6007036,1,VSM.ResetFeedback,0,1
3,13059,3802.6007036,1,VSM.MarkReceiverPages,626432,1
3,13059,3802.6007036,1,VSM.Allocate,262656,1
3,13059,3802.6007036,1,VSM.InvalidateStatic,0,0
3,13059,3802.6007036,1,VSM.ClearPhysicalPages,257280,1
3,13059,3802.6007036,1,VSM.StaticCasterCull,72704,1
3,13059,3802.6007036,1,VSM.DynamicCasterCull,46080,1
3,13059,3802.6007036,1,VSM.PageCull,80640,2
3,13059,3802.6007036,1,VSM.StaticRaster,30720,1
3,13059,3802.6007036,1,VSM.FinalizePages,2048,1
3,13059,3802.6007036,1,VSM.DynamicRaster,32768,1
3,13059,3802.6007036,1,VSM.UnityCompatibilityRaster,0,0
3,13059,3802.6007036,1,VSM.Resolve,10341632,1
3,13059,3802.6007036,1,VSM.ResolveTrace,10122496,1
3,13059,3802.6007036,1,VSM.FilterHorizontal,65792,1
3,13059,3802.6007036,1,VSM.FilterVertical,0,0
3,13059,3802.6007036,1,VSM.FilterTemporalVertical,152320,1
4,13060,3802.6218277,1,VSM.LayoutRemap,0,1
4,13060,3802.6218277,1,VSM.ResetFeedback,0,1
