observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,11898,3770.7134954999997,1,VSM.LayoutRemap,0,1
0,11898,3770.7134954999997,1,VSM.ResetFeedback,0,1
0,11898,3770.7134954999997,1,VSM.MarkReceiverPages,628480,1
0,11898,3770.7134954999997,1,VSM.Allocate,224512,1
0,11898,3770.7134954999997,1,VSM.InvalidateStatic,0,0
0,11898,3770.7134954999997,1,VSM.ClearPhysicalPages,667392,1
0,11898,3770.7134954999997,1,VSM.StaticCasterCull,71680,1
0,11898,3770.7134954999997,1,VSM.DynamicCasterCull,43008,1
0,11898,3770.7134954999997,1,VSM.PageCull,75776,2
0,11898,3770.7134954999997,1,VSM.StaticRaster,6912,1
0,11898,3770.7134954999997,1,VSM.FinalizePages,2304,1
0,11898,3770.7134954999997,1,VSM.DynamicRaster,36608,1
0,11898,3770.7134954999997,1,VSM.UnityCompatibilityRaster,0,0
0,11898,3770.7134954999997,1,VSM.Resolve,10906880,1
0,11898,3770.7134954999997,1,VSM.ResolveTrace,10683392,1
0,11898,3770.7134954999997,1,VSM.FilterHorizontal,65536,1
0,11898,3770.7134954999997,1,VSM.FilterVertical,0,0
0,11898,3770.7134954999997,1,VSM.FilterTemporalVertical,156928,1
1,11899,3770.7339874,1,VSM.LayoutRemap,0,1
1,11899,3770.7339874,1,VSM.ResetFeedback,0,1
1,11899,3770.7339874,1,VSM.MarkReceiverPages,805632,1
1,11899,3770.7339874,1,VSM.Allocate,224512,1
1,11899,3770.7339874,1,VSM.InvalidateStatic,0,0
1,11899,3770.7339874,1,VSM.ClearPhysicalPages,89344,1
1,11899,3770.7339874,1,VSM.StaticCasterCull,68608,1
1,11899,3770.7339874,1,VSM.DynamicCasterCull,46080,1
1,11899,3770.7339874,1,VSM.PageCull,81664,2
1,11899,3770.7339874,1,VSM.StaticRaster,7168,1
1,11899,3770.7339874,1,VSM.FinalizePages,2048,1
1,11899,3770.7339874,1,VSM.DynamicRaster,34816,1
1,11899,3770.7339874,1,VSM.UnityCompatibilityRaster,0,0
1,11899,3770.7339874,1,VSM.Resolve,11337984,1
1,11899,3770.7339874,1,VSM.ResolveTrace,10934528,1
1,11899,3770.7339874,1,VSM.FilterHorizontal,65024,1
1,11899,3770.7339874,1,VSM.FilterVertical,0,0
1,11899,3770.7339874,1,VSM.FilterTemporalVertical,155136,1
2,11900,3770.7541499999998,1,VSM.LayoutRemap,0,1
2,11900,3770.7541499999998,1,VSM.ResetFeedback,0,1
2,11900,3770.7541499999998,1,VSM.MarkReceiverPages,623872,1
2,11900,3770.7541499999998,1,VSM.Allocate,223744,1
2,11900,3770.7541499999998,1,VSM.InvalidateStatic,0,0
2,11900,3770.7541499999998,1,VSM.ClearPhysicalPages,89600,1
2,11900,3770.7541499999998,1,VSM.StaticCasterCull,67328,1
2,11900,3770.7541499999998,1,VSM.DynamicCasterCull,43520,1
2,11900,3770.7541499999998,1,VSM.PageCull,77312,2
2,11900,3770.7541499999998,1,VSM.StaticRaster,7168,1
2,11900,3770.7541499999998,1,VSM.FinalizePages,2048,1
2,11900,3770.7541499999998,1,VSM.DynamicRaster,35328,1
2,11900,3770.7541499999998,1,VSM.UnityCompatibilityRaster,0,0
2,11900,3770.7541499999998,1,VSM.Resolve,11380736,1
2,11900,3770.7541499999998,1,VSM.ResolveTrace,11158016,1
2,11900,3770.7541499999998,1,VSM.FilterHorizontal,64768,1
2,11900,3770.7541499999998,1,VSM.FilterVertical,0,0
2,11900,3770.7541499999998,1,VSM.FilterTemporalVertical,156928,1
3,11901,3770.775155,1,VSM.LayoutRemap,0,1
3,11901,3770.775155,1,VSM.ResetFeedback,0,1
3,11901,3770.775155,1,VSM.MarkReceiverPages,626176,1
3,11901,3770.775155,1,VSM.Allocate,226304,1
3,11901,3770.775155,1,VSM.InvalidateStatic,0,0
3,11901,3770.775155,1,VSM.ClearPhysicalPages,391168,1
3,11901,3770.775155,1,VSM.StaticCasterCull,73216,1
3,11901,3770.775155,1,VSM.DynamicCasterCull,44032,1
3,11901,3770.775155,1,VSM.PageCull,78336,2
3,11901,3770.775155,1,VSM.StaticRaster,6912,1
3,11901,3770.775155,1,VSM.FinalizePages,2304,1
3,11901,3770.775155,1,VSM.DynamicRaster,35840,1
3,11901,3770.775155,1,VSM.UnityCompatibilityRaster,0,0
3,11901,3770.775155,1,VSM.Resolve,11512832,1
3,11901,3770.775155,1,VSM.ResolveTrace,11287552,1
3,11901,3770.775155,1,VSM.FilterHorizontal,67328,1
3,11901,3770.775155,1,VSM.FilterVertical,0,0
3,11901,3770.775155,1,VSM.FilterTemporalVertical,157184,1
4,11902,3770.7958178,1,VSM.LayoutRemap,0,1
