observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,13249,3806.6083629,1,VSM.LayoutRemap,0,1
0,13249,3806.6083629,1,VSM.ResetFeedback,0,1
0,13249,3806.6083629,1,VSM.MarkReceiverPages,627968,1
0,13249,3806.6083629,1,VSM.Allocate,225280,1
0,13249,3806.6083629,1,VSM.InvalidateStatic,0,0
0,13249,3806.6083629,1,VSM.ClearPhysicalPages,89344,1
0,13249,3806.6083629,1,VSM.StaticCasterCull,65792,1
0,13249,3806.6083629,1,VSM.DynamicCasterCull,43520,1
0,13249,3806.6083629,1,VSM.PageCull,76544,2
0,13249,3806.6083629,1,VSM.StaticRaster,8704,1
0,13249,3806.6083629,1,VSM.FinalizePages,2304,1
0,13249,3806.6083629,1,VSM.DynamicRaster,33792,1
0,13249,3806.6083629,1,VSM.UnityCompatibilityRaster,0,0
0,13249,3806.6083629,1,VSM.Resolve,11209216,1
0,13249,3806.6083629,1,VSM.ResolveTrace,10986240,1
0,13249,3806.6083629,1,VSM.FilterHorizontal,65280,1
0,13249,3806.6083629,1,VSM.FilterVertical,0,0
0,13249,3806.6083629,1,VSM.FilterTemporalVertical,156416,1
1,13250,3806.6295806999997,1,VSM.LayoutRemap,0,1
1,13250,3806.6295806999997,1,VSM.ResetFeedback,0,1
1,13250,3806.6295806999997,1,VSM.MarkReceiverPages,629248,1
1,13250,3806.6295806999997,1,VSM.Allocate,226048,1
1,13250,3806.6295806999997,1,VSM.InvalidateStatic,0,0
1,13250,3806.6295806999997,1,VSM.ClearPhysicalPages,391168,1
1,13250,3806.6295806999997,1,VSM.StaticCasterCull,69888,1
1,13250,3806.6295806999997,1,VSM.DynamicCasterCull,42752,1
1,13250,3806.6295806999997,1,VSM.PageCull,74752,2
1,13250,3806.6295806999997,1,VSM.StaticRaster,3328,1
1,13250,3806.6295806999997,1,VSM.FinalizePages,2304,1
1,13250,3806.6295806999997,1,VSM.DynamicRaster,34048,1
1,13250,3806.6295806999997,1,VSM.UnityCompatibilityRaster,0,0
1,13250,3806.6295806999997,1,VSM.Resolve,11589632,1
1,13250,3806.6295806999997,1,VSM.ResolveTrace,10981888,1
1,13250,3806.6295806999997,1,VSM.FilterHorizontal,67584,1
1,13250,3806.6295806999997,1,VSM.FilterVertical,0,0
1,13250,3806.6295806999997,1,VSM.FilterTemporalVertical,538880,1
2,13251,3806.6510515,1,VSM.LayoutRemap,0,1
2,13251,3806.6510515,1,VSM.ResetFeedback,0,1
2,13251,3806.6510515,1,VSM.MarkReceiverPages,626432,1
2,13251,3806.6510515,1,VSM.Allocate,225280,1
2,13251,3806.6510515,1,VSM.InvalidateStatic,0,0
2,13251,3806.6510515,1,VSM.ClearPhysicalPages,89856,1
2,13251,3806.6510515,1,VSM.StaticCasterCull,68096,1
2,13251,3806.6510515,1,VSM.DynamicCasterCull,44288,1
2,13251,3806.6510515,1,VSM.PageCull,80128,2
2,13251,3806.6510515,1,VSM.StaticRaster,7168,1
2,13251,3806.6510515,1,VSM.FinalizePages,2048,1
2,13251,3806.6510515,1,VSM.DynamicRaster,33024,1
2,13251,3806.6510515,1,VSM.UnityCompatibilityRaster,0,0
2,13251,3806.6510515,1,VSM.Resolve,11489536,1
2,13251,3806.6510515,1,VSM.ResolveTrace,11263232,1
2,13251,3806.6510515,1,VSM.FilterHorizontal,66048,1
2,13251,3806.6510515,1,VSM.FilterVertical,0,0
2,13251,3806.6510515,1,VSM.FilterTemporalVertical,159488,1
3,13252,3806.6709852999998,1,VSM.LayoutRemap,0,1
3,13252,3806.6709852999998,1,VSM.ResetFeedback,0,1
3,13252,3806.6709852999998,1,VSM.MarkReceiverPages,630272,1
3,13252,3806.6709852999998,1,VSM.Allocate,225280,1
3,13252,3806.6709852999998,1,VSM.InvalidateStatic,0,0
3,13252,3806.6709852999998,1,VSM.ClearPhysicalPages,444416,1
3,13252,3806.6709852999998,1,VSM.StaticCasterCull,72960,1
3,13252,3806.6709852999998,1,VSM.DynamicCasterCull,43776,1
3,13252,3806.6709852999998,1,VSM.PageCull,78080,2
3,13252,3806.6709852999998,1,VSM.StaticRaster,7168,1
3,13252,3806.6709852999998,1,VSM.FinalizePages,2304,1
3,13252,3806.6709852999998,1,VSM.DynamicRaster,34048,1
3,13252,3806.6709852999998,1,VSM.UnityCompatibilityRaster,0,0
3,13252,3806.6709852999998,1,VSM.Resolve,10776320,1
3,13252,3806.6709852999998,1,VSM.ResolveTrace,10551040,1
3,13252,3806.6709852999998,1,VSM.FilterHorizontal,65792,1
3,13252,3806.6709852999998,1,VSM.FilterVertical,0,0
3,13252,3806.6709852999998,1,VSM.FilterTemporalVertical,158208,1
4,13253,3806.6907818,1,VSM.LayoutRemap,0,1
4,13253,3806.6907818,1,VSM.ResetFeedback,0,1
4,13253,3806.6907818,1,VSM.MarkReceiverPages,630528,1
4,13253,3806.6907818,1,VSM.Allocate,225536,1
4,13253,3806.6907818,1,VSM.InvalidateStatic,0,0
4,13253,3806.6907818,1,VSM.ClearPhysicalPages,392960,1
4,13253,3806.6907818,1,VSM.StaticCasterCull,66560,1
4,13253,3806.6907818,1,VSM.DynamicCasterCull,44288,1
4,13253,3806.6907818,1,VSM.PageCull,77056,2
4,13253,3806.6907818,1,VSM.StaticRaster,7168,1
4,13253,3806.6907818,1,VSM.FinalizePages,2304,1
4,13253,3806.6907818,1,VSM.DynamicRaster,32768,1
4,13253,3806.6907818,1,VSM.UnityCompatibilityRaster,0,0
4,13253,3806.6907818,1,VSM.Resolve,11219968,1
4,13253,3806.6907818,1,VSM.ResolveTrace,10991872,1
4,13253,3806.6907818,1,VSM.FilterHorizontal,66816,1
4,13253,3806.6907818,1,VSM.FilterVertical,0,0
4,13253,3806.6907818,1,VSM.FilterTemporalVertical,160256,1
5,13254,3806.7117727,1,VSM.LayoutRemap,0,1
5,13254,3806.7117727,1,VSM.ResetFeedback,0,1
5,13254,3806.7117727,1,VSM.MarkReceiverPages,628992,1
5,13254,3806.7117727,1,VSM.Allocate,226048,1
5,13254,3806.7117727,1,VSM.InvalidateStatic,0,0
5,13254,3806.7117727,1,VSM.ClearPhysicalPages,89856,1
5,13254,3806.7117727,1,VSM.StaticCasterCull,69120,1
5,13254,3806.7117727,1,VSM.DynamicCasterCull,45824,1
5,13254,3806.7117727,1,VSM.PageCull,81920,2
