observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,10933,3748.8508076,1,VSM.LayoutRemap,0,1
0,10933,3748.8508076,1,VSM.ResetFeedback,0,1
0,10933,3748.8508076,1,VSM.MarkReceiverPages,623616,1
0,10933,3748.8508076,1,VSM.Allocate,225280,1
0,10933,3748.8508076,1,VSM.InvalidateStatic,0,0
0,10933,3748.8508076,1,VSM.ClearPhysicalPages,89600,1
0,10933,3748.8508076,1,VSM.StaticCasterCull,66048,1
0,10933,3748.8508076,1,VSM.DynamicCasterCull,0,1
0,10933,3748.8508076,1,VSM.PageCull,47616,1
0,10933,3748.8508076,1,VSM.StaticRaster,7168,1
0,10933,3748.8508076,1,VSM.FinalizePages,2048,1
0,10933,3748.8508076,1,VSM.DynamicRaster,12288,1
0,10933,3748.8508076,1,VSM.UnityCompatibilityRaster,0,0
0,10933,3748.8508076,1,VSM.Resolve,10116096,1
0,10933,3748.8508076,1,VSM.ResolveTrace,9893120,1
0,10933,3748.8508076,1,VSM.FilterHorizontal,65024,1
0,10933,3748.8508076,1,VSM.FilterVertical,0,0
0,10933,3748.8508076,1,VSM.FilterTemporalVertical,157184,1
1,10934,3748.8699026,1,VSM.LayoutRemap,0,1
1,10934,3748.8699026,1,VSM.ResetFeedback,0,1
1,10934,3748.8699026,1,VSM.MarkReceiverPages,624640,1
1,10934,3748.8699026,1,VSM.Allocate,222464,1
1,10934,3748.8699026,1,VSM.InvalidateStatic,0,0
1,10934,3748.8699026,1,VSM.ClearPhysicalPages,393472,1
1,10934,3748.8699026,1,VSM.StaticCasterCull,72704,1
1,10934,3748.8699026,1,VSM.DynamicCasterCull,0,1
1,10934,3748.8699026,1,VSM.PageCull,48640,1
1,10934,3748.8699026,1,VSM.StaticRaster,7424,1
1,10934,3748.8699026,1,VSM.FinalizePages,2048,1
1,10934,3748.8699026,1,VSM.DynamicRaster,12032,1
1,10934,3748.8699026,1,VSM.UnityCompatibilityRaster,0,0
1,10934,3748.8699026,1,VSM.Resolve,10849536,1
1,10934,3748.8699026,1,VSM.ResolveTrace,10625536,1
1,10934,3748.8699026,1,VSM.FilterHorizontal,65280,1
1,10934,3748.8699026,1,VSM.FilterVertical,0,0
1,10934,3748.8699026,1,VSM.FilterTemporalVertical,157440,1
2,10935,3748.8886649,1,VSM.LayoutRemap,0,1
2,10935,3748.8886649,1,VSM.ResetFeedback,0,1
2,10935,3748.8886649,1,VSM.MarkReceiverPages,624896,1
2,10935,3748.8886649,1,VSM.Allocate,225280,1
2,10935,3748.8886649,1,VSM.InvalidateStatic,0,0
2,10935,3748.8886649,1,VSM.ClearPhysicalPages,253696,1
2,10935,3748.8886649,1,VSM.StaticCasterCull,68096,1
2,10935,3748.8886649,1,VSM.DynamicCasterCull,0,1
2,10935,3748.8886649,1,VSM.PageCull,48640,1
2,10935,3748.8886649,1,VSM.StaticRaster,7168,1
2,10935,3748.8886649,1,VSM.FinalizePages,2048,1
2,10935,3748.8886649,1,VSM.DynamicRaster,10752,1
2,10935,3748.8886649,1,VSM.UnityCompatibilityRaster,0,0
2,10935,3748.8886649,1,VSM.Resolve,10487552,1
2,10935,3748.8886649,1,VSM.ResolveTrace,10261504,1
2,10935,3748.8886649,1,VSM.FilterHorizontal,67072,1
2,10935,3748.8886649,1,VSM.FilterVertical,0,0
2,10935,3748.8886649,1,VSM.FilterTemporalVertical,157952,1
3,10936,3748.9080006,1,VSM.LayoutRemap,0,1
3,10936,3748.9080006,1,VSM.ResetFeedback,0,1
3,10936,3748.9080006,1,VSM.MarkReceiverPages,625664,1
3,10936,3748.9080006,1,VSM.Allocate,223488,1
3,10936,3748.9080006,1,VSM.InvalidateStatic,0,0
3,10936,3748.9080006,1,VSM.ClearPhysicalPages,386560,1
3,10936,3748.9080006,1,VSM.StaticCasterCull,76032,1
3,10936,3748.9080006,1,VSM.DynamicCasterCull,256,1
3,10936,3748.9080006,1,VSM.PageCull,51200,1
3,10936,3748.9080006,1,VSM.StaticRaster,7168,1
3,10936,3748.9080006,1,VSM.FinalizePages,2560,1
3,10936,3748.9080006,1,VSM.DynamicRaster,10752,1
3,10936,3748.9080006,1,VSM.UnityCompatibilityRaster,0,0
3,10936,3748.9080006,1,VSM.Resolve,9932032,1
3,10936,3748.9080006,1,VSM.ResolveTrace,9709056,1
3,10936,3748.9080006,1,VSM.FilterHorizontal,64768,1
3,10936,3748.9080006,1,VSM.FilterVertical,0,0
3,10936,3748.9080006,1,VSM.FilterTemporalVertical,156672,1
4,10937,3748.9269067,1,VSM.LayoutRemap,0,1
4,10937,3748.9269067,1,VSM.ResetFeedback,0,1
4,10937,3748.9269067,1,VSM.MarkReceiverPages,630272,1
