observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,14214,3827.4051618,1,VSM.LayoutRemap,0,1
0,14214,3827.4051618,1,VSM.ResetFeedback,0,1
0,14214,3827.4051618,1,VSM.MarkReceiverPages,626688,1
0,14214,3827.4051618,1,VSM.Allocate,226816,1
0,14214,3827.4051618,1,VSM.InvalidateStatic,0,0
0,14214,3827.4051618,1,VSM.ClearPhysicalPages,89856,1
0,14214,3827.4051618,1,VSM.StaticCasterCull,377088,1
0,14214,3827.4051618,1,VSM.DynamicCasterCull,256,1
0,14214,3827.4051618,1,VSM.PageCull,48640,1
0,14214,3827.4051618,1,VSM.StaticRaster,4608,1
0,14214,3827.4051618,1,VSM.FinalizePages,2560,1
0,14214,3827.4051618,1,VSM.DynamicRaster,14080,1
0,14214,3827.4051618,1,VSM.UnityCompatibilityRaster,0,0
0,14214,3827.4051618,1,VSM.Resolve,10373632,1
0,14214,3827.4051618,1,VSM.ResolveTrace,9933312,1
0,14214,3827.4051618,1,VSM.FilterHorizontal,65024,1
0,14214,3827.4051618,1,VSM.FilterVertical,0,0
0,14214,3827.4051618,1,VSM.FilterTemporalVertical,374016,1
1,14215,3827.4248831,1,VSM.LayoutRemap,0,1
1,14215,3827.4248831,1,VSM.ResetFeedback,0,1
1,14215,3827.4248831,1,VSM.MarkReceiverPages,625920,1
1,14215,3827.4248831,1,VSM.Allocate,224000,1
1,14215,3827.4248831,1,VSM.InvalidateStatic,0,0
1,14215,3827.4248831,1,VSM.ClearPhysicalPages,90368,1
1,14215,3827.4248831,1,VSM.StaticCasterCull,68608,1
1,14215,3827.4248831,1,VSM.DynamicCasterCull,0,1
1,14215,3827.4248831,1,VSM.PageCull,49920,1
1,14215,3827.4248831,1,VSM.StaticRaster,3328,1
1,14215,3827.4248831,1,VSM.FinalizePages,1792,1
1,14215,3827.4248831,1,VSM.DynamicRaster,13568,1
1,14215,3827.4248831,1,VSM.UnityCompatibilityRaster,0,0
1,14215,3827.4248831,1,VSM.Resolve,9759488,1
1,14215,3827.4248831,1,VSM.ResolveTrace,9535232,1
1,14215,3827.4248831,1,VSM.FilterHorizontal,65024,1
1,14215,3827.4248831,1,VSM.FilterVertical,0,0
1,14215,3827.4248831,1,VSM.FilterTemporalVertical,157696,1
2,14216,3827.4446746,1,VSM.LayoutRemap,0,1
2,14216,3827.4446746,1,VSM.ResetFeedback,0,1
2,14216,3827.4446746,1,VSM.MarkReceiverPages,628992,1
2,14216,3827.4446746,1,VSM.Allocate,226816,1
2,14216,3827.4446746,1,VSM.InvalidateStatic,0,0
2,14216,3827.4446746,1,VSM.ClearPhysicalPages,392448,1
2,14216,3827.4446746,1,VSM.StaticCasterCull,73216,1
2,14216,3827.4446746,1,VSM.DynamicCasterCull,0,1
2,14216,3827.4446746,1,VSM.PageCull,49408,1
2,14216,3827.4446746,1,VSM.StaticRaster,7168,1
2,14216,3827.4446746,1,VSM.FinalizePages,2304,1
2,14216,3827.4446746,1,VSM.DynamicRaster,12544,1
2,14216,3827.4446746,1,VSM.UnityCompatibilityRaster,0,0
2,14216,3827.4446746,1,VSM.Resolve,9791232,1
2,14216,3827.4446746,1,VSM.ResolveTrace,9383680,1
2,14216,3827.4446746,1,VSM.FilterHorizontal,64768,1
2,14216,3827.4446746,1,VSM.FilterVertical,0,0
2,14216,3827.4446746,1,VSM.FilterTemporalVertical,341760,1
3,14217,3827.4636099,1,VSM.LayoutRemap,0,1
3,14217,3827.4636099,1,VSM.ResetFeedback,0,1
3,14217,3827.4636099,1,VSM.MarkReceiverPages,631808,1
3,14217,3827.4636099,1,VSM.Allocate,225792,1
3,14217,3827.4636099,1,VSM.InvalidateStatic,0,0
3,14217,3827.4636099,1,VSM.ClearPhysicalPages,89856,1
3,14217,3827.4636099,1,VSM.StaticCasterCull,68352,1
3,14217,3827.4636099,1,VSM.DynamicCasterCull,0,1
3,14217,3827.4636099,1,VSM.PageCull,49920,1
3,14217,3827.4636099,1,VSM.StaticRaster,7168,1
3,14217,3827.4636099,1,VSM.FinalizePages,2304,1
3,14217,3827.4636099,1,VSM.DynamicRaster,14848,1
3,14217,3827.4636099,1,VSM.UnityCompatibilityRaster,0,0
3,14217,3827.4636099,1,VSM.Resolve,10124288,1
3,14217,3827.4636099,1,VSM.ResolveTrace,9731072,1
3,14217,3827.4636099,1,VSM.FilterHorizontal,64512,1
3,14217,3827.4636099,1,VSM.FilterVertical,0,0
3,14217,3827.4636099,1,VSM.FilterTemporalVertical,157440,1
4,14218,3827.4843771,1,VSM.LayoutRemap,0,1
4,14218,3827.4843771,1,VSM.ResetFeedback,0,1
4,14218,3827.4843771,1,VSM.MarkReceiverPages,627968,1
4,14218,3827.4843771,1,VSM.Allocate,226560,1
4,14218,3827.4843771,1,VSM.InvalidateStatic,0,0
4,14218,3827.4843771,1,VSM.ClearPhysicalPages,89600,1
4,14218,3827.4843771,1,VSM.StaticCasterCull,66816,1
4,14218,3827.4843771,1,VSM.DynamicCasterCull,0,1
4,14218,3827.4843771,1,VSM.PageCull,48128,1
4,14218,3827.4843771,1,VSM.StaticRaster,7680,1
4,14218,3827.4843771,1,VSM.FinalizePages,2048,1
4,14218,3827.4843771,1,VSM.DynamicRaster,12544,1
4,14218,3827.4843771,1,VSM.UnityCompatibilityRaster,0,0
4,14218,3827.4843771,1,VSM.Resolve,10420992,1
4,14218,3827.4843771,1,VSM.ResolveTrace,10194944,1
4,14218,3827.4843771,1,VSM.FilterHorizontal,65280,1
4,14218,3827.4843771,1,VSM.FilterVertical,0,0
4,14218,3827.4843771,1,VSM.FilterTemporalVertical,159744,1
5,14219,3827.5031448,1,VSM.LayoutRemap,0,1
5,14219,3827.5031448,1,VSM.ResetFeedback,0,1
5,14219,3827.5031448,1,VSM.MarkReceiverPages,625664,1
5,14219,3827.5031448,1,VSM.Allocate,227072,1
5,14219,3827.5031448,1,VSM.InvalidateStatic,0,0
5,14219,3827.5031448,1,VSM.ClearPhysicalPages,89856,1
5,14219,3827.5031448,1,VSM.StaticCasterCull,66560,1
5,14219,3827.5031448,1,VSM.DynamicCasterCull,0,1
5,14219,3827.5031448,1,VSM.PageCull,47360,1
5,14219,3827.5031448,1,VSM.StaticRaster,8192,1
5,14219,3827.5031448,1,VSM.FinalizePages,2048,1
5,14219,3827.5031448,1,VSM.DynamicRaster,12032,1
5,14219,3827.5031448,1,VSM.UnityCompatibilityRaster,0,0
5,14219,3827.5031448,1,VSM.Resolve,9754624,1
5,14219,3827.5031448,1,VSM.ResolveTrace,9532160,1
5,14219,3827.5031448,1,VSM.FilterHorizontal,64768,1
5,14219,3827.5031448,1,VSM.FilterVertical,0,0
5,14219,3827.5031448,1,VSM.FilterTemporalVertical,156672,1
6,14220,3827.5220095,1,VSM.LayoutRemap,0,1
6,14220,3827.5220095,1,VSM.ResetFeedback,0,1
6,14220,3827.5220095,1,VSM.MarkReceiverPages,624384,1
6,14220,3827.5220095,1,VSM.Allocate,227072,1
6,14220,3827.5220095,1,VSM.InvalidateStatic,0,0
6,14220,3827.5220095,1,VSM.ClearPhysicalPages,89856,1
6,14220,3827.5220095,1,VSM.StaticCasterCull,68864,1
6,14220,3827.5220095,1,VSM.DynamicCasterCull,0,1
6,14220,3827.5220095,1,VSM.PageCull,49920,1
6,14220,3827.5220095,1,VSM.StaticRaster,10496,1
6,14220,3827.5220095,1,VSM.FinalizePages,2048,1
6,14220,3827.5220095,1,VSM.DynamicRaster,14080,1
6,14220,3827.5220095,1,VSM.UnityCompatibilityRaster,0,0
6,14220,3827.5220095,1,VSM.Resolve,11565312,1
6,14220,3827.5220095,1,VSM.ResolveTrace,11094272,1
6,14220,3827.5220095,1,VSM.FilterHorizontal,66560,1
6,14220,3827.5220095,1,VSM.FilterVertical,0,0
6,14220,3827.5220095,1,VSM.FilterTemporalVertical,158464,1
7,14221,3827.5403284999998,1,VSM.LayoutRemap,0,1
7,14221,3827.5403284999998,1,VSM.ResetFeedback,0,1
7,14221,3827.5403284999998,1,VSM.MarkReceiverPages,627712,1
7,14221,3827.5403284999998,1,VSM.Allocate,224768,1
7,14221,3827.5403284999998,1,VSM.InvalidateStatic,0,0
7,14221,3827.5403284999998,1,VSM.ClearPhysicalPages,280064,1
7,14221,3827.5403284999998,1,VSM.StaticCasterCull,71936,1
7,14221,3827.5403284999998,1,VSM.DynamicCasterCull,0,1
7,14221,3827.5403284999998,1,VSM.PageCull,48128,1
7,14221,3827.5403284999998,1,VSM.StaticRaster,7168,1
7,14221,3827.5403284999998,1,VSM.FinalizePages,2048,1
7,14221,3827.5403284999998,1,VSM.DynamicRaster,11264,1
7,14221,3827.5403284999998,1,VSM.UnityCompatibilityRaster,0,0
7,14221,3827.5403284999998,1,VSM.Resolve,9559552,1
7,14221,3827.5403284999998,1,VSM.ResolveTrace,9335808,1
7,14221,3827.5403284999998,1,VSM.FilterHorizontal,64768,1
7,14221,3827.5403284999998,1,VSM.FilterVertical,0,0
7,14221,3827.5403284999998,1,VSM.FilterTemporalVertical,157696,1
8,14222,3827.5619079999997,1,VSM.LayoutRemap,0,1
8,14222,3827.5619079999997,1,VSM.ResetFeedback,0,1
8,14222,3827.5619079999997,1,VSM.MarkReceiverPages,628992,1
8,14222,3827.5619079999997,1,VSM.Allocate,224256,1
8,14222,3827.5619079999997,1,VSM.InvalidateStatic,0,0
8,14222,3827.5619079999997,1,VSM.ClearPhysicalPages,524032,1
8,14222,3827.5619079999997,1,VSM.StaticCasterCull,71936,1
