observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,12284,3779.7437480999997,1,VSM.LayoutRemap,0,1
0,12284,3779.7437480999997,1,VSM.ResetFeedback,0,1
0,12284,3779.7437480999997,1,VSM.MarkReceiverPages,641280,1
0,12284,3779.7437480999997,1,VSM.Allocate,222976,1
0,12284,3779.7437480999997,1,VSM.InvalidateStatic,0,0
0,12284,3779.7437480999997,1,VSM.ClearPhysicalPages,282880,1
0,12284,3779.7437480999997,1,VSM.StaticCasterCull,68352,1
0,12284,3779.7437480999997,1,VSM.DynamicCasterCull,0,1
0,12284,3779.7437480999997,1,VSM.PageCull,49408,1
0,12284,3779.7437480999997,1,VSM.StaticRaster,6912,1
0,12284,3779.7437480999997,1,VSM.FinalizePages,2048,1
0,12284,3779.7437480999997,1,VSM.DynamicRaster,12544,1
0,12284,3779.7437480999997,1,VSM.UnityCompatibilityRaster,0,0
0,12284,3779.7437480999997,1,VSM.Resolve,12282880,1
0,12284,3779.7437480999997,1,VSM.ResolveTrace,12053504,1
0,12284,3779.7437480999997,1,VSM.FilterHorizontal,66560,1
0,12284,3779.7437480999997,1,VSM.FilterVertical,0,0
0,12284,3779.7437480999997,1,VSM.FilterTemporalVertical,162048,1
1,12285,3779.7754898999997,1,VSM.LayoutRemap,0,1
1,12285,3779.7754898999997,1,VSM.ResetFeedback,0,1
1,12285,3779.7754898999997,1,VSM.MarkReceiverPages,640512,1
1,12285,3779.7754898999997,1,VSM.Allocate,223488,1
1,12285,3779.7754898999997,1,VSM.InvalidateStatic,0,0
1,12285,3779.7754898999997,1,VSM.ClearPhysicalPages,89600,1
1,12285,3779.7754898999997,1,VSM.StaticCasterCull,67328,1
1,12285,3779.7754898999997,1,VSM.DynamicCasterCull,0,1
1,12285,3779.7754898999997,1,VSM.PageCull,48640,1
1,12285,3779.7754898999997,1,VSM.StaticRaster,6912,1
1,12285,3779.7754898999997,1,VSM.FinalizePages,2048,1
1,12285,3779.7754898999997,1,VSM.DynamicRaster,13312,1
1,12285,3779.7754898999997,1,VSM.UnityCompatibilityRaster,0,0
1,12285,3779.7754898999997,1,VSM.Resolve,10041344,1
1,12285,3779.7754898999997,1,VSM.ResolveTrace,9815040,1
1,12285,3779.7754898999997,1,VSM.FilterHorizontal,66816,1
1,12285,3779.7754898999997,1,VSM.FilterVertical,0,0
1,12285,3779.7754898999997,1,VSM.FilterTemporalVertical,158464,1
2,12286,3779.7966054999997,1,VSM.LayoutRemap,0,1
2,12286,3779.7966054999997,1,VSM.ResetFeedback,0,1
2,12286,3779.7966054999997,1,VSM.MarkReceiverPages,645632,1
2,12286,3779.7966054999997,1,VSM.Allocate,222976,1
2,12286,3779.7966054999997,1,VSM.InvalidateStatic,0,0
2,12286,3779.7966054999997,1,VSM.ClearPhysicalPages,361728,1
2,12286,3779.7966054999997,1,VSM.StaticCasterCull,73216,1
2,12286,3779.7966054999997,1,VSM.DynamicCasterCull,0,1
2,12286,3779.7966054999997,1,VSM.PageCull,48128,1
2,12286,3779.7966054999997,1,VSM.StaticRaster,7168,1
2,12286,3779.7966054999997,1,VSM.FinalizePages,2304,1
2,12286,3779.7966054999997,1,VSM.DynamicRaster,12800,1
2,12286,3779.7966054999997,1,VSM.UnityCompatibilityRaster,0,0
2,12286,3779.7966054999997,1,VSM.Resolve,10327808,1
2,12286,3779.7966054999997,1,VSM.ResolveTrace,10102016,1
2,12286,3779.7966054999997,1,VSM.FilterHorizontal,65792,1
2,12286,3779.7966054999997,1,VSM.FilterVertical,0,0
2,12286,3779.7966054999997,1,VSM.FilterTemporalVertical,158720,1
3,12287,3779.818855,1,VSM.LayoutRemap,2560,1
3,12287,3779.818855,1,VSM.ResetFeedback,1792,1
3,12287,3779.818855,1,VSM.MarkReceiverPages,622848,1
3,12287,3779.818855,1,VSM.Allocate,1935872,1
3,12287,3779.818855,1,VSM.InvalidateStatic,2048,1
3,12287,3779.818855,1,VSM.ClearPhysicalPages,173568,1
3,12287,3779.818855,1,VSM.StaticCasterCull,59392,1
3,12287,3779.818855,1,VSM.DynamicCasterCull,0,1
3,12287,3779.818855,1,VSM.PageCull,39936,1
