observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,12863,3796.9470214,1,VSM.LayoutRemap,0,1
0,12863,3796.9470214,1,VSM.ResetFeedback,0,1
0,12863,3796.9470214,1,VSM.MarkReceiverPages,641536,1
0,12863,3796.9470214,1,VSM.Allocate,223488,1
0,12863,3796.9470214,1,VSM.InvalidateStatic,0,0
0,12863,3796.9470214,1,VSM.ClearPhysicalPages,89600,1
0,12863,3796.9470214,1,VSM.StaticCasterCull,67328,1
0,12863,3796.9470214,1,VSM.DynamicCasterCull,0,1
0,12863,3796.9470214,1,VSM.PageCull,48896,1
0,12863,3796.9470214,1,VSM.StaticRaster,7424,1
0,12863,3796.9470214,1,VSM.FinalizePages,2304,1
0,12863,3796.9470214,1,VSM.DynamicRaster,13312,1
0,12863,3796.9470214,1,VSM.UnityCompatibilityRaster,0,0
0,12863,3796.9470214,1,VSM.Resolve,11803648,1
0,12863,3796.9470214,1,VSM.ResolveTrace,11579392,1
0,12863,3796.9470214,1,VSM.FilterHorizontal,67072,1
0,12863,3796.9470214,1,VSM.FilterVertical,0,0
0,12863,3796.9470214,1,VSM.FilterTemporalVertical,156416,1
1,12864,3796.979569,1,VSM.LayoutRemap,0,1
1,12864,3796.979569,1,VSM.ResetFeedback,0,1
1,12864,3796.979569,1,VSM.MarkReceiverPages,647168,1
1,12864,3796.979569,1,VSM.Allocate,223232,1
1,12864,3796.979569,1,VSM.InvalidateStatic,0,0
1,12864,3796.979569,1,VSM.ClearPhysicalPages,90112,1
1,12864,3796.979569,1,VSM.StaticCasterCull,430592,1
1,12864,3796.979569,1,VSM.DynamicCasterCull,256,1
1,12864,3796.979569,1,VSM.PageCull,63232,1
1,12864,3796.979569,1,VSM.StaticRaster,7424,1
1,12864,3796.979569,1,VSM.FinalizePages,2560,1
1,12864,3796.979569,1,VSM.DynamicRaster,35840,1
1,12864,3796.979569,1,VSM.UnityCompatibilityRaster,0,0
1,12864,3796.979569,1,VSM.Resolve,10146560,1
1,12864,3796.979569,1,VSM.ResolveTrace,9921024,1
1,12864,3796.979569,1,VSM.FilterHorizontal,65792,1
1,12864,3796.979569,1,VSM.FilterVertical,0,0
1,12864,3796.979569,1,VSM.FilterTemporalVertical,158976,1
2,12865,3797.0021752,1,VSM.LayoutRemap,0,1
2,12865,3797.0021752,1,VSM.ResetFeedback,0,1
2,12865,3797.0021752,1,VSM.MarkReceiverPages,645376,1
2,12865,3797.0021752,1,VSM.Allocate,224000,1
2,12865,3797.0021752,1,VSM.InvalidateStatic,0,0
2,12865,3797.0021752,1,VSM.ClearPhysicalPages,90368,1
2,12865,3797.0021752,1,VSM.StaticCasterCull,62464,1
2,12865,3797.0021752,1,VSM.DynamicCasterCull,0,1
2,12865,3797.0021752,1,VSM.PageCull,43776,1
2,12865,3797.0021752,1,VSM.StaticRaster,7424,1
2,12865,3797.0021752,1,VSM.FinalizePages,2048,1
2,12865,3797.0021752,1,VSM.DynamicRaster,11264,1
2,12865,3797.0021752,1,VSM.UnityCompatibilityRaster,0,0
2,12865,3797.0021752,1,VSM.Resolve,10174976,1
2,12865,3797.0021752,1,VSM.ResolveTrace,9948160,1
2,12865,3797.0021752,1,VSM.FilterHorizontal,66560,1
2,12865,3797.0021752,1,VSM.FilterVertical,0,0
2,12865,3797.0021752,1,VSM.FilterTemporalVertical,158720,1
3,12866,3797.0237039,1,VSM.LayoutRemap,2304,1
3,12866,3797.0237039,1,VSM.ResetFeedback,1536,1
3,12866,3797.0237039,1,VSM.MarkReceiverPages,1061120,1
3,12866,3797.0237039,1,VSM.Allocate,1944832,1
3,12866,3797.0237039,1,VSM.InvalidateStatic,2304,1
3,12866,3797.0237039,1,VSM.ClearPhysicalPages,173824,1
3,12866,3797.0237039,1,VSM.StaticCasterCull,57088,1
3,12866,3797.0237039,1,VSM.DynamicCasterCull,0,1
3,12866,3797.0237039,1,VSM.PageCull,38144,1
3,12866,3797.0237039,1,VSM.StaticRaster,8191232,1
3,12866,3797.0237039,1,VSM.FinalizePages,3328,1
