observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,12477,3788.2030125,1,VSM.LayoutRemap,0,1
0,12477,3788.2030125,1,VSM.ResetFeedback,0,1
0,12477,3788.2030125,1,VSM.MarkReceiverPages,645376,1
0,12477,3788.2030125,1,VSM.Allocate,221440,1
0,12477,3788.2030125,1,VSM.InvalidateStatic,0,0
0,12477,3788.2030125,1,VSM.ClearPhysicalPages,90112,1
0,12477,3788.2030125,1,VSM.StaticCasterCull,60416,1
0,12477,3788.2030125,1,VSM.DynamicCasterCull,0,1
0,12477,3788.2030125,1,VSM.PageCull,41984,1
0,12477,3788.2030125,1,VSM.StaticRaster,7168,1
0,12477,3788.2030125,1,VSM.FinalizePages,2048,1
0,12477,3788.2030125,1,VSM.DynamicRaster,11520,1
0,12477,3788.2030125,1,VSM.UnityCompatibilityRaster,0,0
0,12477,3788.2030125,1,VSM.Resolve,9446144,1
0,12477,3788.2030125,1,VSM.ResolveTrace,9221888,1
0,12477,3788.2030125,1,VSM.FilterHorizontal,64768,1
0,12477,3788.2030125,1,VSM.FilterVertical,0,0
0,12477,3788.2030125,1,VSM.FilterTemporalVertical,158464,1
1,12478,3788.2308328999998,1,VSM.LayoutRemap,0,1
1,12478,3788.2308328999998,1,VSM.ResetFeedback,0,1
1,12478,3788.2308328999998,1,VSM.MarkReceiverPages,641536,1
1,12478,3788.2308328999998,1,VSM.Allocate,224768,1
1,12478,3788.2308328999998,1,VSM.InvalidateStatic,0,0
1,12478,3788.2308328999998,1,VSM.ClearPhysicalPages,89856,1
1,12478,3788.2308328999998,1,VSM.StaticCasterCull,67840,1
1,12478,3788.2308328999998,1,VSM.DynamicCasterCull,256,1
1,12478,3788.2308328999998,1,VSM.PageCull,49152,1
1,12478,3788.2308328999998,1,VSM.StaticRaster,3328,1
1,12478,3788.2308328999998,1,VSM.FinalizePages,2048,1
1,12478,3788.2308328999998,1,VSM.DynamicRaster,11776,1
1,12478,3788.2308328999998,1,VSM.UnityCompatibilityRaster,0,0
1,12478,3788.2308328999998,1,VSM.Resolve,9064192,1
1,12478,3788.2308328999998,1,VSM.ResolveTrace,8839680,1
1,12478,3788.2308328999998,1,VSM.FilterHorizontal,66304,1
1,12478,3788.2308328999998,1,VSM.FilterVertical,0,0
1,12478,3788.2308328999998,1,VSM.FilterTemporalVertical,157184,1
2,12479,3788.2499887999998,1,VSM.LayoutRemap,0,1
2,12479,3788.2499887999998,1,VSM.ResetFeedback,0,1
2,12479,3788.2499887999998,1,VSM.MarkReceiverPages,904192,1
2,12479,3788.2499887999998,1,VSM.Allocate,220672,1
2,12479,3788.2499887999998,1,VSM.InvalidateStatic,0,0
2,12479,3788.2499887999998,1,VSM.ClearPhysicalPages,90112,1
2,12479,3788.2499887999998,1,VSM.StaticCasterCull,66816,1
2,12479,3788.2499887999998,1,VSM.DynamicCasterCull,256,1
2,12479,3788.2499887999998,1,VSM.PageCull,48128,1
2,12479,3788.2499887999998,1,VSM.StaticRaster,5632,1
2,12479,3788.2499887999998,1,VSM.FinalizePages,2048,1
2,12479,3788.2499887999998,1,VSM.DynamicRaster,12544,1
2,12479,3788.2499887999998,1,VSM.UnityCompatibilityRaster,0,0
2,12479,3788.2499887999998,1,VSM.Resolve,8928000,1
2,12479,3788.2499887999998,1,VSM.ResolveTrace,8704256,1
2,12479,3788.2499887999998,1,VSM.FilterHorizontal,64000,1
2,12479,3788.2499887999998,1,VSM.FilterVertical,0,0
2,12479,3788.2499887999998,1,VSM.FilterTemporalVertical,158208,1
3,12480,3788.2689532,1,VSM.LayoutRemap,2048,1
3,12480,3788.2689532,1,VSM.ResetFeedback,1792,1
3,12480,3788.2689532,1,VSM.MarkReceiverPages,628736,1
3,12480,3788.2689532,1,VSM.Allocate,1936128,1
3,12480,3788.2689532,1,VSM.InvalidateStatic,2048,1
3,12480,3788.2689532,1,VSM.ClearPhysicalPages,173824,1
3,12480,3788.2689532,1,VSM.StaticCasterCull,57600,1
3,12480,3788.2689532,1,VSM.DynamicCasterCull,256,1
3,12480,3788.2689532,1,VSM.PageCull,38656,1
3,12480,3788.2689532,1,VSM.StaticRaster,7651840,1
3,12480,3788.2689532,1,VSM.FinalizePages,2304,1
3,12480,3788.2689532,1,VSM.DynamicRaster,15872,1
3,12480,3788.2689532,1,VSM.UnityCompatibilityRaster,0,0
3,12480,3788.2689532,1,VSM.Resolve,9097216,1
3,12480,3788.2689532,1,VSM.ResolveTrace,8965120,1
3,12480,3788.2689532,1,VSM.FilterHorizontal,62208,1
3,12480,3788.2689532,1,VSM.FilterVertical,0,0
3,12480,3788.2689532,1,VSM.FilterTemporalVertical,69376,1
4,12481,3788.2863531999997,1,VSM.LayoutRemap,0,1
4,12481,3788.2863531999997,1,VSM.ResetFeedback,0,1
