observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,12670,3792.2604806,1,VSM.LayoutRemap,0,1
0,12670,3792.2604806,1,VSM.ResetFeedback,0,1
0,12670,3792.2604806,1,VSM.MarkReceiverPages,645120,1
0,12670,3792.2604806,1,VSM.Allocate,223488,1
0,12670,3792.2604806,1,VSM.InvalidateStatic,0,0
0,12670,3792.2604806,1,VSM.ClearPhysicalPages,90112,1
0,12670,3792.2604806,1,VSM.StaticCasterCull,68352,1
0,12670,3792.2604806,1,VSM.DynamicCasterCull,256,1
0,12670,3792.2604806,1,VSM.PageCull,50176,1
0,12670,3792.2604806,1,VSM.StaticRaster,6912,1
0,12670,3792.2604806,1,VSM.FinalizePages,2048,1
0,12670,3792.2604806,1,VSM.DynamicRaster,15616,1
0,12670,3792.2604806,1,VSM.UnityCompatibilityRaster,0,0
0,12670,3792.2604806,1,VSM.Resolve,9805312,1
0,12670,3792.2604806,1,VSM.ResolveTrace,9574656,1
0,12670,3792.2604806,1,VSM.FilterHorizontal,67072,1
0,12670,3792.2604806,1,VSM.FilterVertical,0,0
0,12670,3792.2604806,1,VSM.FilterTemporalVertical,162560,1
1,12671,3792.2932869,1,VSM.LayoutRemap,0,1
1,12671,3792.2932869,1,VSM.ResetFeedback,0,1
1,12671,3792.2932869,1,VSM.MarkReceiverPages,642560,1
1,12671,3792.2932869,1,VSM.Allocate,224000,1
1,12671,3792.2932869,1,VSM.InvalidateStatic,0,0
1,12671,3792.2932869,1,VSM.ClearPhysicalPages,89856,1
1,12671,3792.2932869,1,VSM.StaticCasterCull,68864,1
1,12671,3792.2932869,1,VSM.DynamicCasterCull,0,1
1,12671,3792.2932869,1,VSM.PageCull,50176,1
1,12671,3792.2932869,1,VSM.StaticRaster,7168,1
1,12671,3792.2932869,1,VSM.FinalizePages,2048,1
1,12671,3792.2932869,1,VSM.DynamicRaster,14336,1
1,12671,3792.2932869,1,VSM.UnityCompatibilityRaster,0,0
1,12671,3792.2932869,1,VSM.Resolve,10561536,1
1,12671,3792.2932869,1,VSM.ResolveTrace,10334208,1
1,12671,3792.2932869,1,VSM.FilterHorizontal,66048,1
1,12671,3792.2932869,1,VSM.FilterVertical,0,0
1,12671,3792.2932869,1,VSM.FilterTemporalVertical,160000,1
2,12672,3792.3143631,1,VSM.LayoutRemap,0,1
2,12672,3792.3143631,1,VSM.ResetFeedback,0,1
2,12672,3792.3143631,1,VSM.MarkReceiverPages,640512,1
2,12672,3792.3143631,1,VSM.Allocate,221440,1
2,12672,3792.3143631,1,VSM.InvalidateStatic,0,0
2,12672,3792.3143631,1,VSM.ClearPhysicalPages,477952,1
2,12672,3792.3143631,1,VSM.StaticCasterCull,74752,1
2,12672,3792.3143631,1,VSM.DynamicCasterCull,0,1
2,12672,3792.3143631,1,VSM.PageCull,48640,1
2,12672,3792.3143631,1,VSM.StaticRaster,7168,1
2,12672,3792.3143631,1,VSM.FinalizePages,2560,1
2,12672,3792.3143631,1,VSM.DynamicRaster,12800,1
2,12672,3792.3143631,1,VSM.UnityCompatibilityRaster,0,0
2,12672,3792.3143631,1,VSM.Resolve,8919552,1
2,12672,3792.3143631,1,VSM.ResolveTrace,8696832,1
2,12672,3792.3143631,1,VSM.FilterHorizontal,65024,1
2,12672,3792.3143631,1,VSM.FilterVertical,0,0
2,12672,3792.3143631,1,VSM.FilterTemporalVertical,155904,1
3,12673,3792.3352757,1,VSM.LayoutRemap,2560,1
3,12673,3792.3352757,1,VSM.ResetFeedback,2048,1
3,12673,3792.3352757,1,VSM.MarkReceiverPages,626432,1
3,12673,3792.3352757,1,VSM.Allocate,1934848,1
3,12673,3792.3352757,1,VSM.InvalidateStatic,2560,1
3,12673,3792.3352757,1,VSM.ClearPhysicalPages,174336,1
3,12673,3792.3352757,1,VSM.StaticCasterCull,58112,1
3,12673,3792.3352757,1,VSM.DynamicCasterCull,0,1
3,12673,3792.3352757,1,VSM.PageCull,38400,1
3,12673,3792.3352757,1,VSM.StaticRaster,7966976,1
3,12673,3792.3352757,1,VSM.FinalizePages,8448,1
3,12673,3792.3352757,1,VSM.DynamicRaster,17408,1
3,12673,3792.3352757,1,VSM.UnityCompatibilityRaster,0,0
3,12673,3792.3352757,1,VSM.Resolve,11961088,1
3,12673,3792.3352757,1,VSM.ResolveTrace,11682048,1
3,12673,3792.3352757,1,VSM.FilterHorizontal,66048,1
3,12673,3792.3352757,1,VSM.FilterVertical,0,0
3,12673,3792.3352757,1,VSM.FilterTemporalVertical,72960,1
4,12674,3792.3567662,1,VSM.LayoutRemap,0,1
4,12674,3792.3567662,1,VSM.ResetFeedback,0,1
4,12674,3792.3567662,1,VSM.MarkReceiverPages,627200,1
4,12674,3792.3567662,1,VSM.Allocate,225792,1
4,12674,3792.3567662,1,VSM.InvalidateStatic,0,0
4,12674,3792.3567662,1,VSM.ClearPhysicalPages,89856,1
4,12674,3792.3567662,1,VSM.StaticCasterCull,68864,1
4,12674,3792.3567662,1,VSM.DynamicCasterCull,0,1
4,12674,3792.3567662,1,VSM.PageCull,50432,1
4,12674,3792.3567662,1,VSM.StaticRaster,7680,1
4,12674,3792.3567662,1,VSM.FinalizePages,2304,1
4,12674,3792.3567662,1,VSM.DynamicRaster,12544,1
4,12674,3792.3567662,1,VSM.UnityCompatibilityRaster,0,0
4,12674,3792.3567662,1,VSM.Resolve,11604224,1
4,12674,3792.3567662,1,VSM.ResolveTrace,11383296,1
4,12674,3792.3567662,1,VSM.FilterHorizontal,64512,1
4,12674,3792.3567662,1,VSM.FilterVertical,0,0
4,12674,3792.3567662,1,VSM.FilterTemporalVertical,155392,1
5,12675,3792.3761793,1,VSM.LayoutRemap,0,1
5,12675,3792.3761793,1,VSM.ResetFeedback,0,1
5,12675,3792.3761793,1,VSM.MarkReceiverPages,625408,1
5,12675,3792.3761793,1,VSM.Allocate,226048,1
5,12675,3792.3761793,1,VSM.InvalidateStatic,0,0
5,12675,3792.3761793,1,VSM.ClearPhysicalPages,614400,1
5,12675,3792.3761793,1,VSM.StaticCasterCull,71936,1
5,12675,3792.3761793,1,VSM.DynamicCasterCull,0,1
5,12675,3792.3761793,1,VSM.PageCull,47872,1
5,12675,3792.3761793,1,VSM.StaticRaster,6912,1
5,12675,3792.3761793,1,VSM.FinalizePages,2560,1
5,12675,3792.3761793,1,VSM.DynamicRaster,14080,1
5,12675,3792.3761793,1,VSM.UnityCompatibilityRaster,0,0
5,12675,3792.3761793,1,VSM.Resolve,11262720,1
5,12675,3792.3761793,1,VSM.ResolveTrace,11037952,1
5,12675,3792.3761793,1,VSM.FilterHorizontal,67328,1
5,12675,3792.3761793,1,VSM.FilterVertical,0,0
5,12675,3792.3761793,1,VSM.FilterTemporalVertical,156160,1
6,12676,3792.4039895,1,VSM.LayoutRemap,0,1
6,12676,3792.4039895,1,VSM.ResetFeedback,0,1
6,12676,3792.4039895,1,VSM.MarkReceiverPages,630784,1
6,12676,3792.4039895,1,VSM.Allocate,222464,1
6,12676,3792.4039895,1,VSM.InvalidateStatic,0,0
6,12676,3792.4039895,1,VSM.ClearPhysicalPages,466688,1
6,12676,3792.4039895,1,VSM.StaticCasterCull,76288,1
6,12676,3792.4039895,1,VSM.DynamicCasterCull,0,1
6,12676,3792.4039895,1,VSM.PageCull,52224,1
6,12676,3792.4039895,1,VSM.StaticRaster,3328,1
6,12676,3792.4039895,1,VSM.FinalizePages,2304,1
6,12676,3792.4039895,1,VSM.DynamicRaster,12288,1
6,12676,3792.4039895,1,VSM.UnityCompatibilityRaster,0,0
6,12676,3792.4039895,1,VSM.Resolve,10397696,1
6,12676,3792.4039895,1,VSM.ResolveTrace,10164736,1
6,12676,3792.4039895,1,VSM.FilterHorizontal,64512,1
6,12676,3792.4039895,1,VSM.FilterVertical,0,0
6,12676,3792.4039895,1,VSM.FilterTemporalVertical,167168,1
7,12677,3792.4238130999997,1,VSM.LayoutRemap,0,1
7,12677,3792.4238130999997,1,VSM.ResetFeedback,0,1
7,12677,3792.4238130999997,1,VSM.MarkReceiverPages,627200,1
7,12677,3792.4238130999997,1,VSM.Allocate,225792,1
7,12677,3792.4238130999997,1,VSM.InvalidateStatic,0,0
7,12677,3792.4238130999997,1,VSM.ClearPhysicalPages,90112,1
7,12677,3792.4238130999997,1,VSM.StaticCasterCull,68352,1
7,12677,3792.4238130999997,1,VSM.DynamicCasterCull,256,1
