observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,11512,3761.5435036,1,VSM.LayoutRemap,0,1
0,11512,3761.5435036,1,VSM.ResetFeedback,0,1
0,11512,3761.5435036,1,VSM.MarkReceiverPages,624640,1
0,11512,3761.5435036,1,VSM.Allocate,226304,1
0,11512,3761.5435036,1,VSM.InvalidateStatic,0,0
0,11512,3761.5435036,1,VSM.ClearPhysicalPages,89856,1
0,11512,3761.5435036,1,VSM.StaticCasterCull,69120,1
0,11512,3761.5435036,1,VSM.DynamicCasterCull,419584,1
0,11512,3761.5435036,1,VSM.PageCull,75008,2
0,11512,3761.5435036,1,VSM.StaticRaster,3072,1
0,11512,3761.5435036,1,VSM.FinalizePages,2048,1
0,11512,3761.5435036,1,VSM.DynamicRaster,30720,1
0,11512,3761.5435036,1,VSM.UnityCompatibilityRaster,0,0
0,11512,3761.5435036,1,VSM.Resolve,10789632,1
0,11512,3761.5435036,1,VSM.ResolveTrace,10564864,1
0,11512,3761.5435036,1,VSM.FilterHorizontal,66560,1
0,11512,3761.5435036,1,VSM.FilterVertical,0,0
0,11512,3761.5435036,1,VSM.FilterTemporalVertical,157184,1
1,11513,3761.5641837,1,VSM.LayoutRemap,0,1
1,11513,3761.5641837,1,VSM.ResetFeedback,0,1
1,11513,3761.5641837,1,VSM.MarkReceiverPages,628992,1
1,11513,3761.5641837,1,VSM.Allocate,226048,1
1,11513,3761.5641837,1,VSM.InvalidateStatic,0,0
1,11513,3761.5641837,1,VSM.ClearPhysicalPages,566528,1
1,11513,3761.5641837,1,VSM.StaticCasterCull,68864,1
1,11513,3761.5641837,1,VSM.DynamicCasterCull,34048,1
1,11513,3761.5641837,1,VSM.PageCull,66048,2
1,11513,3761.5641837,1,VSM.StaticRaster,7424,1
1,11513,3761.5641837,1,VSM.FinalizePages,2560,1
1,11513,3761.5641837,1,VSM.DynamicRaster,30720,1
1,11513,3761.5641837,1,VSM.UnityCompatibilityRaster,0,0
1,11513,3761.5641837,1,VSM.Resolve,11982080,1
1,11513,3761.5641837,1,VSM.ResolveTrace,11559680,1
1,11513,3761.5641837,1,VSM.FilterHorizontal,65792,1
1,11513,3761.5641837,1,VSM.FilterVertical,0,0
1,11513,3761.5641837,1,VSM.FilterTemporalVertical,355328,1
2,11514,3761.585016,1,VSM.LayoutRemap,0,1
2,11514,3761.585016,1,VSM.ResetFeedback,0,1
2,11514,3761.585016,1,VSM.MarkReceiverPages,625408,1
2,11514,3761.585016,1,VSM.Allocate,224000,1
2,11514,3761.585016,1,VSM.InvalidateStatic,0,0
2,11514,3761.585016,1,VSM.ClearPhysicalPages,275200,1
2,11514,3761.585016,1,VSM.StaticCasterCull,75008,1
2,11514,3761.585016,1,VSM.DynamicCasterCull,35584,1
2,11514,3761.585016,1,VSM.PageCull,72704,2
2,11514,3761.585016,1,VSM.StaticRaster,7168,1
2,11514,3761.585016,1,VSM.FinalizePages,2048,1
2,11514,3761.585016,1,VSM.DynamicRaster,31232,1
2,11514,3761.585016,1,VSM.UnityCompatibilityRaster,0,0
2,11514,3761.585016,1,VSM.Resolve,11723776,1
2,11514,3761.585016,1,VSM.ResolveTrace,11499776,1
2,11514,3761.585016,1,VSM.FilterHorizontal,65024,1
2,11514,3761.585016,1,VSM.FilterVertical,0,0
2,11514,3761.585016,1,VSM.FilterTemporalVertical,157952,1
3,11515,3761.6065908,1,VSM.LayoutRemap,0,1
3,11515,3761.6065908,1,VSM.ResetFeedback,0,1
3,11515,3761.6065908,1,VSM.MarkReceiverPages,635904,1
3,11515,3761.6065908,1,VSM.Allocate,227840,1
3,11515,3761.6065908,1,VSM.InvalidateStatic,0,0
3,11515,3761.6065908,1,VSM.ClearPhysicalPages,89856,1
3,11515,3761.6065908,1,VSM.StaticCasterCull,69120,1
3,11515,3761.6065908,1,VSM.DynamicCasterCull,36352,1
3,11515,3761.6065908,1,VSM.PageCull,73216,2
3,11515,3761.6065908,1,VSM.StaticRaster,7168,1
3,11515,3761.6065908,1,VSM.FinalizePages,2048,1
3,11515,3761.6065908,1,VSM.DynamicRaster,30720,1
3,11515,3761.6065908,1,VSM.UnityCompatibilityRaster,0,0
3,11515,3761.6065908,1,VSM.Resolve,12030464,1
3,11515,3761.6065908,1,VSM.ResolveTrace,11631104,1
3,11515,3761.6065908,1,VSM.FilterHorizontal,66048,1
3,11515,3761.6065908,1,VSM.FilterVertical,0,0
3,11515,3761.6065908,1,VSM.FilterTemporalVertical,157440,1
4,11516,3761.6270224,1,VSM.LayoutRemap,0,1
4,11516,3761.6270224,1,VSM.ResetFeedback,0,1
4,11516,3761.6270224,1,VSM.MarkReceiverPages,638208,1
4,11516,3761.6270224,1,VSM.Allocate,224512,1
4,11516,3761.6270224,1,VSM.InvalidateStatic,0,0
4,11516,3761.6270224,1,VSM.ClearPhysicalPages,271360,1
4,11516,3761.6270224,1,VSM.StaticCasterCull,65792,1
4,11516,3761.6270224,1,VSM.DynamicCasterCull,36352,1
4,11516,3761.6270224,1,VSM.PageCull,69120,2
4,11516,3761.6270224,1,VSM.StaticRaster,7168,1
4,11516,3761.6270224,1,VSM.FinalizePages,2048,1
4,11516,3761.6270224,1,VSM.DynamicRaster,30976,1
4,11516,3761.6270224,1,VSM.UnityCompatibilityRaster,0,0
4,11516,3761.6270224,1,VSM.Resolve,10964224,1
4,11516,3761.6270224,1,VSM.ResolveTrace,10738176,1
4,11516,3761.6270224,1,VSM.FilterHorizontal,66560,1
4,11516,3761.6270224,1,VSM.FilterVertical,0,0
4,11516,3761.6270224,1,VSM.FilterTemporalVertical,158208,1
5,11517,3761.6475164,1,VSM.LayoutRemap,0,1
5,11517,3761.6475164,1,VSM.ResetFeedback,0,1
5,11517,3761.6475164,1,VSM.MarkReceiverPages,640768,1
5,11517,3761.6475164,1,VSM.Allocate,226304,1
5,11517,3761.6475164,1,VSM.InvalidateStatic,0,0
5,11517,3761.6475164,1,VSM.ClearPhysicalPages,389632,1
5,11517,3761.6475164,1,VSM.StaticCasterCull,70400,1
5,11517,3761.6475164,1,VSM.DynamicCasterCull,36608,1
5,11517,3761.6475164,1,VSM.PageCull,68352,2
5,11517,3761.6475164,1,VSM.StaticRaster,6912,1
5,11517,3761.6475164,1,VSM.FinalizePages,2304,1
5,11517,3761.6475164,1,VSM.DynamicRaster,31488,1
5,11517,3761.6475164,1,VSM.UnityCompatibilityRaster,0,0
5,11517,3761.6475164,1,VSM.Resolve,12337152,1
5,11517,3761.6475164,1,VSM.ResolveTrace,11716096,1
5,11517,3761.6475164,1,VSM.FilterHorizontal,67072,1
5,11517,3761.6475164,1,VSM.FilterVertical,0,0
5,11517,3761.6475164,1,VSM.FilterTemporalVertical,157184,1
6,11518,3761.6682244999997,1,VSM.LayoutRemap,0,1
6,11518,3761.6682244999997,1,VSM.ResetFeedback,0,1
6,11518,3761.6682244999997,1,VSM.MarkReceiverPages,640000,1
6,11518,3761.6682244999997,1,VSM.Allocate,227328,1
6,11518,3761.6682244999997,1,VSM.InvalidateStatic,0,0
6,11518,3761.6682244999997,1,VSM.ClearPhysicalPages,429056,1
6,11518,3761.6682244999997,1,VSM.StaticCasterCull,77312,1
6,11518,3761.6682244999997,1,VSM.DynamicCasterCull,36864,1
6,11518,3761.6682244999997,1,VSM.PageCull,73472,2
6,11518,3761.6682244999997,1,VSM.StaticRaster,6912,1
6,11518,3761.6682244999997,1,VSM.FinalizePages,2560,1
6,11518,3761.6682244999997,1,VSM.DynamicRaster,32000,1
6,11518,3761.6682244999997,1,VSM.UnityCompatibilityRaster,0,0
6,11518,3761.6682244999997,1,VSM.Resolve,11787776,1
6,11518,3761.6682244999997,1,VSM.ResolveTrace,11349504,1
6,11518,3761.6682244999997,1,VSM.FilterHorizontal,65280,1
6,11518,3761.6682244999997,1,VSM.FilterVertical,0,0
6,11518,3761.6682244999997,1,VSM.FilterTemporalVertical,371968,1
7,11519,3761.6895164,1,VSM.LayoutRemap,0,1
7,11519,3761.6895164,1,VSM.ResetFeedback,0,1
7,11519,3761.6895164,1,VSM.MarkReceiverPages,637696,1
7,11519,3761.6895164,1,VSM.Allocate,227072,1
7,11519,3761.6895164,1,VSM.InvalidateStatic,0,0
7,11519,3761.6895164,1,VSM.ClearPhysicalPages,276224,1
7,11519,3761.6895164,1,VSM.StaticCasterCull,67072,1
7,11519,3761.6895164,1,VSM.DynamicCasterCull,36352,1
7,11519,3761.6895164,1,VSM.PageCull,69632,2
7,11519,3761.6895164,1,VSM.StaticRaster,6912,1
7,11519,3761.6895164,1,VSM.FinalizePages,2304,1
7,11519,3761.6895164,1,VSM.DynamicRaster,30720,1
7,11519,3761.6895164,1,VSM.UnityCompatibilityRaster,0,0
7,11519,3761.6895164,1,VSM.Resolve,11559168,1
7,11519,3761.6895164,1,VSM.ResolveTrace,11152384,1
7,11519,3761.6895164,1,VSM.FilterHorizontal,65792,1
7,11519,3761.6895164,1,VSM.FilterVertical,0,0
7,11519,3761.6895164,1,VSM.FilterTemporalVertical,157440,1
8,11520,3761.7096201,1,VSM.LayoutRemap,0,1
8,11520,3761.7096201,1,VSM.ResetFeedback,0,1
8,11520,3761.7096201,1,VSM.MarkReceiverPages,643328,1
8,11520,3761.7096201,1,VSM.Allocate,227328,1
8,11520,3761.7096201,1,VSM.InvalidateStatic,0,0
8,11520,3761.7096201,1,VSM.ClearPhysicalPages,427008,1
8,11520,3761.7096201,1,VSM.StaticCasterCull,74752,1
8,11520,3761.7096201,1,VSM.DynamicCasterCull,35328,1
8,11520,3761.7096201,1,VSM.PageCull,72192,2
8,11520,3761.7096201,1,VSM.StaticRaster,7168,1
8,11520,3761.7096201,1,VSM.FinalizePages,2304,1
8,11520,3761.7096201,1,VSM.DynamicRaster,24832,1
8,11520,3761.7096201,1,VSM.UnityCompatibilityRaster,0,0
8,11520,3761.7096201,1,VSM.Resolve,11988992,1
8,11520,3761.7096201,1,VSM.ResolveTrace,11465728,1
8,11520,3761.7096201,1,VSM.FilterHorizontal,66304,1
8,11520,3761.7096201,1,VSM.FilterVertical,0,0
8,11520,3761.7096201,1,VSM.FilterTemporalVertical,455424,1
9,11521,3761.7303084,1,VSM.LayoutRemap,0,1
9,11521,3761.7303084,1,VSM.ResetFeedback,0,1
9,11521,3761.7303084,1,VSM.MarkReceiverPages,642048,1
9,11521,3761.7303084,1,VSM.Allocate,226560,1
9,11521,3761.7303084,1,VSM.InvalidateStatic,0,0
9,11521,3761.7303084,1,VSM.ClearPhysicalPages,390912,1
9,11521,3761.7303084,1,VSM.StaticCasterCull,72704,1
9,11521,3761.7303084,1,VSM.DynamicCasterCull,36096,1
9,11521,3761.7303084,1,VSM.PageCull,70912,2
9,11521,3761.7303084,1,VSM.StaticRaster,6656,1
9,11521,3761.7303084,1,VSM.FinalizePages,2560,1
9,11521,3761.7303084,1,VSM.DynamicRaster,25088,1
9,11521,3761.7303084,1,VSM.UnityCompatibilityRaster,0,0
9,11521,3761.7303084,1,VSM.Resolve,12392960,1
9,11521,3761.7303084,1,VSM.ResolveTrace,12167936,1
9,11521,3761.7303084,1,VSM.FilterHorizontal,66816,1
9,11521,3761.7303084,1,VSM.FilterVertical,0,0
9,11521,3761.7303084,1,VSM.FilterTemporalVertical,157184,1
10,11522,3761.7530831999998,1,VSM.LayoutRemap,0,1
10,11522,3761.7530831999998,1,VSM.ResetFeedback,0,1
10,11522,3761.7530831999998,1,VSM.MarkReceiverPages,647680,1
10,11522,3761.7530831999998,1,VSM.Allocate,228608,1
10,11522,3761.7530831999998,1,VSM.InvalidateStatic,0,0
10,11522,3761.7530831999998,1,VSM.ClearPhysicalPages,90368,1
10,11522,3761.7530831999998,1,VSM.StaticCasterCull,68864,1
10,11522,3761.7530831999998,1,VSM.DynamicCasterCull,38656,1
10,11522,3761.7530831999998,1,VSM.PageCull,74752,2
10,11522,3761.7530831999998,1,VSM.StaticRaster,6912,1
10,11522,3761.7530831999998,1,VSM.FinalizePages,2048,1
10,11522,3761.7530831999998,1,VSM.DynamicRaster,25344,1
10,11522,3761.7530831999998,1,VSM.UnityCompatibilityRaster,0,0
10,11522,3761.7530831999998,1,VSM.Resolve,10954496,1
10,11522,3761.7530831999998,1,VSM.ResolveTrace,10471168,1
10,11522,3761.7530831999998,1,VSM.FilterHorizontal,66560,1
10,11522,3761.7530831999998,1,VSM.FilterVertical,0,0
10,11522,3761.7530831999998,1,VSM.FilterTemporalVertical,157184,1
11,11523,3761.7732447,1,VSM.LayoutRemap,0,1
11,11523,3761.7732447,1,VSM.ResetFeedback,0,1
11,11523,3761.7732447,1,VSM.MarkReceiverPages,639488,1
11,11523,3761.7732447,1,VSM.Allocate,227584,1
11,11523,3761.7732447,1,VSM.InvalidateStatic,0,0
11,11523,3761.7732447,1,VSM.ClearPhysicalPages,285184,1
11,11523,3761.7732447,1,VSM.StaticCasterCull,72704,1
11,11523,3761.7732447,1,VSM.DynamicCasterCull,36352,1
11,11523,3761.7732447,1,VSM.PageCull,70656,2
11,11523,3761.7732447,1,VSM.StaticRaster,7168,1
11,11523,3761.7732447,1,VSM.FinalizePages,2048,1
