observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,13635,3815.3346807,1,VSM.LayoutRemap,0,1
0,13635,3815.3346807,1,VSM.ResetFeedback,0,1
0,13635,3815.3346807,1,VSM.MarkReceiverPages,631808,1
0,13635,3815.3346807,1,VSM.Allocate,226048,1
0,13635,3815.3346807,1,VSM.InvalidateStatic,0,0
0,13635,3815.3346807,1,VSM.ClearPhysicalPages,279296,1
0,13635,3815.3346807,1,VSM.StaticCasterCull,69120,1
0,13635,3815.3346807,1,VSM.DynamicCasterCull,33536,1
0,13635,3815.3346807,1,VSM.PageCull,68864,2
0,13635,3815.3346807,1,VSM.StaticRaster,3072,1
0,13635,3815.3346807,1,VSM.FinalizePages,2048,1
0,13635,3815.3346807,1,VSM.DynamicRaster,30720,1
0,13635,3815.3346807,1,VSM.UnityCompatibilityRaster,0,0
0,13635,3815.3346807,1,VSM.Resolve,11584000,1
0,13635,3815.3346807,1,VSM.ResolveTrace,10974976,1
0,13635,3815.3346807,1,VSM.FilterHorizontal,67840,1
0,13635,3815.3346807,1,VSM.FilterVertical,0,0
0,13635,3815.3346807,1,VSM.FilterTemporalVertical,161024,1
1,13636,3815.3575108,1,VSM.LayoutRemap,0,1
1,13636,3815.3575108,1,VSM.ResetFeedback,0,1
1,13636,3815.3575108,1,VSM.MarkReceiverPages,628736,1
1,13636,3815.3575108,1,VSM.Allocate,223488,1
1,13636,3815.3575108,1,VSM.InvalidateStatic,0,0
1,13636,3815.3575108,1,VSM.ClearPhysicalPages,89600,1
1,13636,3815.3575108,1,VSM.StaticCasterCull,68608,1
1,13636,3815.3575108,1,VSM.DynamicCasterCull,36096,1
1,13636,3815.3575108,1,VSM.PageCull,72192,2
1,13636,3815.3575108,1,VSM.StaticRaster,3328,1
1,13636,3815.3575108,1,VSM.FinalizePages,1792,1
1,13636,3815.3575108,1,VSM.DynamicRaster,30720,1
1,13636,3815.3575108,1,VSM.UnityCompatibilityRaster,0,0
1,13636,3815.3575108,1,VSM.Resolve,11635712,1
1,13636,3815.3575108,1,VSM.ResolveTrace,11410688,1
1,13636,3815.3575108,1,VSM.FilterHorizontal,66560,1
1,13636,3815.3575108,1,VSM.FilterVertical,0,0
1,13636,3815.3575108,1,VSM.FilterTemporalVertical,157184,1
2,13637,3815.3794832,1,VSM.LayoutRemap,0,1
2,13637,3815.3794832,1,VSM.ResetFeedback,0,1
2,13637,3815.3794832,1,VSM.MarkReceiverPages,624640,1
2,13637,3815.3794832,1,VSM.Allocate,226560,1
2,13637,3815.3794832,1,VSM.InvalidateStatic,0,0
2,13637,3815.3794832,1,VSM.ClearPhysicalPages,89856,1
2,13637,3815.3794832,1,VSM.StaticCasterCull,67072,1
2,13637,3815.3794832,1,VSM.DynamicCasterCull,34560,1
2,13637,3815.3794832,1,VSM.PageCull,68608,2
2,13637,3815.3794832,1,VSM.StaticRaster,7424,1
2,13637,3815.3794832,1,VSM.FinalizePages,2304,1
2,13637,3815.3794832,1,VSM.DynamicRaster,35584,1
2,13637,3815.3794832,1,VSM.UnityCompatibilityRaster,0,0
2,13637,3815.3794832,1,VSM.Resolve,12152576,1
2,13637,3815.3794832,1,VSM.ResolveTrace,11924992,1
2,13637,3815.3794832,1,VSM.FilterHorizontal,68352,1
2,13637,3815.3794832,1,VSM.FilterVertical,0,0
2,13637,3815.3794832,1,VSM.FilterTemporalVertical,158208,1
3,13638,3815.4047250999997,1,VSM.LayoutRemap,0,1
3,13638,3815.4047250999997,1,VSM.ResetFeedback,0,1
3,13638,3815.4047250999997,1,VSM.MarkReceiverPages,639744,1
3,13638,3815.4047250999997,1,VSM.Allocate,231424,1
3,13638,3815.4047250999997,1,VSM.InvalidateStatic,0,0
3,13638,3815.4047250999997,1,VSM.ClearPhysicalPages,90112,1
3,13638,3815.4047250999997,1,VSM.StaticCasterCull,70144,1
3,13638,3815.4047250999997,1,VSM.DynamicCasterCull,35584,1
3,13638,3815.4047250999997,1,VSM.PageCull,72448,2
3,13638,3815.4047250999997,1,VSM.StaticRaster,7424,1
3,13638,3815.4047250999997,1,VSM.FinalizePages,2304,1
