observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,1151,1304.5893586999998,1,VSM.LayoutRemap,0,1
0,1151,1304.5893586999998,1,VSM.ResetFeedback,0,1
0,1151,1304.5893586999998,1,VSM.MarkReceiverPages,640256,1
0,1151,1304.5893586999998,1,VSM.Allocate,224768,1
0,1151,1304.5893586999998,1,VSM.InvalidateStatic,0,0
0,1151,1304.5893586999998,1,VSM.ClearPhysicalPages,378112,1
0,1151,1304.5893586999998,1,VSM.StaticCasterCull,70144,1
0,1151,1304.5893586999998,1,VSM.DynamicCasterCull,256,1
0,1151,1304.5893586999998,1,VSM.PageCull,46080,1
0,1151,1304.5893586999998,1,VSM.StaticRaster,7168,1
0,1151,1304.5893586999998,1,VSM.FinalizePages,2304,1
0,1151,1304.5893586999998,1,VSM.DynamicRaster,10752,1
0,1151,1304.5893586999998,1,VSM.UnityCompatibilityRaster,0,0
0,1151,1304.5893586999998,1,VSM.Resolve,11758080,1
0,1151,1304.5893586999998,1,VSM.ResolveTrace,11309568,1
0,1151,1304.5893586999998,1,VSM.FilterHorizontal,66816,1
0,1151,1304.5893586999998,1,VSM.FilterVertical,0,0
0,1151,1304.5893586999998,1,VSM.FilterTemporalVertical,380672,1
1,1152,1304.6079831999998,1,VSM.LayoutRemap,0,1
1,1152,1304.6079831999998,1,VSM.ResetFeedback,0,1
1,1152,1304.6079831999998,1,VSM.MarkReceiverPages,640256,1
1,1152,1304.6079831999998,1,VSM.Allocate,225280,1
1,1152,1304.6079831999998,1,VSM.InvalidateStatic,0,0
1,1152,1304.6079831999998,1,VSM.ClearPhysicalPages,89600,1
1,1152,1304.6079831999998,1,VSM.StaticCasterCull,60672,1
1,1152,1304.6079831999998,1,VSM.DynamicCasterCull,0,1
1,1152,1304.6079831999998,1,VSM.PageCull,43008,1
1,1152,1304.6079831999998,1,VSM.StaticRaster,6912,1
1,1152,1304.6079831999998,1,VSM.FinalizePages,2048,1
1,1152,1304.6079831999998,1,VSM.DynamicRaster,12544,1
1,1152,1304.6079831999998,1,VSM.UnityCompatibilityRaster,0,0
1,1152,1304.6079831999998,1,VSM.Resolve,9742592,1
1,1152,1304.6079831999998,1,VSM.ResolveTrace,9520896,1
1,1152,1304.6079831999998,1,VSM.FilterHorizontal,64256,1
1,1152,1304.6079831999998,1,VSM.FilterVertical,0,0
1,1152,1304.6079831999998,1,VSM.FilterTemporalVertical,156160,1
2,1153,1304.6253708999998,1,VSM.LayoutRemap,0,1
2,1153,1304.6253708999998,1,VSM.ResetFeedback,0,1
2,1153,1304.6253708999998,1,VSM.MarkReceiverPages,640256,1
2,1153,1304.6253708999998,1,VSM.Allocate,221952,1
2,1153,1304.6253708999998,1,VSM.InvalidateStatic,0,0
2,1153,1304.6253708999998,1,VSM.ClearPhysicalPages,89856,1
2,1153,1304.6253708999998,1,VSM.StaticCasterCull,369920,1
2,1153,1304.6253708999998,1,VSM.DynamicCasterCull,0,1
2,1153,1304.6253708999998,1,VSM.PageCull,351744,1
2,1153,1304.6253708999998,1,VSM.StaticRaster,9728,1
2,1153,1304.6253708999998,1,VSM.FinalizePages,2304,1
2,1153,1304.6253708999998,1,VSM.DynamicRaster,14592,1
2,1153,1304.6253708999998,1,VSM.UnityCompatibilityRaster,0,0
2,1153,1304.6253708999998,1,VSM.Resolve,10312704,1
2,1153,1304.6253708999998,1,VSM.ResolveTrace,10090240,1
2,1153,1304.6253708999998,1,VSM.FilterHorizontal,64512,1
2,1153,1304.6253708999998,1,VSM.FilterVertical,0,0
2,1153,1304.6253708999998,1,VSM.FilterTemporalVertical,156928,1
3,1154,1304.6429262,1,VSM.LayoutRemap,0,1
3,1154,1304.6429262,1,VSM.ResetFeedback,0,1
3,1154,1304.6429262,1,VSM.MarkReceiverPages,640512,1
3,1154,1304.6429262,1,VSM.Allocate,224000,1
3,1154,1304.6429262,1,VSM.InvalidateStatic,0,0
3,1154,1304.6429262,1,VSM.ClearPhysicalPages,89856,1
3,1154,1304.6429262,1,VSM.StaticCasterCull,66560,1
3,1154,1304.6429262,1,VSM.DynamicCasterCull,0,1
3,1154,1304.6429262,1,VSM.PageCull,48640,1
3,1154,1304.6429262,1,VSM.StaticRaster,3328,1
3,1154,1304.6429262,1,VSM.FinalizePages,2048,1
3,1154,1304.6429262,1,VSM.DynamicRaster,12800,1
3,1154,1304.6429262,1,VSM.UnityCompatibilityRaster,0,0
3,1154,1304.6429262,1,VSM.Resolve,10083840,1
3,1154,1304.6429262,1,VSM.ResolveTrace,9861120,1
3,1154,1304.6429262,1,VSM.FilterHorizontal,64256,1
3,1154,1304.6429262,1,VSM.FilterVertical,0,0
3,1154,1304.6429262,1,VSM.FilterTemporalVertical,157440,1
4,1155,1304.6603661,1,VSM.LayoutRemap,0,1
4,1155,1304.6603661,1,VSM.ResetFeedback,0,1
4,1155,1304.6603661,1,VSM.MarkReceiverPages,639744,1
4,1155,1304.6603661,1,VSM.Allocate,226560,1
4,1155,1304.6603661,1,VSM.InvalidateStatic,0,0
4,1155,1304.6603661,1,VSM.ClearPhysicalPages,89600,1
4,1155,1304.6603661,1,VSM.StaticCasterCull,66560,1
4,1155,1304.6603661,1,VSM.DynamicCasterCull,0,1
4,1155,1304.6603661,1,VSM.PageCull,47360,1
4,1155,1304.6603661,1,VSM.StaticRaster,7168,1
4,1155,1304.6603661,1,VSM.FinalizePages,2304,1
4,1155,1304.6603661,1,VSM.DynamicRaster,13568,1
4,1155,1304.6603661,1,VSM.UnityCompatibilityRaster,0,0
4,1155,1304.6603661,1,VSM.Resolve,9672192,1
4,1155,1304.6603661,1,VSM.ResolveTrace,9449216,1
4,1155,1304.6603661,1,VSM.FilterHorizontal,64512,1
4,1155,1304.6603661,1,VSM.FilterVertical,0,0
4,1155,1304.6603661,1,VSM.FilterTemporalVertical,157184,1
5,1156,1304.6780981,1,VSM.LayoutRemap,0,1
5,1156,1304.6780981,1,VSM.ResetFeedback,0,1
5,1156,1304.6780981,1,VSM.MarkReceiverPages,640256,1
5,1156,1304.6780981,1,VSM.Allocate,223488,1
5,1156,1304.6780981,1,VSM.InvalidateStatic,0,0
5,1156,1304.6780981,1,VSM.ClearPhysicalPages,89600,1
5,1156,1304.6780981,1,VSM.StaticCasterCull,65536,1
5,1156,1304.6780981,1,VSM.DynamicCasterCull,256,1
5,1156,1304.6780981,1,VSM.PageCull,46848,1
5,1156,1304.6780981,1,VSM.StaticRaster,6912,1
5,1156,1304.6780981,1,VSM.FinalizePages,2048,1
5,1156,1304.6780981,1,VSM.DynamicRaster,11776,1
5,1156,1304.6780981,1,VSM.UnityCompatibilityRaster,0,0
5,1156,1304.6780981,1,VSM.Resolve,10037248,1
5,1156,1304.6780981,1,VSM.ResolveTrace,9812736,1
5,1156,1304.6780981,1,VSM.FilterHorizontal,65536,1
5,1156,1304.6780981,1,VSM.FilterVertical,0,0
5,1156,1304.6780981,1,VSM.FilterTemporalVertical,157952,1
6,1157,1304.695835,1,VSM.LayoutRemap,0,1
6,1157,1304.695835,1,VSM.ResetFeedback,0,1
6,1157,1304.695835,1,VSM.MarkReceiverPages,639488,1
6,1157,1304.695835,1,VSM.Allocate,225280,1
6,1157,1304.695835,1,VSM.InvalidateStatic,0,0
6,1157,1304.695835,1,VSM.ClearPhysicalPages,370688,1
6,1157,1304.695835,1,VSM.StaticCasterCull,68352,1
6,1157,1304.695835,1,VSM.DynamicCasterCull,0,1
6,1157,1304.695835,1,VSM.PageCull,48640,1
6,1157,1304.695835,1,VSM.StaticRaster,7168,1
6,1157,1304.695835,1,VSM.FinalizePages,2304,1
6,1157,1304.695835,1,VSM.DynamicRaster,12032,1
6,1157,1304.695835,1,VSM.UnityCompatibilityRaster,0,0
6,1157,1304.695835,1,VSM.Resolve,8896256,1
6,1157,1304.695835,1,VSM.ResolveTrace,8674304,1
6,1157,1304.695835,1,VSM.FilterHorizontal,64512,1
6,1157,1304.695835,1,VSM.FilterVertical,0,0
6,1157,1304.695835,1,VSM.FilterTemporalVertical,156416,1
7,1158,1304.7132815999998,1,VSM.LayoutRemap,0,1
7,1158,1304.7132815999998,1,VSM.ResetFeedback,0,1
7,1158,1304.7132815999998,1,VSM.MarkReceiverPages,642304,1
7,1158,1304.7132815999998,1,VSM.Allocate,225024,1
7,1158,1304.7132815999998,1,VSM.InvalidateStatic,0,0
7,1158,1304.7132815999998,1,VSM.ClearPhysicalPages,359168,1
7,1158,1304.7132815999998,1,VSM.StaticCasterCull,69120,1
7,1158,1304.7132815999998,1,VSM.DynamicCasterCull,256,1
