observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,1343,1307.9488751,1,VSM.LayoutRemap,0,1
0,1343,1307.9488751,1,VSM.ResetFeedback,0,1
0,1343,1307.9488751,1,VSM.MarkReceiverPages,641536,1
0,1343,1307.9488751,1,VSM.Allocate,223744,1
0,1343,1307.9488751,1,VSM.InvalidateStatic,0,0
0,1343,1307.9488751,1,VSM.ClearPhysicalPages,89856,1
0,1343,1307.9488751,1,VSM.StaticCasterCull,67328,1
0,1343,1307.9488751,1,VSM.DynamicCasterCull,0,1
0,1343,1307.9488751,1,VSM.PageCull,48384,1
0,1343,1307.9488751,1,VSM.StaticRaster,7168,1
0,1343,1307.9488751,1,VSM.FinalizePages,2048,1
0,1343,1307.9488751,1,VSM.DynamicRaster,11264,1
0,1343,1307.9488751,1,VSM.UnityCompatibilityRaster,0,0
0,1343,1307.9488751,1,VSM.Resolve,9602560,1
0,1343,1307.9488751,1,VSM.ResolveTrace,9379840,1
0,1343,1307.9488751,1,VSM.FilterHorizontal,64000,1
0,1343,1307.9488751,1,VSM.FilterVertical,0,0
0,1343,1307.9488751,1,VSM.FilterTemporalVertical,157696,1
1,1344,1307.9662039999998,1,VSM.LayoutRemap,0,1
1,1344,1307.9662039999998,1,VSM.ResetFeedback,0,1
1,1344,1307.9662039999998,1,VSM.MarkReceiverPages,639744,1
1,1344,1307.9662039999998,1,VSM.Allocate,223744,1
1,1344,1307.9662039999998,1,VSM.InvalidateStatic,0,0
1,1344,1307.9662039999998,1,VSM.ClearPhysicalPages,89344,1
1,1344,1307.9662039999998,1,VSM.StaticCasterCull,66304,1
1,1344,1307.9662039999998,1,VSM.DynamicCasterCull,256,1
1,1344,1307.9662039999998,1,VSM.PageCull,47360,1
1,1344,1307.9662039999998,1,VSM.StaticRaster,6912,1
1,1344,1307.9662039999998,1,VSM.FinalizePages,2304,1
1,1344,1307.9662039999998,1,VSM.DynamicRaster,11776,1
1,1344,1307.9662039999998,1,VSM.UnityCompatibilityRaster,0,0
1,1344,1307.9662039999998,1,VSM.Resolve,9775616,1
1,1344,1307.9662039999998,1,VSM.ResolveTrace,9553152,1
1,1344,1307.9662039999998,1,VSM.FilterHorizontal,64512,1
1,1344,1307.9662039999998,1,VSM.FilterVertical,0,0
1,1344,1307.9662039999998,1,VSM.FilterTemporalVertical,156928,1
2,1345,1307.9840149,1,VSM.LayoutRemap,0,1
2,1345,1307.9840149,1,VSM.ResetFeedback,0,1
2,1345,1307.9840149,1,VSM.MarkReceiverPages,639744,1
2,1345,1307.9840149,1,VSM.Allocate,224256,1
