observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,1535,1311.3904484999998,1,VSM.LayoutRemap,0,1
0,1535,1311.3904484999998,1,VSM.ResetFeedback,0,1
0,1535,1311.3904484999998,1,VSM.MarkReceiverPages,641024,1
0,1535,1311.3904484999998,1,VSM.Allocate,222464,1
0,1535,1311.3904484999998,1,VSM.InvalidateStatic,0,0
0,1535,1311.3904484999998,1,VSM.ClearPhysicalPages,89856,1
0,1535,1311.3904484999998,1,VSM.StaticCasterCull,68608,1
0,1535,1311.3904484999998,1,VSM.DynamicCasterCull,0,1
0,1535,1311.3904484999998,1,VSM.PageCull,50432,1
0,1535,1311.3904484999998,1,VSM.StaticRaster,7424,1
0,1535,1311.3904484999998,1,VSM.FinalizePages,1792,1
0,1535,1311.3904484999998,1,VSM.DynamicRaster,16640,1
0,1535,1311.3904484999998,1,VSM.UnityCompatibilityRaster,0,0
0,1535,1311.3904484999998,1,VSM.Resolve,10711808,1
0,1535,1311.3904484999998,1,VSM.ResolveTrace,10487808,1
0,1535,1311.3904484999998,1,VSM.FilterHorizontal,65024,1
0,1535,1311.3904484999998,1,VSM.FilterVertical,0,0
0,1535,1311.3904484999998,1,VSM.FilterTemporalVertical,157952,1
1,1536,1311.4092291,1,VSM.LayoutRemap,0,1
1,1536,1311.4092291,1,VSM.ResetFeedback,0,1
1,1536,1311.4092291,1,VSM.MarkReceiverPages,642048,1
1,1536,1311.4092291,1,VSM.Allocate,223488,1
1,1536,1311.4092291,1,VSM.InvalidateStatic,0,0
1,1536,1311.4092291,1,VSM.ClearPhysicalPages,262656,1
1,1536,1311.4092291,1,VSM.StaticCasterCull,69376,1
1,1536,1311.4092291,1,VSM.DynamicCasterCull,0,1
1,1536,1311.4092291,1,VSM.PageCull,49920,1
1,1536,1311.4092291,1,VSM.StaticRaster,7424,1
1,1536,1311.4092291,1,VSM.FinalizePages,2048,1
1,1536,1311.4092291,1,VSM.DynamicRaster,15616,1
1,1536,1311.4092291,1,VSM.UnityCompatibilityRaster,0,0
1,1536,1311.4092291,1,VSM.Resolve,9984000,1
1,1536,1311.4092291,1,VSM.ResolveTrace,9761024,1
1,1536,1311.4092291,1,VSM.FilterHorizontal,64768,1
1,1536,1311.4092291,1,VSM.FilterVertical,0,0
1,1536,1311.4092291,1,VSM.FilterTemporalVertical,157184,1
2,1537,1311.4286771,1,VSM.LayoutRemap,0,1
2,1537,1311.4286771,1,VSM.ResetFeedback,0,1
2,1537,1311.4286771,1,VSM.MarkReceiverPages,642816,1
2,1537,1311.4286771,1,VSM.Allocate,225536,1
2,1537,1311.4286771,1,VSM.InvalidateStatic,0,0
2,1537,1311.4286771,1,VSM.ClearPhysicalPages,90112,1
