observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,767,1297.0655278,1,VSM.LayoutRemap,0,1
0,767,1297.0655278,1,VSM.ResetFeedback,0,1
0,767,1297.0655278,1,VSM.MarkReceiverPages,641792,1
0,767,1297.0655278,1,VSM.Allocate,224768,1
0,767,1297.0655278,1,VSM.InvalidateStatic,0,0
0,767,1297.0655278,1,VSM.ClearPhysicalPages,89856,1
0,767,1297.0655278,1,VSM.StaticCasterCull,66304,1
0,767,1297.0655278,1,VSM.DynamicCasterCull,0,1
0,767,1297.0655278,1,VSM.PageCull,47616,1
0,767,1297.0655278,1,VSM.StaticRaster,7168,1
0,767,1297.0655278,1,VSM.FinalizePages,2048,1
0,767,1297.0655278,1,VSM.DynamicRaster,11520,1
0,767,1297.0655278,1,VSM.UnityCompatibilityRaster,0,0
0,767,1297.0655278,1,VSM.Resolve,10134528,1
0,767,1297.0655278,1,VSM.ResolveTrace,10005760,1
0,767,1297.0655278,1,VSM.FilterHorizontal,63232,1
0,767,1297.0655278,1,VSM.FilterVertical,64512,1
0,767,1297.0655278,1,VSM.FilterTemporalVertical,0,0
1,768,1297.0833751999999,1,VSM.LayoutRemap,0,1
1,768,1297.0833751999999,1,VSM.ResetFeedback,0,1
1,768,1297.0833751999999,1,VSM.MarkReceiverPages,640512,1
1,768,1297.0833751999999,1,VSM.Allocate,222720,1
1,768,1297.0833751999999,1,VSM.InvalidateStatic,0,0
1,768,1297.0833751999999,1,VSM.ClearPhysicalPages,89600,1
1,768,1297.0833751999999,1,VSM.StaticCasterCull,67072,1
1,768,1297.0833751999999,1,VSM.DynamicCasterCull,0,1
1,768,1297.0833751999999,1,VSM.PageCull,47872,1
1,768,1297.0833751999999,1,VSM.StaticRaster,6912,1
1,768,1297.0833751999999,1,VSM.FinalizePages,2304,1
1,768,1297.0833751999999,1,VSM.DynamicRaster,12032,1
1,768,1297.0833751999999,1,VSM.UnityCompatibilityRaster,0,0
1,768,1297.0833751999999,1,VSM.Resolve,9596672,1
1,768,1297.0833751999999,1,VSM.ResolveTrace,9467904,1
1,768,1297.0833751999999,1,VSM.FilterHorizontal,63232,1
1,768,1297.0833751999999,1,VSM.FilterVertical,64256,1
1,768,1297.0833751999999,1,VSM.FilterTemporalVertical,0,0
2,769,1297.1015624,1,VSM.LayoutRemap,0,1
2,769,1297.1015624,1,VSM.ResetFeedback,0,1
2,769,1297.1015624,1,VSM.MarkReceiverPages,637696,1
2,769,1297.1015624,1,VSM.Allocate,223232,1
2,769,1297.1015624,1,VSM.InvalidateStatic,0,0
2,769,1297.1015624,1,VSM.ClearPhysicalPages,262400,1
2,769,1297.1015624,1,VSM.StaticCasterCull,73728,1
2,769,1297.1015624,1,VSM.DynamicCasterCull,0,1
2,769,1297.1015624,1,VSM.PageCull,50176,1
2,769,1297.1015624,1,VSM.StaticRaster,7168,1
2,769,1297.1015624,1,VSM.FinalizePages,2048,1
2,769,1297.1015624,1,VSM.DynamicRaster,16640,1
2,769,1297.1015624,1,VSM.UnityCompatibilityRaster,0,0
2,769,1297.1015624,1,VSM.Resolve,10204928,1
2,769,1297.1015624,1,VSM.ResolveTrace,10075392,1
2,769,1297.1015624,1,VSM.FilterHorizontal,64000,1
2,769,1297.1015624,1,VSM.FilterVertical,64256,1
2,769,1297.1015624,1,VSM.FilterTemporalVertical,0,0
3,770,1297.1204609,1,VSM.LayoutRemap,0,1
3,770,1297.1204609,1,VSM.ResetFeedback,0,1
3,770,1297.1204609,1,VSM.MarkReceiverPages,639488,1
3,770,1297.1204609,1,VSM.Allocate,223744,1
3,770,1297.1204609,1,VSM.InvalidateStatic,0,0
3,770,1297.1204609,1,VSM.ClearPhysicalPages,89600,1
3,770,1297.1204609,1,VSM.StaticCasterCull,438016,1
3,770,1297.1204609,1,VSM.DynamicCasterCull,0,1
3,770,1297.1204609,1,VSM.PageCull,420352,1
3,770,1297.1204609,1,VSM.StaticRaster,7168,1
3,770,1297.1204609,1,VSM.FinalizePages,2304,1
3,770,1297.1204609,1,VSM.DynamicRaster,12288,1
