observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,1727,1315.0487027,1,VSM.LayoutRemap,0,1
0,1727,1315.0487027,1,VSM.ResetFeedback,0,1
0,1727,1315.0487027,1,VSM.MarkReceiverPages,638976,1
0,1727,1315.0487027,1,VSM.Allocate,223232,1
0,1727,1315.0487027,1,VSM.InvalidateStatic,0,0
0,1727,1315.0487027,1,VSM.ClearPhysicalPages,90112,1
0,1727,1315.0487027,1,VSM.StaticCasterCull,68096,1
0,1727,1315.0487027,1,VSM.DynamicCasterCull,0,1
0,1727,1315.0487027,1,VSM.PageCull,50176,1
0,1727,1315.0487027,1,VSM.StaticRaster,7168,1
0,1727,1315.0487027,1,VSM.FinalizePages,2048,1
0,1727,1315.0487027,1,VSM.DynamicRaster,14848,1
0,1727,1315.0487027,1,VSM.UnityCompatibilityRaster,0,0
0,1727,1315.0487027,1,VSM.Resolve,9463808,1
0,1727,1315.0487027,1,VSM.ResolveTrace,9334528,1
0,1727,1315.0487027,1,VSM.FilterHorizontal,63488,1
0,1727,1315.0487027,1,VSM.FilterVertical,64512,1
0,1727,1315.0487027,1,VSM.FilterTemporalVertical,0,0
1,1728,1315.0675711,1,VSM.LayoutRemap,0,1
1,1728,1315.0675711,1,VSM.ResetFeedback,0,1
1,1728,1315.0675711,1,VSM.MarkReceiverPages,640000,1
1,1728,1315.0675711,1,VSM.Allocate,221952,1
1,1728,1315.0675711,1,VSM.InvalidateStatic,0,0
1,1728,1315.0675711,1,VSM.ClearPhysicalPages,90112,1
1,1728,1315.0675711,1,VSM.StaticCasterCull,349440,1
1,1728,1315.0675711,1,VSM.DynamicCasterCull,0,1
1,1728,1315.0675711,1,VSM.PageCull,48640,1
1,1728,1315.0675711,1,VSM.StaticRaster,7424,1
1,1728,1315.0675711,1,VSM.FinalizePages,2304,1
1,1728,1315.0675711,1,VSM.DynamicRaster,11776,1
1,1728,1315.0675711,1,VSM.UnityCompatibilityRaster,0,0
1,1728,1315.0675711,1,VSM.Resolve,10395392,1
1,1728,1315.0675711,1,VSM.ResolveTrace,10265088,1
1,1728,1315.0675711,1,VSM.FilterHorizontal,64000,1
1,1728,1315.0675711,1,VSM.FilterVertical,65280,1
1,1728,1315.0675711,1,VSM.FilterTemporalVertical,0,0
2,1729,1315.0859260999998,1,VSM.LayoutRemap,0,1
2,1729,1315.0859260999998,1,VSM.ResetFeedback,0,1
2,1729,1315.0859260999998,1,VSM.MarkReceiverPages,641536,1
2,1729,1315.0859260999998,1,VSM.Allocate,222976,1
2,1729,1315.0859260999998,1,VSM.InvalidateStatic,0,0
2,1729,1315.0859260999998,1,VSM.ClearPhysicalPages,89600,1
2,1729,1315.0859260999998,1,VSM.StaticCasterCull,68864,1
2,1729,1315.0859260999998,1,VSM.DynamicCasterCull,0,1
2,1729,1315.0859260999998,1,VSM.PageCull,50432,1
2,1729,1315.0859260999998,1,VSM.StaticRaster,7680,1
2,1729,1315.0859260999998,1,VSM.FinalizePages,2048,1
2,1729,1315.0859260999998,1,VSM.DynamicRaster,13312,1
2,1729,1315.0859260999998,1,VSM.UnityCompatibilityRaster,0,0
2,1729,1315.0859260999998,1,VSM.Resolve,9520640,1
2,1729,1315.0859260999998,1,VSM.ResolveTrace,9391360,1
2,1729,1315.0859260999998,1,VSM.FilterHorizontal,62976,1
2,1729,1315.0859260999998,1,VSM.FilterVertical,65024,1
2,1729,1315.0859260999998,1,VSM.FilterTemporalVertical,0,0
3,1730,1315.1036385999998,1,VSM.LayoutRemap,0,1
3,1730,1315.1036385999998,1,VSM.ResetFeedback,0,1
3,1730,1315.1036385999998,1,VSM.MarkReceiverPages,640256,1
3,1730,1315.1036385999998,1,VSM.Allocate,222208,1
3,1730,1315.1036385999998,1,VSM.InvalidateStatic,0,0
3,1730,1315.1036385999998,1,VSM.ClearPhysicalPages,388096,1
3,1730,1315.1036385999998,1,VSM.StaticCasterCull,75776,1
3,1730,1315.1036385999998,1,VSM.DynamicCasterCull,0,1
3,1730,1315.1036385999998,1,VSM.PageCull,48128,1
3,1730,1315.1036385999998,1,VSM.StaticRaster,7168,1
3,1730,1315.1036385999998,1,VSM.FinalizePages,2304,1
3,1730,1315.1036385999998,1,VSM.DynamicRaster,13824,1
3,1730,1315.1036385999998,1,VSM.UnityCompatibilityRaster,0,0
3,1730,1315.1036385999998,1,VSM.Resolve,10583552,1
3,1730,1315.1036385999998,1,VSM.ResolveTrace,10254592,1
3,1730,1315.1036385999998,1,VSM.FilterHorizontal,263168,1
3,1730,1315.1036385999998,1,VSM.FilterVertical,64512,1
3,1730,1315.1036385999998,1,VSM.FilterTemporalVertical,0,0
4,1731,1315.1216243,1,VSM.LayoutRemap,0,1
4,1731,1315.1216243,1,VSM.ResetFeedback,0,1
4,1731,1315.1216243,1,VSM.MarkReceiverPages,642560,1
4,1731,1315.1216243,1,VSM.Allocate,224768,1
4,1731,1315.1216243,1,VSM.InvalidateStatic,0,0
4,1731,1315.1216243,1,VSM.ClearPhysicalPages,89600,1
4,1731,1315.1216243,1,VSM.StaticCasterCull,69120,1
4,1731,1315.1216243,1,VSM.DynamicCasterCull,256,1
4,1731,1315.1216243,1,VSM.PageCull,50688,1
4,1731,1315.1216243,1,VSM.StaticRaster,7168,1
4,1731,1315.1216243,1,VSM.FinalizePages,2048,1
4,1731,1315.1216243,1,VSM.DynamicRaster,14592,1
4,1731,1315.1216243,1,VSM.UnityCompatibilityRaster,0,0
4,1731,1315.1216243,1,VSM.Resolve,9494528,1
4,1731,1315.1216243,1,VSM.ResolveTrace,9365760,1
4,1731,1315.1216243,1,VSM.FilterHorizontal,63232,1
4,1731,1315.1216243,1,VSM.FilterVertical,64512,1
4,1731,1315.1216243,1,VSM.FilterTemporalVertical,0,0
5,1732,1315.1406746999999,1,VSM.LayoutRemap,0,1
5,1732,1315.1406746999999,1,VSM.ResetFeedback,0,1
5,1732,1315.1406746999999,1,VSM.MarkReceiverPages,639232,1
5,1732,1315.1406746999999,1,VSM.Allocate,225024,1
5,1732,1315.1406746999999,1,VSM.InvalidateStatic,0,0
5,1732,1315.1406746999999,1,VSM.ClearPhysicalPages,280064,1
5,1732,1315.1406746999999,1,VSM.StaticCasterCull,70656,1
5,1732,1315.1406746999999,1,VSM.DynamicCasterCull,0,1
5,1732,1315.1406746999999,1,VSM.PageCull,48128,1
5,1732,1315.1406746999999,1,VSM.StaticRaster,7168,1
5,1732,1315.1406746999999,1,VSM.FinalizePages,2048,1
5,1732,1315.1406746999999,1,VSM.DynamicRaster,14592,1
5,1732,1315.1406746999999,1,VSM.UnityCompatibilityRaster,0,0
5,1732,1315.1406746999999,1,VSM.Resolve,9428992,1
5,1732,1315.1406746999999,1,VSM.ResolveTrace,9299712,1
5,1732,1315.1406746999999,1,VSM.FilterHorizontal,63744,1
5,1732,1315.1406746999999,1,VSM.FilterVertical,64256,1
5,1732,1315.1406746999999,1,VSM.FilterTemporalVertical,0,0
6,1733,1315.1590446999999,1,VSM.LayoutRemap,0,1
6,1733,1315.1590446999999,1,VSM.ResetFeedback,0,1
6,1733,1315.1590446999999,1,VSM.MarkReceiverPages,640768,1
6,1733,1315.1590446999999,1,VSM.Allocate,222976,1
6,1733,1315.1590446999999,1,VSM.InvalidateStatic,0,0
6,1733,1315.1590446999999,1,VSM.ClearPhysicalPages,90112,1
6,1733,1315.1590446999999,1,VSM.StaticCasterCull,67840,1
6,1733,1315.1590446999999,1,VSM.DynamicCasterCull,256,1
6,1733,1315.1590446999999,1,VSM.PageCull,49408,1
6,1733,1315.1590446999999,1,VSM.StaticRaster,6912,1
6,1733,1315.1590446999999,1,VSM.FinalizePages,2048,1
6,1733,1315.1590446999999,1,VSM.DynamicRaster,16128,1
6,1733,1315.1590446999999,1,VSM.UnityCompatibilityRaster,0,0
6,1733,1315.1590446999999,1,VSM.Resolve,9777408,1
6,1733,1315.1590446999999,1,VSM.ResolveTrace,9647872,1
6,1733,1315.1590446999999,1,VSM.FilterHorizontal,63488,1
6,1733,1315.1590446999999,1,VSM.FilterVertical,65024,1
6,1733,1315.1590446999999,1,VSM.FilterTemporalVertical,0,0
7,1734,1315.1782520999998,1,VSM.LayoutRemap,0,1
7,1734,1315.1782520999998,1,VSM.ResetFeedback,0,1
7,1734,1315.1782520999998,1,VSM.MarkReceiverPages,640768,1
7,1734,1315.1782520999998,1,VSM.Allocate,222720,1
7,1734,1315.1782520999998,1,VSM.InvalidateStatic,0,0
7,1734,1315.1782520999998,1,VSM.ClearPhysicalPages,89600,1
7,1734,1315.1782520999998,1,VSM.StaticCasterCull,352768,1
7,1734,1315.1782520999998,1,VSM.DynamicCasterCull,0,1
7,1734,1315.1782520999998,1,VSM.PageCull,34304,1
7,1734,1315.1782520999998,1,VSM.StaticRaster,34816,1
7,1734,1315.1782520999998,1,VSM.FinalizePages,3840,1
7,1734,1315.1782520999998,1,VSM.DynamicRaster,10496,1
7,1734,1315.1782520999998,1,VSM.UnityCompatibilityRaster,0,0
