resolution,metric,baseline_recheck,ordered_search
2048,VSM.ResolveTrace_ms,8.054015,4.88941
2048,VSM.Resolve_ms,8.3204,5.154945
2048,VSM.Allocate_ms,0.336975,0.366751
2048,l1_hit_pct,71.8753,85.00315
2048,dram_throughput_pct,4.271330000000001,5.215945
2048,l2_hit_pct,92.9854,87.25385
2048,l2_tex_hit_pct,97.9687,94.85820000000001
2048,compute_occupancy_pct,48.268100000000004,44.9333
2048,pred_on_threads_per_inst,18.3574,19.74995
2048,clock_export,2293.1949999999997,2293.24
2048,long_scoreboard_sample_share_pct,45.59524154904761,37.41251471111639
4096,VSM.ResolveTrace_ms,19.3928,6.40981
4096,VSM.Resolve_ms,19.660400000000003,6.676415
4096,VSM.Allocate_ms,0.720303,0.7247669999999999
4096,l1_hit_pct,54.60145,80.35675
4096,dram_throughput_pct,55.42875,19.0091
4096,l2_hit_pct,42.6138,66.05735
4096,l2_tex_hit_pct,98.38095,94.76335
4096,compute_occupancy_pct,44.90545,43.6053
4096,pred_on_threads_per_inst,18.1141,19.455350000000003
4096,clock_export,2292.6499999999996,2293.2200000000003
4096,long_scoreboard_sample_share_pct,73.5021536692804,42.68267366345333
