observation,camera_frame_observed,marker,gpu_ns,gpu_sample_count
0,185,VSM.MarkReceiverPages,492032,1
0,185,VSM.Allocate,275712,1
0,185,VSM.ClearPhysicalPages,523264,1
0,185,VSM.PageOccupancy,61696,1
0,185,VSM.FinalizePages,2048,1
0,185,VSM.DynamicRaster,87040,1
0,185,VSM.LayoutRemap,0,1
0,185,VSM.InvalidateStatic,0,0
0,185,VSM.StaticCasterCull,145920,1
0,185,VSM.DynamicCasterCull,0,1
0,185,VSM.PageCull,122368,1
0,185,VSM.StaticRaster,7168,1
0,185,VSM.UnityCompatibilityRaster,0,0
0,185,VSM.Resolve,9639936,1
0,185,VSM.ResolveTrace,9415168,1
0,185,VSM.FilterHorizontal,66816,1
0,185,VSM.FilterVertical,0,0
0,185,VSM.FilterTemporalVertical,156672,1
0,185,VSM.ResetFeedback,0,1
1,186,VSM.MarkReceiverPages,492032,1
1,186,VSM.Allocate,276480,1
1,186,VSM.ClearPhysicalPages,586496,1
1,186,VSM.PageOccupancy,61696,1
1,186,VSM.FinalizePages,2048,1
1,186,VSM.DynamicRaster,89856,1
1,186,VSM.LayoutRemap,0,1
1,186,VSM.InvalidateStatic,0,0
1,186,VSM.StaticCasterCull,143360,1
1,186,VSM.DynamicCasterCull,0,1
1,186,VSM.PageCull,123136,1
1,186,VSM.StaticRaster,3072,1
1,186,VSM.UnityCompatibilityRaster,0,0
1,186,VSM.Resolve,8883200,1
1,186,VSM.ResolveTrace,8659968,1
1,186,VSM.FilterHorizontal,65536,1
1,186,VSM.FilterVertical,0,0
1,186,VSM.FilterTemporalVertical,156416,1
1,186,VSM.ResetFeedback,0,1
2,187,VSM.MarkReceiverPages,491776,1
2,187,VSM.Allocate,275456,1
2,187,VSM.ClearPhysicalPages,180224,1
2,187,VSM.PageOccupancy,61696,1
2,187,VSM.FinalizePages,1536,1
2,187,VSM.DynamicRaster,88832,1
2,187,VSM.LayoutRemap,0,1
2,187,VSM.InvalidateStatic,0,0
2,187,VSM.StaticCasterCull,138496,1
2,187,VSM.DynamicCasterCull,0,1
2,187,VSM.PageCull,119552,1
2,187,VSM.StaticRaster,7424,1
2,187,VSM.UnityCompatibilityRaster,0,0
2,187,VSM.Resolve,9113088,1
2,187,VSM.ResolveTrace,8887808,1
2,187,VSM.FilterHorizontal,66816,1
2,187,VSM.FilterVertical,0,0
2,187,VSM.FilterTemporalVertical,157184,1
2,187,VSM.ResetFeedback,0,1
3,188,VSM.MarkReceiverPages,491008,1
3,188,VSM.Allocate,274688,1
3,188,VSM.ClearPhysicalPages,497920,1
3,188,VSM.PageOccupancy,61696,1
