run,configuration,marker,window_medians_ms,median_of_window_medians_ms
specialized-0a,r2048_p1024_l0_m0,VSM.ResolveTrace,"[4.068607999999999, 3.90848]",3.9885439999999996
specialized-0a,r2048_p1024_l0_m0,VSM.Resolve,"[4.288, 4.127104]",4.207552
specialized-0a,r2048_p1024_l0_m0,VSM.ClearPhysicalPages,"[0.18048, 0.18048]",0.18048
specialized-0a,r2048_p1024_l0_m0,VSM.PageOccupancy,"[0.06528, 0.061952]",0.063616
specialized-0a,r2048_p1024_l0_m0,VSM.StaticRaster,"[0.007424, 0.00768]",0.007552
specialized-0a,r2048_p1024_l0_m0,VSM.DynamicRaster,"[0.087808, 0.088064]",0.087936
specialized-0a,r2048_p1024_l0_m0,VSM.Allocate,"[0.277248, 0.270336]",0.27379200000000004
specialized-0a,r2048_p1024_l0_m0,VSM.MarkReceiverPages,"[0.500736, 0.580352]",0.5405439999999999
specialized-0a,r4096_p1024_l0_m0,VSM.ResolveTrace,"[4.99264, 4.951936]",4.972288
specialized-0a,r4096_p1024_l0_m0,VSM.Resolve,"[5.215872, 5.173248]",5.19456
specialized-0a,r4096_p1024_l0_m0,VSM.ClearPhysicalPages,"[0.262144, 0.261888]",0.262016
specialized-0a,r4096_p1024_l0_m0,VSM.PageOccupancy,"[0.068608, 0.070784]",0.06969600000000001
specialized-0a,r4096_p1024_l0_m0,VSM.StaticRaster,"[0.00768, 0.007424]",0.007552
specialized-0a,r4096_p1024_l0_m0,VSM.DynamicRaster,"[0.087808, 0.08832000000000001]",0.088064
specialized-0a,r4096_p1024_l0_m0,VSM.Allocate,"[0.577536, 0.577152]",0.5773440000000001
specialized-0a,r4096_p1024_l0_m0,VSM.MarkReceiverPages,"[0.585984, 0.585216]",0.5855999999999999
specialized-1,r2048_p1024_l0_m1,VSM.ResolveTrace,"[4.521984, 4.513152]",4.517568
specialized-1,r2048_p1024_l0_m1,VSM.Resolve,"[4.826496000000001, 4.799232]",4.812864
specialized-1,r2048_p1024_l0_m1,VSM.ClearPhysicalPages,"[0.35648, 0.360064]",0.35827200000000003
specialized-1,r2048_p1024_l0_m1,VSM.PageOccupancy,"[0.046848, 0.046848]",0.046848
specialized-1,r2048_p1024_l0_m1,VSM.StaticRaster,"[0.00768, 0.00768]",0.00768
specialized-1,r2048_p1024_l0_m1,VSM.DynamicRaster,"[0.08704, 0.086784]",0.086912
specialized-1,r2048_p1024_l0_m1,VSM.Allocate,"[0.269824, 0.29568]",0.282752
specialized-1,r2048_p1024_l0_m1,VSM.MarkReceiverPages,"[0.566528, 0.566784]",0.566656
specialized-1,r4096_p1024_l0_m1,VSM.ResolveTrace,"[5.82144, 5.759232000000001]",5.790336
specialized-1,r4096_p1024_l0_m1,VSM.Resolve,"[6.064512, 5.993984]",6.029248
