observation,camera_frame_observed,marker,gpu_ns,gpu_sample_count
0,9141,VSM.MarkReceiverPages,505088,1
0,9141,VSM.Allocate,276992,1
0,9141,VSM.ClearPhysicalPages,628992,1
0,9141,VSM.PageOccupancy,63232,1
0,9141,VSM.FinalizePages,2048,1
0,9141,VSM.DynamicRaster,88576,1
0,9141,VSM.LayoutRemap,3072,1
0,9141,VSM.InvalidateStatic,0,0
0,9141,VSM.StaticCasterCull,140800,1
0,9141,VSM.DynamicCasterCull,0,1
0,9141,VSM.PageCull,117248,1
0,9141,VSM.StaticRaster,7424,1
0,9141,VSM.UnityCompatibilityRaster,0,0
0,9141,VSM.Resolve,4256768,1
0,9141,VSM.ResolveTrace,4038912,1
0,9141,VSM.FilterHorizontal,62720,1
0,9141,VSM.FilterVertical,0,0
0,9141,VSM.FilterTemporalVertical,155136,1
0,9141,VSM.ResetFeedback,2048,1
1,9142,VSM.MarkReceiverPages,499456,1
1,9142,VSM.Allocate,276480,1
1,9142,VSM.ClearPhysicalPages,179968,1
1,9142,VSM.PageOccupancy,64512,1
1,9142,VSM.FinalizePages,1792,1
1,9142,VSM.DynamicRaster,88064,1
1,9142,VSM.LayoutRemap,0,1
1,9142,VSM.InvalidateStatic,0,0
1,9142,VSM.StaticCasterCull,142848,1
1,9142,VSM.DynamicCasterCull,0,1
1,9142,VSM.PageCull,124416,1
1,9142,VSM.StaticRaster,7680,1
1,9142,VSM.UnityCompatibilityRaster,0,0
1,9142,VSM.Resolve,4245248,1
1,9142,VSM.ResolveTrace,4027648,1
1,9142,VSM.FilterHorizontal,62720,1
1,9142,VSM.FilterVertical,0,0
1,9142,VSM.FilterTemporalVertical,154880,1
1,9142,VSM.ResetFeedback,0,1
2,9143,VSM.MarkReceiverPages,497664,1
2,9143,VSM.Allocate,276224,1
2,9143,VSM.ClearPhysicalPages,179200,1
2,9143,VSM.PageOccupancy,64768,1
2,9143,VSM.FinalizePages,1792,1
2,9143,VSM.DynamicRaster,81152,1
2,9143,VSM.LayoutRemap,0,1
2,9143,VSM.InvalidateStatic,0,0
2,9143,VSM.StaticCasterCull,133376,1
2,9143,VSM.DynamicCasterCull,0,1
2,9143,VSM.PageCull,114688,1
2,9143,VSM.StaticRaster,7680,1
2,9143,VSM.UnityCompatibilityRaster,0,0
2,9143,VSM.Resolve,4239104,1
2,9143,VSM.ResolveTrace,4021760,1
2,9143,VSM.FilterHorizontal,62720,1
2,9143,VSM.FilterVertical,0,0
2,9143,VSM.FilterTemporalVertical,154624,1
2,9143,VSM.ResetFeedback,0,1
3,9144,VSM.MarkReceiverPages,496896,1
3,9144,VSM.Allocate,276480,1
3,9144,VSM.ClearPhysicalPages,179712,1
3,9144,VSM.PageOccupancy,64256,1
3,9144,VSM.FinalizePages,1536,1
3,9144,VSM.DynamicRaster,87552,1
3,9144,VSM.LayoutRemap,0,1
3,9144,VSM.InvalidateStatic,0,0
3,9144,VSM.StaticCasterCull,137472,1
3,9144,VSM.DynamicCasterCull,0,1
3,9144,VSM.PageCull,119808,1
3,9144,VSM.StaticRaster,7936,1
3,9144,VSM.UnityCompatibilityRaster,0,0
3,9144,VSM.Resolve,4689920,1
3,9144,VSM.ResolveTrace,4464384,1
3,9144,VSM.FilterHorizontal,66816,1
3,9144,VSM.FilterVertical,0,0
3,9144,VSM.FilterTemporalVertical,157952,1
3,9144,VSM.ResetFeedback,0,1
4,9145,VSM.MarkReceiverPages,497152,1
4,9145,VSM.Allocate,272384,1
4,9145,VSM.ClearPhysicalPages,179200,1
4,9145,VSM.PageOccupancy,65792,1
4,9145,VSM.FinalizePages,1536,1
4,9145,VSM.DynamicRaster,91648,1
4,9145,VSM.LayoutRemap,0,1
4,9145,VSM.InvalidateStatic,0,0
4,9145,VSM.StaticCasterCull,141824,1
4,9145,VSM.DynamicCasterCull,0,1
4,9145,VSM.PageCull,123136,1
4,9145,VSM.StaticRaster,5376,1
4,9145,VSM.UnityCompatibilityRaster,0,0
4,9145,VSM.Resolve,4929792,1
4,9145,VSM.ResolveTrace,4709376,1
4,9145,VSM.FilterHorizontal,63232,1
4,9145,VSM.FilterVertical,0,0
4,9145,VSM.FilterTemporalVertical,155648,1
4,9145,VSM.ResetFeedback,0,1
5,9146,VSM.MarkReceiverPages,498944,1
5,9146,VSM.Allocate,274176,1
5,9146,VSM.ClearPhysicalPages,179456,1
5,9146,VSM.PageOccupancy,65280,1
5,9146,VSM.FinalizePages,1536,1
5,9146,VSM.DynamicRaster,83712,1
5,9146,VSM.LayoutRemap,0,1
5,9146,VSM.InvalidateStatic,0,0
