observation,camera_frame_observed,marker,gpu_ns,gpu_sample_count
0,13897,VSM.MarkReceiverPages,491776,1
0,13897,VSM.Allocate,287744,1
0,13897,VSM.ClearPhysicalPages,754176,1
0,13897,VSM.PageOccupancy,61184,1
0,13897,VSM.FinalizePages,2304,1
0,13897,VSM.DynamicRaster,82688,1
0,13897,VSM.LayoutRemap,0,1
0,13897,VSM.InvalidateStatic,0,0
0,13897,VSM.StaticCasterCull,147200,1
0,13897,VSM.DynamicCasterCull,0,1
0,13897,VSM.PageCull,121344,1
0,13897,VSM.StaticRaster,7680,1
0,13897,VSM.UnityCompatibilityRaster,0,0
0,13897,VSM.Resolve,5085696,1
0,13897,VSM.ResolveTrace,4861440,1
0,13897,VSM.FilterHorizontal,66304,1
0,13897,VSM.FilterVertical,0,0
0,13897,VSM.FilterTemporalVertical,156928,1
0,13897,VSM.ResetFeedback,0,1
1,13898,VSM.MarkReceiverPages,519424,1
1,13898,VSM.Allocate,286208,1
1,13898,VSM.ClearPhysicalPages,179712,1
1,13898,VSM.PageOccupancy,65280,1
1,13898,VSM.FinalizePages,2048,1
1,13898,VSM.DynamicRaster,87040,1
1,13898,VSM.LayoutRemap,0,1
1,13898,VSM.InvalidateStatic,0,0
1,13898,VSM.StaticCasterCull,134912,1
1,13898,VSM.DynamicCasterCull,0,1
1,13898,VSM.PageCull,115968,1
1,13898,VSM.StaticRaster,7936,1
1,13898,VSM.UnityCompatibilityRaster,0,0
1,13898,VSM.Resolve,5411328,1
1,13898,VSM.ResolveTrace,5186048,1
1,13898,VSM.FilterHorizontal,65536,1
1,13898,VSM.FilterVertical,0,0
1,13898,VSM.FilterTemporalVertical,158464,1
1,13898,VSM.ResetFeedback,0,1
2,13899,VSM.MarkReceiverPages,489728,1
2,13899,VSM.Allocate,289280,1
2,13899,VSM.ClearPhysicalPages,756480,1
2,13899,VSM.PageOccupancy,61184,1
2,13899,VSM.FinalizePages,2048,1
2,13899,VSM.DynamicRaster,80896,1
2,13899,VSM.LayoutRemap,0,1
2,13899,VSM.InvalidateStatic,0,0
2,13899,VSM.StaticCasterCull,145920,1
2,13899,VSM.DynamicCasterCull,0,1
2,13899,VSM.PageCull,120832,1
2,13899,VSM.StaticRaster,5120,1
2,13899,VSM.UnityCompatibilityRaster,0,0
2,13899,VSM.Resolve,4978432,1
2,13899,VSM.ResolveTrace,4750336,1
2,13899,VSM.FilterHorizontal,67328,1
2,13899,VSM.FilterVertical,0,0
2,13899,VSM.FilterTemporalVertical,159744,1
2,13899,VSM.ResetFeedback,0,1
3,13900,VSM.MarkReceiverPages,489216,1
3,13900,VSM.Allocate,288256,1
3,13900,VSM.ClearPhysicalPages,520448,1
3,13900,VSM.PageOccupancy,68096,1
3,13900,VSM.FinalizePages,2048,1
3,13900,VSM.DynamicRaster,89600,1
3,13900,VSM.LayoutRemap,0,1
3,13900,VSM.InvalidateStatic,0,0
3,13900,VSM.StaticCasterCull,144128,1
3,13900,VSM.DynamicCasterCull,0,1
3,13900,VSM.PageCull,114944,1
3,13900,VSM.StaticRaster,8448,1
3,13900,VSM.UnityCompatibilityRaster,0,0
3,13900,VSM.Resolve,5382912,1
3,13900,VSM.ResolveTrace,5158912,1
3,13900,VSM.FilterHorizontal,64512,1
3,13900,VSM.FilterVertical,0,0
3,13900,VSM.FilterTemporalVertical,157952,1
3,13900,VSM.ResetFeedback,0,1
4,13901,VSM.MarkReceiverPages,489728,1
4,13901,VSM.Allocate,286976,1
4,13901,VSM.ClearPhysicalPages,482560,1
4,13901,VSM.PageOccupancy,60672,1
4,13901,VSM.FinalizePages,2048,1
4,13901,VSM.DynamicRaster,83456,1
4,13901,VSM.LayoutRemap,0,1
4,13901,VSM.InvalidateStatic,0,0
4,13901,VSM.StaticCasterCull,140288,1
4,13901,VSM.DynamicCasterCull,0,1
4,13901,VSM.PageCull,117504,1
4,13901,VSM.StaticRaster,7936,1
4,13901,VSM.UnityCompatibilityRaster,0,0
4,13901,VSM.Resolve,5189376,1
4,13901,VSM.ResolveTrace,4962560,1
4,13901,VSM.FilterHorizontal,65280,1
4,13901,VSM.FilterVertical,0,0
4,13901,VSM.FilterTemporalVertical,160256,1
4,13901,VSM.ResetFeedback,0,1
5,13902,VSM.MarkReceiverPages,489728,1
5,13902,VSM.Allocate,286464,1
5,13902,VSM.ClearPhysicalPages,180224,1
5,13902,VSM.PageOccupancy,60928,1
5,13902,VSM.FinalizePages,2048,1
5,13902,VSM.DynamicRaster,82176,1
5,13902,VSM.LayoutRemap,0,1
5,13902,VSM.InvalidateStatic,0,0
5,13902,VSM.StaticCasterCull,132864,1
5,13902,VSM.DynamicCasterCull,0,1
5,13902,VSM.PageCull,113920,1
5,13902,VSM.StaticRaster,4352,1
5,13902,VSM.UnityCompatibilityRaster,0,0
5,13902,VSM.Resolve,5173504,1
5,13902,VSM.ResolveTrace,4945920,1
5,13902,VSM.FilterHorizontal,67328,1
5,13902,VSM.FilterVertical,0,0
5,13902,VSM.FilterTemporalVertical,158976,1
5,13902,VSM.ResetFeedback,0,1
6,13903,VSM.MarkReceiverPages,506624,1
6,13903,VSM.Allocate,286464,1
6,13903,VSM.ClearPhysicalPages,179456,1
6,13903,VSM.PageOccupancy,63744,1
6,13903,VSM.FinalizePages,1536,1
6,13903,VSM.DynamicRaster,84992,1
6,13903,VSM.LayoutRemap,0,1
6,13903,VSM.InvalidateStatic,0,0
6,13903,VSM.StaticCasterCull,136448,1
6,13903,VSM.DynamicCasterCull,0,1
6,13903,VSM.PageCull,117760,1
6,13903,VSM.StaticRaster,3328,1
6,13903,VSM.UnityCompatibilityRaster,0,0
6,13903,VSM.Resolve,5469696,1
6,13903,VSM.ResolveTrace,5242880,1
6,13903,VSM.FilterHorizontal,66560,1
6,13903,VSM.FilterVertical,0,0
6,13903,VSM.FilterTemporalVertical,159232,1
6,13903,VSM.ResetFeedback,0,1
7,13904,VSM.MarkReceiverPages,489984,1
7,13904,VSM.Allocate,284672,1
7,13904,VSM.ClearPhysicalPages,334080,1
7,13904,VSM.PageOccupancy,61184,1
7,13904,VSM.FinalizePages,1536,1
7,13904,VSM.DynamicRaster,86784,1
7,13904,VSM.LayoutRemap,0,1
7,13904,VSM.InvalidateStatic,0,0
7,13904,VSM.StaticCasterCull,143872,1
7,13904,VSM.DynamicCasterCull,0,1
7,13904,VSM.PageCull,120064,1
7,13904,VSM.StaticRaster,10752,1
7,13904,VSM.UnityCompatibilityRaster,0,0
7,13904,VSM.Resolve,5396992,1
7,13904,VSM.ResolveTrace,4881920,1
7,13904,VSM.FilterHorizontal,64512,1
7,13904,VSM.FilterVertical,0,0
7,13904,VSM.FilterTemporalVertical,449536,1
7,13904,VSM.ResetFeedback,0,1
8,13905,VSM.MarkReceiverPages,489728,1
8,13905,VSM.Allocate,288000,1
8,13905,VSM.ClearPhysicalPages,566016,1
8,13905,VSM.PageOccupancy,61184,1
8,13905,VSM.FinalizePages,1792,1
8,13905,VSM.DynamicRaster,93952,1
8,13905,VSM.LayoutRemap,0,1
8,13905,VSM.InvalidateStatic,0,0
8,13905,VSM.StaticCasterCull,155392,1
8,13905,VSM.DynamicCasterCull,0,1
8,13905,VSM.PageCull,127744,1
8,13905,VSM.StaticRaster,6400,1
8,13905,VSM.UnityCompatibilityRaster,0,0
8,13905,VSM.Resolve,5548288,1
8,13905,VSM.ResolveTrace,5321984,1
8,13905,VSM.FilterHorizontal,67328,1
8,13905,VSM.FilterVertical,0,0
8,13905,VSM.FilterTemporalVertical,158208,1
8,13905,VSM.ResetFeedback,0,1
9,13906,VSM.MarkReceiverPages,491008,1
9,13906,VSM.Allocate,288000,1
9,13906,VSM.ClearPhysicalPages,179968,1
9,13906,VSM.PageOccupancy,100352,1
9,13906,VSM.FinalizePages,1792,1
9,13906,VSM.DynamicRaster,83968,1
9,13906,VSM.LayoutRemap,0,1
9,13906,VSM.InvalidateStatic,0,0
9,13906,VSM.StaticCasterCull,137728,1
9,13906,VSM.DynamicCasterCull,0,1
9,13906,VSM.PageCull,119040,1
9,13906,VSM.StaticRaster,7168,1
9,13906,VSM.UnityCompatibilityRaster,0,0
9,13906,VSM.Resolve,5088512,1
9,13906,VSM.ResolveTrace,4863232,1
9,13906,VSM.FilterHorizontal,65536,1
9,13906,VSM.FilterVertical,0,0
9,13906,VSM.FilterTemporalVertical,158976,1
9,13906,VSM.ResetFeedback,0,1
10,13907,VSM.MarkReceiverPages,490240,1
10,13907,VSM.Allocate,286976,1
10,13907,VSM.ClearPhysicalPages,559872,1
10,13907,VSM.PageOccupancy,63488,1
10,13907,VSM.FinalizePages,2048,1
10,13907,VSM.DynamicRaster,109056,1
10,13907,VSM.LayoutRemap,0,1
10,13907,VSM.InvalidateStatic,0,0
10,13907,VSM.StaticCasterCull,142336,1
10,13907,VSM.DynamicCasterCull,0,1
10,13907,VSM.PageCull,117760,1
10,13907,VSM.StaticRaster,7424,1
10,13907,VSM.UnityCompatibilityRaster,0,0
10,13907,VSM.Resolve,5351680,1
10,13907,VSM.ResolveTrace,5127424,1
10,13907,VSM.FilterHorizontal,65536,1
10,13907,VSM.FilterVertical,0,0
10,13907,VSM.FilterTemporalVertical,157440,1
10,13907,VSM.ResetFeedback,0,1
11,13908,VSM.MarkReceiverPages,488960,1
11,13908,VSM.Allocate,290048,1
11,13908,VSM.ClearPhysicalPages,464128,1
11,13908,VSM.PageOccupancy,64768,1
11,13908,VSM.FinalizePages,2048,1
11,13908,VSM.DynamicRaster,88832,1
11,13908,VSM.LayoutRemap,0,1
11,13908,VSM.InvalidateStatic,0,0
11,13908,VSM.StaticCasterCull,147968,1
11,13908,VSM.DynamicCasterCull,0,1
11,13908,VSM.PageCull,123648,1
11,13908,VSM.StaticRaster,9216,1
11,13908,VSM.UnityCompatibilityRaster,0,0
11,13908,VSM.Resolve,4926976,1
11,13908,VSM.ResolveTrace,4702208,1
11,13908,VSM.FilterHorizontal,64000,1
11,13908,VSM.FilterVertical,0,0
11,13908,VSM.FilterTemporalVertical,159488,1
11,13908,VSM.ResetFeedback,0,1
12,13909,VSM.MarkReceiverPages,489472,1
12,13909,VSM.Allocate,289280,1
12,13909,VSM.ClearPhysicalPages,515840,1
12,13909,VSM.PageOccupancy,60416,1
12,13909,VSM.FinalizePages,1792,1
12,13909,VSM.DynamicRaster,91648,1
12,13909,VSM.LayoutRemap,0,1
12,13909,VSM.InvalidateStatic,0,0
12,13909,VSM.StaticCasterCull,149248,1
12,13909,VSM.DynamicCasterCull,0,1
12,13909,VSM.PageCull,124160,1
12,13909,VSM.StaticRaster,7936,1
12,13909,VSM.UnityCompatibilityRaster,0,0
12,13909,VSM.Resolve,4851200,1
12,13909,VSM.ResolveTrace,4628480,1
12,13909,VSM.FilterHorizontal,64000,1
12,13909,VSM.FilterVertical,0,0
12,13909,VSM.FilterTemporalVertical,157184,1
12,13909,VSM.ResetFeedback,0,1
13,13910,VSM.MarkReceiverPages,490752,1
13,13910,VSM.Allocate,284416,1
13,13910,VSM.ClearPhysicalPages,481024,1
13,13910,VSM.PageOccupancy,60928,1
13,13910,VSM.FinalizePages,1536,1
13,13910,VSM.DynamicRaster,86784,1
13,13910,VSM.LayoutRemap,0,1
13,13910,VSM.InvalidateStatic,0,0
13,13910,VSM.StaticCasterCull,142080,1
13,13910,VSM.DynamicCasterCull,0,1
13,13910,VSM.PageCull,118528,1
13,13910,VSM.StaticRaster,9728,1
13,13910,VSM.UnityCompatibilityRaster,0,0
13,13910,VSM.Resolve,5436160,1
13,13910,VSM.ResolveTrace,5208832,1
13,13910,VSM.FilterHorizontal,65536,1
13,13910,VSM.FilterVertical,0,0
13,13910,VSM.FilterTemporalVertical,160768,1
13,13910,VSM.ResetFeedback,0,1
14,13911,VSM.MarkReceiverPages,490752,1
14,13911,VSM.Allocate,288000,1
14,13911,VSM.ClearPhysicalPages,178688,1
14,13911,VSM.PageOccupancy,69888,1
14,13911,VSM.FinalizePages,1792,1
14,13911,VSM.DynamicRaster,90112,1
14,13911,VSM.LayoutRemap,0,1
14,13911,VSM.InvalidateStatic,0,0
14,13911,VSM.StaticCasterCull,141312,1
14,13911,VSM.DynamicCasterCull,0,1
14,13911,VSM.PageCull,122368,1
14,13911,VSM.StaticRaster,3328,1
14,13911,VSM.UnityCompatibilityRaster,0,0
14,13911,VSM.Resolve,5605632,1
14,13911,VSM.ResolveTrace,5379328,1
14,13911,VSM.FilterHorizontal,67584,1
14,13911,VSM.FilterVertical,0,0
14,13911,VSM.FilterTemporalVertical,157440,1
14,13911,VSM.ResetFeedback,0,1
15,13912,VSM.MarkReceiverPages,771072,1
15,13912,VSM.Allocate,291328,1
15,13912,VSM.ClearPhysicalPages,181760,1
15,13912,VSM.PageOccupancy,63232,1
15,13912,VSM.FinalizePages,2304,1
15,13912,VSM.DynamicRaster,90880,1
15,13912,VSM.LayoutRemap,0,1
15,13912,VSM.InvalidateStatic,0,0
15,13912,VSM.StaticCasterCull,138752,1
15,13912,VSM.DynamicCasterCull,0,1
15,13912,VSM.PageCull,120320,1
