observation,camera_frame_observed,marker,gpu_ns,gpu_sample_count
0,1831,VSM.MarkReceiverPages,1089792,1
0,1831,VSM.Allocate,11321856,1
0,1831,VSM.ClearPhysicalPages,473600,1
0,1831,VSM.PageOccupancy,71168,1
0,1831,VSM.FinalizePages,1792,1
0,1831,VSM.DynamicRaster,79104,1
0,1831,VSM.LayoutRemap,2304,1
0,1831,VSM.InvalidateStatic,2048,1
0,1831,VSM.StaticCasterCull,177152,1
0,1831,VSM.DynamicCasterCull,0,1
0,1831,VSM.PageCull,157696,1
0,1831,VSM.StaticRaster,28087040,1
0,1831,VSM.UnityCompatibilityRaster,0,0
0,1831,VSM.Resolve,5852672,1
0,1831,VSM.ResolveTrace,5719808,1
0,1831,VSM.FilterHorizontal,63744,1
0,1831,VSM.FilterVertical,0,0
0,1831,VSM.FilterTemporalVertical,68608,1
0,1831,VSM.ResetFeedback,2304,1
1,1832,VSM.MarkReceiverPages,610560,1
1,1832,VSM.Allocate,11293184,1
1,1832,VSM.ClearPhysicalPages,472832,1
1,1832,VSM.PageOccupancy,66048,1
1,1832,VSM.FinalizePages,2048,1
1,1832,VSM.DynamicRaster,83968,1
1,1832,VSM.LayoutRemap,2304,1
1,1832,VSM.InvalidateStatic,1792,1
1,1832,VSM.StaticCasterCull,178688,1
1,1832,VSM.DynamicCasterCull,0,1
1,1832,VSM.PageCull,159488,1
1,1832,VSM.StaticRaster,27953408,1
1,1832,VSM.UnityCompatibilityRaster,0,0
1,1832,VSM.Resolve,5848832,1
1,1832,VSM.ResolveTrace,5714688,1
1,1832,VSM.FilterHorizontal,64000,1
1,1832,VSM.FilterVertical,0,0
1,1832,VSM.FilterTemporalVertical,69632,1
1,1832,VSM.ResetFeedback,2304,1
2,1833,VSM.MarkReceiverPages,612608,1
2,1833,VSM.Allocate,11440384,1
2,1833,VSM.ClearPhysicalPages,475904,1
2,1833,VSM.PageOccupancy,71168,1
2,1833,VSM.FinalizePages,2048,1
2,1833,VSM.DynamicRaster,35072,1
2,1833,VSM.LayoutRemap,2560,1
2,1833,VSM.InvalidateStatic,1792,1
2,1833,VSM.StaticCasterCull,172288,1
2,1833,VSM.DynamicCasterCull,0,1
2,1833,VSM.PageCull,152576,1
2,1833,VSM.StaticRaster,28235520,1
2,1833,VSM.UnityCompatibilityRaster,0,0
2,1833,VSM.Resolve,7071232,1
2,1833,VSM.ResolveTrace,6932736,1
2,1833,VSM.FilterHorizontal,65280,1
