observation,camera_frame_observed,marker,gpu_ns,gpu_sample_count
0,6812,VSM.MarkReceiverPages,636160,1
0,6812,VSM.Allocate,274688,1
0,6812,VSM.ClearPhysicalPages,505088,1
0,6812,VSM.PageOccupancy,63744,1
0,6812,VSM.FinalizePages,1792,1
0,6812,VSM.DynamicRaster,91648,1
0,6812,VSM.LayoutRemap,0,1
0,6812,VSM.InvalidateStatic,0,0
0,6812,VSM.StaticCasterCull,143616,1
0,6812,VSM.DynamicCasterCull,0,1
0,6812,VSM.PageCull,119296,1
0,6812,VSM.StaticRaster,7168,1
0,6812,VSM.UnityCompatibilityRaster,0,0
0,6812,VSM.Resolve,4906752,1
0,6812,VSM.ResolveTrace,4683264,1
0,6812,VSM.FilterHorizontal,64512,1
0,6812,VSM.FilterVertical,0,0
0,6812,VSM.FilterTemporalVertical,158720,1
0,6812,VSM.ResetFeedback,0,1
1,6813,VSM.MarkReceiverPages,635392,1
1,6813,VSM.Allocate,273408,1
1,6813,VSM.ClearPhysicalPages,505344,1
1,6813,VSM.PageOccupancy,64000,1
1,6813,VSM.FinalizePages,2048,1
1,6813,VSM.DynamicRaster,91904,1
1,6813,VSM.LayoutRemap,0,1
1,6813,VSM.InvalidateStatic,0,0
1,6813,VSM.StaticCasterCull,141056,1
1,6813,VSM.DynamicCasterCull,0,1
1,6813,VSM.PageCull,120320,1
1,6813,VSM.StaticRaster,7168,1
1,6813,VSM.UnityCompatibilityRaster,0,0
1,6813,VSM.Resolve,5239808,1
1,6813,VSM.ResolveTrace,5011968,1
1,6813,VSM.FilterHorizontal,65536,1
1,6813,VSM.FilterVertical,0,0
1,6813,VSM.FilterTemporalVertical,161024,1
1,6813,VSM.ResetFeedback,0,1
2,6814,VSM.MarkReceiverPages,591360,1
2,6814,VSM.Allocate,272896,1
2,6814,VSM.ClearPhysicalPages,182528,1
2,6814,VSM.PageOccupancy,65024,1
2,6814,VSM.FinalizePages,1792,1
2,6814,VSM.DynamicRaster,87296,1
2,6814,VSM.LayoutRemap,0,1
2,6814,VSM.InvalidateStatic,0,0
2,6814,VSM.StaticCasterCull,137728,1
2,6814,VSM.DynamicCasterCull,0,1
2,6814,VSM.PageCull,119040,1
2,6814,VSM.StaticRaster,3328,1
2,6814,VSM.UnityCompatibilityRaster,0,0
2,6814,VSM.Resolve,4847872,1
2,6814,VSM.ResolveTrace,4626432,1
2,6814,VSM.FilterHorizontal,63744,1
2,6814,VSM.FilterVertical,0,0
2,6814,VSM.FilterTemporalVertical,157440,1
2,6814,VSM.ResetFeedback,0,1
3,6815,VSM.MarkReceiverPages,593152,1
3,6815,VSM.Allocate,273664,1
3,6815,VSM.ClearPhysicalPages,182784,1
3,6815,VSM.PageOccupancy,65024,1
3,6815,VSM.FinalizePages,1792,1
