observation,editor_time,camera_cpu_ms,marker,gpu_ns,gpu_sample_count
0,424.6301793,5.7014999999864813,VSM.MarkReceiverPages,629504,1
0,424.6301793,5.7014999999864813,VSM.AllocationPrepare,10240,1
0,424.6301793,5.7014999999864813,VSM.AllocationCommit,634880,1
0,424.6301793,5.7014999999864813,VSM.Allocate,1059072,1
0,424.6301793,5.7014999999864813,VSM.ClearPhysicalPages,473856,1
0,424.6301793,5.7014999999864813,VSM.PageOccupancy,70912,1
0,424.6301793,5.7014999999864813,VSM.FinalizePages,2304,1
0,424.6301793,5.7014999999864813,VSM.DynamicRaster,29696,1
0,424.6301793,5.7014999999864813,VSM.LayoutRemap,0,1
0,424.6301793,5.7014999999864813,VSM.InvalidateStatic,225024,1
0,424.6301793,5.7014999999864813,VSM.InvalidateDynamic,2048,1
0,424.6301793,5.7014999999864813,VSM.StaticCasterCull,177920,1
0,424.6301793,5.7014999999864813,VSM.DynamicCasterCull,127232,1
0,424.6301793,5.7014999999864813,VSM.PageCull,268544,2
0,424.6301793,5.7014999999864813,VSM.StaticRasterClear,256,1
0,424.6301793,5.7014999999864813,VSM.StaticRasterDraw,13611776,1
0,424.6301793,5.7014999999864813,VSM.DynamicRasterClear,3584,1
0,424.6301793,5.7014999999864813,VSM.DynamicRasterDraw,25856,1
0,424.6301793,5.7014999999864813,VSM.StaticRaster,13612032,1
0,424.6301793,5.7014999999864813,VSM.UnityCompatibilityRaster,0,0
0,424.6301793,5.7014999999864813,VSM.Resolve,6173952,1
0,424.6301793,5.7014999999864813,VSM.ResolveTrace,5944320,1
0,424.6301793,5.7014999999864813,VSM.FilterHorizontal,65280,1
0,424.6301793,5.7014999999864813,VSM.FilterVertical,0,0
0,424.6301793,5.7014999999864813,VSM.FilterTemporalVertical,162816,1
0,424.6301793,5.7014999999864813,VSM.ResetFeedback,0,1
1,424.66245050000003,4.7857000000135486,VSM.MarkReceiverPages,630272,1
1,424.66245050000003,4.7857000000135486,VSM.AllocationPrepare,10496,1
1,424.66245050000003,4.7857000000135486,VSM.AllocationCommit,636416,1
1,424.66245050000003,4.7857000000135486,VSM.Allocate,647168,1
1,424.66245050000003,4.7857000000135486,VSM.ClearPhysicalPages,642304,1
1,424.66245050000003,4.7857000000135486,VSM.PageOccupancy,72448,1
1,424.66245050000003,4.7857000000135486,VSM.FinalizePages,2048,1
1,424.66245050000003,4.7857000000135486,VSM.DynamicRaster,28160,1
1,424.66245050000003,4.7857000000135486,VSM.LayoutRemap,0,1
1,424.66245050000003,4.7857000000135486,VSM.InvalidateStatic,148480,1
1,424.66245050000003,4.7857000000135486,VSM.InvalidateDynamic,1536,1
1,424.66245050000003,4.7857000000135486,VSM.StaticCasterCull,178176,1
1,424.66245050000003,4.7857000000135486,VSM.DynamicCasterCull,139264,1
1,424.66245050000003,4.7857000000135486,VSM.PageCull,270848,2
1,424.66245050000003,4.7857000000135486,VSM.StaticRasterClear,0,1
1,424.66245050000003,4.7857000000135486,VSM.StaticRasterDraw,13404672,1
1,424.66245050000003,4.7857000000135486,VSM.DynamicRasterClear,1280,1
1,424.66245050000003,4.7857000000135486,VSM.DynamicRasterDraw,26880,1
1,424.66245050000003,4.7857000000135486,VSM.StaticRaster,13404672,1
1,424.66245050000003,4.7857000000135486,VSM.UnityCompatibilityRaster,0,0
1,424.66245050000003,4.7857000000135486,VSM.Resolve,6513152,1
1,424.66245050000003,4.7857000000135486,VSM.ResolveTrace,6284032,1
1,424.66245050000003,4.7857000000135486,VSM.FilterHorizontal,65792,1
1,424.66245050000003,4.7857000000135486,VSM.FilterVertical,0,0
1,424.66245050000003,4.7857000000135486,VSM.FilterTemporalVertical,162304,1
1,424.66245050000003,4.7857000000135486,VSM.ResetFeedback,0,1
2,424.6960752,5.3819999999973334,VSM.MarkReceiverPages,628736,1
2,424.6960752,5.3819999999973334,VSM.AllocationPrepare,10752,1
2,424.6960752,5.3819999999973334,VSM.AllocationCommit,632832,1
2,424.6960752,5.3819999999973334,VSM.Allocate,816384,1
2,424.6960752,5.3819999999973334,VSM.ClearPhysicalPages,473088,1
2,424.6960752,5.3819999999973334,VSM.PageOccupancy,70144,1
2,424.6960752,5.3819999999973334,VSM.FinalizePages,2048,1
2,424.6960752,5.3819999999973334,VSM.DynamicRaster,25088,1
2,424.6960752,5.3819999999973334,VSM.LayoutRemap,0,1
2,424.6960752,5.3819999999973334,VSM.InvalidateStatic,148224,1
2,424.6960752,5.3819999999973334,VSM.InvalidateDynamic,1536,1
2,424.6960752,5.3819999999973334,VSM.StaticCasterCull,173312,1
2,424.6960752,5.3819999999973334,VSM.DynamicCasterCull,138240,1
2,424.6960752,5.3819999999973334,VSM.PageCull,270848,2
2,424.6960752,5.3819999999973334,VSM.StaticRasterClear,0,1
2,424.6960752,5.3819999999973334,VSM.StaticRasterDraw,13790208,1
2,424.6960752,5.3819999999973334,VSM.DynamicRasterClear,1280,1
2,424.6960752,5.3819999999973334,VSM.DynamicRasterDraw,23808,1
2,424.6960752,5.3819999999973334,VSM.StaticRaster,13790464,1
2,424.6960752,5.3819999999973334,VSM.UnityCompatibilityRaster,0,0
2,424.6960752,5.3819999999973334,VSM.Resolve,6413568,1
2,424.6960752,5.3819999999973334,VSM.ResolveTrace,6182400,1
2,424.6960752,5.3819999999973334,VSM.FilterHorizontal,67072,1
2,424.6960752,5.3819999999973334,VSM.FilterVertical,0,0
2,424.6960752,5.3819999999973334,VSM.FilterTemporalVertical,163072,1
2,424.6960752,5.3819999999973334,VSM.ResetFeedback,0,1
3,424.729311,5.277999999975691,VSM.MarkReceiverPages,627968,1
3,424.729311,5.277999999975691,VSM.AllocationPrepare,10240,1
3,424.729311,5.277999999975691,VSM.AllocationCommit,632576,1
3,424.729311,5.277999999975691,VSM.Allocate,643072,1
3,424.729311,5.277999999975691,VSM.ClearPhysicalPages,474112,1
3,424.729311,5.277999999975691,VSM.PageOccupancy,70400,1
3,424.729311,5.277999999975691,VSM.FinalizePages,1792,1
3,424.729311,5.277999999975691,VSM.DynamicRaster,27136,1
3,424.729311,5.277999999975691,VSM.LayoutRemap,0,1
3,424.729311,5.277999999975691,VSM.InvalidateStatic,147968,1
3,424.729311,5.277999999975691,VSM.InvalidateDynamic,1536,1
3,424.729311,5.277999999975691,VSM.StaticCasterCull,169216,1
