observation,editor_time,camera_cpu_ms,marker,gpu_ns,gpu_sample_count
0,569.4277169,2.3354999999583015,VSM.MarkReceiverPages,742400,1
0,569.4277169,2.3354999999583015,VSM.AllocationPrepare,9472,1
0,569.4277169,2.3354999999583015,VSM.AllocationCommit,601344,1
0,569.4277169,2.3354999999583015,VSM.Allocate,611328,1
0,569.4277169,2.3354999999583015,VSM.ClearPhysicalPages,120064,1
0,569.4277169,2.3354999999583015,VSM.PageOccupancy,2560,1
0,569.4277169,2.3354999999583015,VSM.FinalizePages,1536,1
0,569.4277169,2.3354999999583015,VSM.DynamicRaster,7680,1
0,569.4277169,2.3354999999583015,VSM.LayoutRemap,256,1
0,569.4277169,2.3354999999583015,VSM.InvalidateStatic,0,0
0,569.4277169,2.3354999999583015,VSM.InvalidateDynamic,0,1
0,569.4277169,2.3354999999583015,VSM.StaticCasterCull,217344,1
0,569.4277169,2.3354999999583015,VSM.DynamicCasterCull,122880,1
0,569.4277169,2.3354999999583015,VSM.PageCull,306688,2
0,569.4277169,2.3354999999583015,VSM.StaticRasterClear,0,1
0,569.4277169,2.3354999999583015,VSM.StaticRasterDraw,7168,1
0,569.4277169,2.3354999999583015,VSM.DynamicRasterClear,256,1
0,569.4277169,2.3354999999583015,VSM.DynamicRasterDraw,7424,1
0,569.4277169,2.3354999999583015,VSM.StaticRaster,7424,1
0,569.4277169,2.3354999999583015,VSM.UnityCompatibilityRaster,0,0
0,569.4277169,2.3354999999583015,VSM.Resolve,5612288,1
0,569.4277169,2.3354999999583015,VSM.ResolveTrace,5387264,1
0,569.4277169,2.3354999999583015,VSM.FilterHorizontal,65280,1
0,569.4277169,2.3354999999583015,VSM.FilterVertical,0,0
0,569.4277169,2.3354999999583015,VSM.FilterTemporalVertical,158464,1
0,569.4277169,2.3354999999583015,VSM.ResetFeedback,0,1
1,569.44253329999992,1.8102999999882741,VSM.MarkReceiverPages,743168,1
1,569.44253329999992,1.8102999999882741,VSM.AllocationPrepare,9472,1
1,569.44253329999992,1.8102999999882741,VSM.AllocationCommit,601856,1
1,569.44253329999992,1.8102999999882741,VSM.Allocate,963072,1
1,569.44253329999992,1.8102999999882741,VSM.ClearPhysicalPages,119808,1
1,569.44253329999992,1.8102999999882741,VSM.PageOccupancy,2560,1
1,569.44253329999992,1.8102999999882741,VSM.FinalizePages,1792,1
1,569.44253329999992,1.8102999999882741,VSM.DynamicRaster,7168,1
1,569.44253329999992,1.8102999999882741,VSM.LayoutRemap,0,1
1,569.44253329999992,1.8102999999882741,VSM.InvalidateStatic,0,0
1,569.44253329999992,1.8102999999882741,VSM.InvalidateDynamic,256,1
1,569.44253329999992,1.8102999999882741,VSM.StaticCasterCull,214016,1
1,569.44253329999992,1.8102999999882741,VSM.DynamicCasterCull,121600,1
1,569.44253329999992,1.8102999999882741,VSM.PageCull,302080,2
1,569.44253329999992,1.8102999999882741,VSM.StaticRasterClear,256,1
