observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,4900,7625.7867663,1,VSM.PageOccupancy,57088,1
0,4900,7625.7867663,1,VSM.LayoutRemap,0,1
0,4900,7625.7867663,1,VSM.ResetFeedback,0,1
0,4900,7625.7867663,1,VSM.MarkReceiverPages,603904,1
0,4900,7625.7867663,1,VSM.Allocate,228096,1
0,4900,7625.7867663,1,VSM.InvalidateStatic,0,0
0,4900,7625.7867663,1,VSM.ClearPhysicalPages,89600,1
0,4900,7625.7867663,1,VSM.StaticCasterCull,66816,1
0,4900,7625.7867663,1,VSM.DynamicCasterCull,0,1
0,4900,7625.7867663,1,VSM.PageCull,48640,1
0,4900,7625.7867663,1,VSM.StaticRaster,4864,1
0,4900,7625.7867663,1,VSM.FinalizePages,1792,1
0,4900,7625.7867663,1,VSM.DynamicRaster,14080,1
0,4900,7625.7867663,1,VSM.UnityCompatibilityRaster,0,0
0,4900,7625.7867663,1,VSM.Resolve,12795136,1
0,4900,7625.7867663,1,VSM.ResolveTrace,12570368,1
0,4900,7625.7867663,1,VSM.FilterHorizontal,65280,1
0,4900,7625.7867663,1,VSM.FilterVertical,0,0
0,4900,7625.7867663,1,VSM.FilterTemporalVertical,158208,1
1,4901,7625.8104409,1,VSM.PageOccupancy,62976,1
1,4901,7625.8104409,1,VSM.LayoutRemap,0,1
1,4901,7625.8104409,1,VSM.ResetFeedback,0,1
1,4901,7625.8104409,1,VSM.MarkReceiverPages,604928,1
1,4901,7625.8104409,1,VSM.Allocate,229120,1
1,4901,7625.8104409,1,VSM.InvalidateStatic,0,0
1,4901,7625.8104409,1,VSM.ClearPhysicalPages,89856,1
1,4901,7625.8104409,1,VSM.StaticCasterCull,67584,1
1,4901,7625.8104409,1,VSM.DynamicCasterCull,0,1
1,4901,7625.8104409,1,VSM.PageCull,49408,1
1,4901,7625.8104409,1,VSM.StaticRaster,3072,1
1,4901,7625.8104409,1,VSM.FinalizePages,1792,1
1,4901,7625.8104409,1,VSM.DynamicRaster,12032,1
1,4901,7625.8104409,1,VSM.UnityCompatibilityRaster,0,0
1,4901,7625.8104409,1,VSM.Resolve,12158720,1
1,4901,7625.8104409,1,VSM.ResolveTrace,11936000,1
1,4901,7625.8104409,1,VSM.FilterHorizontal,64768,1
1,4901,7625.8104409,1,VSM.FilterVertical,0,0
1,4901,7625.8104409,1,VSM.FilterTemporalVertical,156672,1
2,4902,7625.8332893,1,VSM.PageOccupancy,96256,1
2,4902,7625.8332893,1,VSM.LayoutRemap,0,1
2,4902,7625.8332893,1,VSM.ResetFeedback,0,1
2,4902,7625.8332893,1,VSM.MarkReceiverPages,601600,1
2,4902,7625.8332893,1,VSM.Allocate,227328,1
2,4902,7625.8332893,1,VSM.InvalidateStatic,0,0
2,4902,7625.8332893,1,VSM.ClearPhysicalPages,271360,1
2,4902,7625.8332893,1,VSM.StaticCasterCull,73216,1
2,4902,7625.8332893,1,VSM.DynamicCasterCull,0,1
2,4902,7625.8332893,1,VSM.PageCull,51456,1
2,4902,7625.8332893,1,VSM.StaticRaster,3328,1
2,4902,7625.8332893,1,VSM.FinalizePages,1536,1
2,4902,7625.8332893,1,VSM.DynamicRaster,13568,1
2,4902,7625.8332893,1,VSM.UnityCompatibilityRaster,0,0
2,4902,7625.8332893,1,VSM.Resolve,12731392,1
2,4902,7625.8332893,1,VSM.ResolveTrace,12508928,1
2,4902,7625.8332893,1,VSM.FilterHorizontal,64512,1
2,4902,7625.8332893,1,VSM.FilterVertical,0,0
2,4902,7625.8332893,1,VSM.FilterTemporalVertical,156672,1
3,4903,7625.8560191999995,1,VSM.PageOccupancy,53504,1
3,4903,7625.8560191999995,1,VSM.LayoutRemap,2560,1
3,4903,7625.8560191999995,1,VSM.ResetFeedback,2048,1
3,4903,7625.8560191999995,1,VSM.MarkReceiverPages,677376,1
3,4903,7625.8560191999995,1,VSM.Allocate,925440,1
3,4903,7625.8560191999995,1,VSM.InvalidateStatic,0,0
3,4903,7625.8560191999995,1,VSM.ClearPhysicalPages,100608,1
3,4903,7625.8560191999995,1,VSM.StaticCasterCull,59136,1
3,4903,7625.8560191999995,1,VSM.DynamicCasterCull,0,1
3,4903,7625.8560191999995,1,VSM.PageCull,39936,1
3,4903,7625.8560191999995,1,VSM.StaticRaster,462592,1
3,4903,7625.8560191999995,1,VSM.FinalizePages,2560,1
3,4903,7625.8560191999995,1,VSM.DynamicRaster,7168,1
3,4903,7625.8560191999995,1,VSM.UnityCompatibilityRaster,0,0
3,4903,7625.8560191999995,1,VSM.Resolve,10789120,1
3,4903,7625.8560191999995,1,VSM.ResolveTrace,10574080,1
3,4903,7625.8560191999995,1,VSM.FilterHorizontal,64768,1
3,4903,7625.8560191999995,1,VSM.FilterVertical,0,0
