observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,7795,7700.9559408999994,1,VSM.PageOccupancy,60928,1
0,7795,7700.9559408999994,1,VSM.LayoutRemap,0,1
0,7795,7700.9559408999994,1,VSM.ResetFeedback,0,1
0,7795,7700.9559408999994,1,VSM.MarkReceiverPages,603392,1
0,7795,7700.9559408999994,1,VSM.Allocate,229120,1
0,7795,7700.9559408999994,1,VSM.InvalidateStatic,0,0
0,7795,7700.9559408999994,1,VSM.ClearPhysicalPages,89344,1
0,7795,7700.9559408999994,1,VSM.StaticCasterCull,68608,1
0,7795,7700.9559408999994,1,VSM.DynamicCasterCull,0,1
0,7795,7700.9559408999994,1,VSM.PageCull,49664,1
0,7795,7700.9559408999994,1,VSM.StaticRaster,7424,1
0,7795,7700.9559408999994,1,VSM.FinalizePages,1792,1
0,7795,7700.9559408999994,1,VSM.DynamicRaster,12288,1
0,7795,7700.9559408999994,1,VSM.UnityCompatibilityRaster,0,0
0,7795,7700.9559408999994,1,VSM.Resolve,12752640,1
0,7795,7700.9559408999994,1,VSM.ResolveTrace,12527360,1
0,7795,7700.9559408999994,1,VSM.FilterHorizontal,65024,1
0,7795,7700.9559408999994,1,VSM.FilterVertical,0,0
0,7795,7700.9559408999994,1,VSM.FilterTemporalVertical,159488,1
1,7796,7700.9790765,1,VSM.PageOccupancy,61440,1
1,7796,7700.9790765,1,VSM.LayoutRemap,0,1
1,7796,7700.9790765,1,VSM.ResetFeedback,0,1
1,7796,7700.9790765,1,VSM.MarkReceiverPages,600064,1
1,7796,7700.9790765,1,VSM.Allocate,228096,1
1,7796,7700.9790765,1,VSM.InvalidateStatic,0,0
1,7796,7700.9790765,1,VSM.ClearPhysicalPages,89344,1
1,7796,7700.9790765,1,VSM.StaticCasterCull,68352,1
1,7796,7700.9790765,1,VSM.DynamicCasterCull,0,1
1,7796,7700.9790765,1,VSM.PageCull,49152,1
1,7796,7700.9790765,1,VSM.StaticRaster,3328,1
1,7796,7700.9790765,1,VSM.FinalizePages,2048,1
1,7796,7700.9790765,1,VSM.DynamicRaster,12288,1
1,7796,7700.9790765,1,VSM.UnityCompatibilityRaster,0,0
1,7796,7700.9790765,1,VSM.Resolve,12957184,1
1,7796,7700.9790765,1,VSM.ResolveTrace,12729856,1
1,7796,7700.9790765,1,VSM.FilterHorizontal,65536,1
1,7796,7700.9790765,1,VSM.FilterVertical,0,0
1,7796,7700.9790765,1,VSM.FilterTemporalVertical,160512,1
2,7797,7700.9992686999994,1,VSM.PageOccupancy,61184,1
2,7797,7700.9992686999994,1,VSM.LayoutRemap,0,1
2,7797,7700.9992686999994,1,VSM.ResetFeedback,0,1
2,7797,7700.9992686999994,1,VSM.MarkReceiverPages,604672,1
2,7797,7700.9992686999994,1,VSM.Allocate,228864,1
2,7797,7700.9992686999994,1,VSM.InvalidateStatic,0,0
2,7797,7700.9992686999994,1,VSM.ClearPhysicalPages,89344,1
2,7797,7700.9992686999994,1,VSM.StaticCasterCull,68864,1
2,7797,7700.9992686999994,1,VSM.DynamicCasterCull,0,1
2,7797,7700.9992686999994,1,VSM.PageCull,50176,1
2,7797,7700.9992686999994,1,VSM.StaticRaster,7424,1
2,7797,7700.9992686999994,1,VSM.FinalizePages,1792,1
2,7797,7700.9992686999994,1,VSM.DynamicRaster,14592,1
2,7797,7700.9992686999994,1,VSM.UnityCompatibilityRaster,0,0
2,7797,7700.9992686999994,1,VSM.Resolve,13751552,1
2,7797,7700.9992686999994,1,VSM.ResolveTrace,13523968,1
2,7797,7700.9992686999994,1,VSM.FilterHorizontal,67584,1
2,7797,7700.9992686999994,1,VSM.FilterVertical,0,0
2,7797,7700.9992686999994,1,VSM.FilterTemporalVertical,159232,1
3,7798,7701.0222404,1,VSM.PageOccupancy,53760,1
3,7798,7701.0222404,1,VSM.LayoutRemap,2304,1
3,7798,7701.0222404,1,VSM.ResetFeedback,1792,1
3,7798,7701.0222404,1,VSM.MarkReceiverPages,678912,1
3,7798,7701.0222404,1,VSM.Allocate,927744,1
3,7798,7701.0222404,1,VSM.InvalidateStatic,0,0
3,7798,7701.0222404,1,VSM.ClearPhysicalPages,100352,1
3,7798,7701.0222404,1,VSM.StaticCasterCull,60928,1
3,7798,7701.0222404,1,VSM.DynamicCasterCull,0,1
3,7798,7701.0222404,1,VSM.PageCull,42240,1
3,7798,7701.0222404,1,VSM.StaticRaster,463616,1
3,7798,7701.0222404,1,VSM.FinalizePages,2048,1
3,7798,7701.0222404,1,VSM.DynamicRaster,8448,1
3,7798,7701.0222404,1,VSM.UnityCompatibilityRaster,0,0
3,7798,7701.0222404,1,VSM.Resolve,10043648,1
3,7798,7701.0222404,1,VSM.ResolveTrace,9828608,1
3,7798,7701.0222404,1,VSM.FilterHorizontal,65024,1
3,7798,7701.0222404,1,VSM.FilterVertical,0,0
3,7798,7701.0222404,1,VSM.FilterTemporalVertical,149248,1
4,7799,7701.0431712,1,VSM.PageOccupancy,61952,1
4,7799,7701.0431712,1,VSM.LayoutRemap,0,1
4,7799,7701.0431712,1,VSM.ResetFeedback,0,1
4,7799,7701.0431712,1,VSM.MarkReceiverPages,681984,1
4,7799,7701.0431712,1,VSM.Allocate,222464,1
4,7799,7701.0431712,1,VSM.InvalidateStatic,0,0
4,7799,7701.0431712,1,VSM.ClearPhysicalPages,89856,1
4,7799,7701.0431712,1,VSM.StaticCasterCull,66304,1
4,7799,7701.0431712,1,VSM.DynamicCasterCull,0,1
4,7799,7701.0431712,1,VSM.PageCull,47872,1
4,7799,7701.0431712,1,VSM.StaticRaster,3072,1
4,7799,7701.0431712,1,VSM.FinalizePages,1792,1
4,7799,7701.0431712,1,VSM.DynamicRaster,12288,1
4,7799,7701.0431712,1,VSM.UnityCompatibilityRaster,0,0
4,7799,7701.0431712,1,VSM.Resolve,10457344,1
4,7799,7701.0431712,1,VSM.ResolveTrace,10234112,1
4,7799,7701.0431712,1,VSM.FilterHorizontal,65024,1
4,7799,7701.0431712,1,VSM.FilterVertical,0,0
4,7799,7701.0431712,1,VSM.FilterTemporalVertical,156928,1
5,7800,7701.0647347999993,1,VSM.PageOccupancy,60928,1
5,7800,7701.0647347999993,1,VSM.LayoutRemap,0,1
5,7800,7701.0647347999993,1,VSM.ResetFeedback,0,1
5,7800,7701.0647347999993,1,VSM.MarkReceiverPages,681728,1
5,7800,7701.0647347999993,1,VSM.Allocate,223232,1
5,7800,7701.0647347999993,1,VSM.InvalidateStatic,0,0
5,7800,7701.0647347999993,1,VSM.ClearPhysicalPages,292352,1
5,7800,7701.0647347999993,1,VSM.StaticCasterCull,73728,1
5,7800,7701.0647347999993,1,VSM.DynamicCasterCull,0,1
5,7800,7701.0647347999993,1,VSM.PageCull,49152,1
5,7800,7701.0647347999993,1,VSM.StaticRaster,3072,1
5,7800,7701.0647347999993,1,VSM.FinalizePages,2048,1
5,7800,7701.0647347999993,1,VSM.DynamicRaster,13056,1
5,7800,7701.0647347999993,1,VSM.UnityCompatibilityRaster,0,0
5,7800,7701.0647347999993,1,VSM.Resolve,11324928,1
5,7800,7701.0647347999993,1,VSM.ResolveTrace,11094272,1
5,7800,7701.0647347999993,1,VSM.FilterHorizontal,67072,1
5,7800,7701.0647347999993,1,VSM.FilterVertical,0,0
5,7800,7701.0647347999993,1,VSM.FilterTemporalVertical,162048,1
6,7801,7701.0869582999994,1,VSM.PageOccupancy,59904,1
6,7801,7701.0869582999994,1,VSM.LayoutRemap,0,1
6,7801,7701.0869582999994,1,VSM.ResetFeedback,0,1
6,7801,7701.0869582999994,1,VSM.MarkReceiverPages,677376,1
6,7801,7701.0869582999994,1,VSM.Allocate,224000,1
6,7801,7701.0869582999994,1,VSM.InvalidateStatic,0,0
6,7801,7701.0869582999994,1,VSM.ClearPhysicalPages,89344,1
6,7801,7701.0869582999994,1,VSM.StaticCasterCull,68352,1
6,7801,7701.0869582999994,1,VSM.DynamicCasterCull,0,1
6,7801,7701.0869582999994,1,VSM.PageCull,49664,1
6,7801,7701.0869582999994,1,VSM.StaticRaster,5376,1
6,7801,7701.0869582999994,1,VSM.FinalizePages,1792,1
6,7801,7701.0869582999994,1,VSM.DynamicRaster,13824,1
6,7801,7701.0869582999994,1,VSM.UnityCompatibilityRaster,0,0
6,7801,7701.0869582999994,1,VSM.Resolve,10333184,1
