observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,5093,7630.4667061,1,VSM.PageOccupancy,58880,1
0,5093,7630.4667061,1,VSM.LayoutRemap,0,1
0,5093,7630.4667061,1,VSM.ResetFeedback,0,1
0,5093,7630.4667061,1,VSM.MarkReceiverPages,646400,1
0,5093,7630.4667061,1,VSM.Allocate,223232,1
0,5093,7630.4667061,1,VSM.InvalidateStatic,0,0
0,5093,7630.4667061,1,VSM.ClearPhysicalPages,89856,1
0,5093,7630.4667061,1,VSM.StaticCasterCull,67072,1
0,5093,7630.4667061,1,VSM.DynamicCasterCull,0,1
0,5093,7630.4667061,1,VSM.PageCull,48640,1
0,5093,7630.4667061,1,VSM.StaticRaster,7424,1
0,5093,7630.4667061,1,VSM.FinalizePages,2304,1
0,5093,7630.4667061,1,VSM.DynamicRaster,11520,1
0,5093,7630.4667061,1,VSM.UnityCompatibilityRaster,0,0
0,5093,7630.4667061,1,VSM.Resolve,13585664,1
0,5093,7630.4667061,1,VSM.ResolveTrace,13363968,1
0,5093,7630.4667061,1,VSM.FilterHorizontal,65280,1
0,5093,7630.4667061,1,VSM.FilterVertical,0,0
0,5093,7630.4667061,1,VSM.FilterTemporalVertical,155136,1
1,5094,7630.4896245,1,VSM.PageOccupancy,58624,1
1,5094,7630.4896245,1,VSM.LayoutRemap,0,1
1,5094,7630.4896245,1,VSM.ResetFeedback,0,1
1,5094,7630.4896245,1,VSM.MarkReceiverPages,645888,1
1,5094,7630.4896245,1,VSM.Allocate,223232,1
1,5094,7630.4896245,1,VSM.InvalidateStatic,0,0
1,5094,7630.4896245,1,VSM.ClearPhysicalPages,89600,1
1,5094,7630.4896245,1,VSM.StaticCasterCull,351744,1
1,5094,7630.4896245,1,VSM.DynamicCasterCull,0,1
1,5094,7630.4896245,1,VSM.PageCull,49920,1
1,5094,7630.4896245,1,VSM.StaticRaster,10240,1
1,5094,7630.4896245,1,VSM.FinalizePages,1792,1
1,5094,7630.4896245,1,VSM.DynamicRaster,12288,1
1,5094,7630.4896245,1,VSM.UnityCompatibilityRaster,0,0
1,5094,7630.4896245,1,VSM.Resolve,13254400,1
1,5094,7630.4896245,1,VSM.ResolveTrace,13031680,1
1,5094,7630.4896245,1,VSM.FilterHorizontal,65536,1
1,5094,7630.4896245,1,VSM.FilterVertical,0,0
1,5094,7630.4896245,1,VSM.FilterTemporalVertical,156160,1
2,5095,7630.51222,1,VSM.PageOccupancy,62208,1
2,5095,7630.51222,1,VSM.LayoutRemap,0,1
2,5095,7630.51222,1,VSM.ResetFeedback,0,1
2,5095,7630.51222,1,VSM.MarkReceiverPages,645376,1
2,5095,7630.51222,1,VSM.Allocate,222976,1
2,5095,7630.51222,1,VSM.InvalidateStatic,0,0
2,5095,7630.51222,1,VSM.ClearPhysicalPages,245760,1
2,5095,7630.51222,1,VSM.StaticCasterCull,71168,1
2,5095,7630.51222,1,VSM.DynamicCasterCull,0,1
2,5095,7630.51222,1,VSM.PageCull,48384,1
2,5095,7630.51222,1,VSM.StaticRaster,7424,1
2,5095,7630.51222,1,VSM.FinalizePages,2048,1
2,5095,7630.51222,1,VSM.DynamicRaster,13568,1
2,5095,7630.51222,1,VSM.UnityCompatibilityRaster,0,0
2,5095,7630.51222,1,VSM.Resolve,13300224,1
2,5095,7630.51222,1,VSM.ResolveTrace,13079552,1
2,5095,7630.51222,1,VSM.FilterHorizontal,65024,1
2,5095,7630.51222,1,VSM.FilterVertical,0,0
2,5095,7630.51222,1,VSM.FilterTemporalVertical,154624,1
3,5096,7630.5355585,1,VSM.PageOccupancy,58624,1
3,5096,7630.5355585,1,VSM.LayoutRemap,0,1
3,5096,7630.5355585,1,VSM.ResetFeedback,0,1
3,5096,7630.5355585,1,VSM.MarkReceiverPages,679424,1
3,5096,7630.5355585,1,VSM.Allocate,332288,1
3,5096,7630.5355585,1,VSM.InvalidateStatic,0,0
3,5096,7630.5355585,1,VSM.ClearPhysicalPages,91648,1
3,5096,7630.5355585,1,VSM.StaticCasterCull,62464,1
3,5096,7630.5355585,1,VSM.DynamicCasterCull,0,1
3,5096,7630.5355585,1,VSM.PageCull,44032,1
3,5096,7630.5355585,1,VSM.StaticRaster,53760,1
3,5096,7630.5355585,1,VSM.FinalizePages,1792,1
3,5096,7630.5355585,1,VSM.DynamicRaster,12800,1
3,5096,7630.5355585,1,VSM.UnityCompatibilityRaster,0,0
3,5096,7630.5355585,1,VSM.Resolve,11777536,1
3,5096,7630.5355585,1,VSM.ResolveTrace,11396864,1
3,5096,7630.5355585,1,VSM.FilterHorizontal,65024,1
3,5096,7630.5355585,1,VSM.FilterVertical,0,0
3,5096,7630.5355585,1,VSM.FilterTemporalVertical,153856,1
4,5097,7630.5568545,1,VSM.PageOccupancy,57344,1
4,5097,7630.5568545,1,VSM.LayoutRemap,0,1
4,5097,7630.5568545,1,VSM.ResetFeedback,0,1
4,5097,7630.5568545,1,VSM.MarkReceiverPages,685056,1
4,5097,7630.5568545,1,VSM.Allocate,224512,1
4,5097,7630.5568545,1,VSM.InvalidateStatic,0,0
4,5097,7630.5568545,1,VSM.ClearPhysicalPages,89600,1
4,5097,7630.5568545,1,VSM.StaticCasterCull,68608,1
4,5097,7630.5568545,1,VSM.DynamicCasterCull,0,1
4,5097,7630.5568545,1,VSM.PageCull,49664,1
4,5097,7630.5568545,1,VSM.StaticRaster,7168,1
4,5097,7630.5568545,1,VSM.FinalizePages,2560,1
4,5097,7630.5568545,1,VSM.DynamicRaster,12800,1
4,5097,7630.5568545,1,VSM.UnityCompatibilityRaster,0,0
4,5097,7630.5568545,1,VSM.Resolve,11655936,1
4,5097,7630.5568545,1,VSM.ResolveTrace,11432960,1
4,5097,7630.5568545,1,VSM.FilterHorizontal,64512,1
4,5097,7630.5568545,1,VSM.FilterVertical,0,0
4,5097,7630.5568545,1,VSM.FilterTemporalVertical,157696,1
5,5098,7630.5800737,1,VSM.PageOccupancy,60160,1
5,5098,7630.5800737,1,VSM.LayoutRemap,0,1
5,5098,7630.5800737,1,VSM.ResetFeedback,0,1
5,5098,7630.5800737,1,VSM.MarkReceiverPages,680448,1
5,5098,7630.5800737,1,VSM.Allocate,223488,1
5,5098,7630.5800737,1,VSM.InvalidateStatic,0,0
5,5098,7630.5800737,1,VSM.ClearPhysicalPages,89600,1
5,5098,7630.5800737,1,VSM.StaticCasterCull,66816,1
5,5098,7630.5800737,1,VSM.DynamicCasterCull,0,1
5,5098,7630.5800737,1,VSM.PageCull,48128,1
5,5098,7630.5800737,1,VSM.StaticRaster,7424,1
5,5098,7630.5800737,1,VSM.FinalizePages,1536,1
5,5098,7630.5800737,1,VSM.DynamicRaster,11776,1
5,5098,7630.5800737,1,VSM.UnityCompatibilityRaster,0,0
5,5098,7630.5800737,1,VSM.Resolve,11596032,1
5,5098,7630.5800737,1,VSM.ResolveTrace,11374080,1
5,5098,7630.5800737,1,VSM.FilterHorizontal,65024,1
5,5098,7630.5800737,1,VSM.FilterVertical,0,0
5,5098,7630.5800737,1,VSM.FilterTemporalVertical,155392,1
6,5099,7630.6029163999992,1,VSM.PageOccupancy,62464,1
6,5099,7630.6029163999992,1,VSM.LayoutRemap,0,1
6,5099,7630.6029163999992,1,VSM.ResetFeedback,0,1
6,5099,7630.6029163999992,1,VSM.MarkReceiverPages,679936,1
6,5099,7630.6029163999992,1,VSM.Allocate,222976,1
6,5099,7630.6029163999992,1,VSM.InvalidateStatic,0,0
6,5099,7630.6029163999992,1,VSM.ClearPhysicalPages,397056,1
6,5099,7630.6029163999992,1,VSM.StaticCasterCull,73216,1
6,5099,7630.6029163999992,1,VSM.DynamicCasterCull,0,1
6,5099,7630.6029163999992,1,VSM.PageCull,51456,1
6,5099,7630.6029163999992,1,VSM.StaticRaster,7424,1
6,5099,7630.6029163999992,1,VSM.FinalizePages,2048,1
6,5099,7630.6029163999992,1,VSM.DynamicRaster,14080,1
6,5099,7630.6029163999992,1,VSM.UnityCompatibilityRaster,0,0
6,5099,7630.6029163999992,1,VSM.Resolve,10936064,1
6,5099,7630.6029163999992,1,VSM.ResolveTrace,10712832,1
6,5099,7630.6029163999992,1,VSM.FilterHorizontal,64768,1
6,5099,7630.6029163999992,1,VSM.FilterVertical,0,0
6,5099,7630.6029163999992,1,VSM.FilterTemporalVertical,157184,1
7,5100,7630.6273077,1,VSM.PageOccupancy,58880,1
7,5100,7630.6273077,1,VSM.LayoutRemap,0,1
7,5100,7630.6273077,1,VSM.ResetFeedback,0,1
7,5100,7630.6273077,1,VSM.MarkReceiverPages,681984,1
7,5100,7630.6273077,1,VSM.Allocate,222720,1
