observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,7602,7696.1623225999992,1,VSM.PageOccupancy,59392,1
0,7602,7696.1623225999992,1,VSM.LayoutRemap,0,1
0,7602,7696.1623225999992,1,VSM.ResetFeedback,0,1
0,7602,7696.1623225999992,1,VSM.MarkReceiverPages,646656,1
0,7602,7696.1623225999992,1,VSM.Allocate,223744,1
0,7602,7696.1623225999992,1,VSM.InvalidateStatic,0,0
0,7602,7696.1623225999992,1,VSM.ClearPhysicalPages,89600,1
0,7602,7696.1623225999992,1,VSM.StaticCasterCull,67584,1
0,7602,7696.1623225999992,1,VSM.DynamicCasterCull,0,1
0,7602,7696.1623225999992,1,VSM.PageCull,49152,1
0,7602,7696.1623225999992,1,VSM.StaticRaster,3072,1
0,7602,7696.1623225999992,1,VSM.FinalizePages,2048,1
0,7602,7696.1623225999992,1,VSM.DynamicRaster,12288,1
0,7602,7696.1623225999992,1,VSM.UnityCompatibilityRaster,0,0
0,7602,7696.1623225999992,1,VSM.Resolve,13646592,1
0,7602,7696.1623225999992,1,VSM.ResolveTrace,13423104,1
0,7602,7696.1623225999992,1,VSM.FilterHorizontal,67328,1
0,7602,7696.1623225999992,1,VSM.FilterVertical,0,0
0,7602,7696.1623225999992,1,VSM.FilterTemporalVertical,155392,1
1,7603,7696.1833474999994,1,VSM.PageOccupancy,59904,1
1,7603,7696.1833474999994,1,VSM.LayoutRemap,0,1
1,7603,7696.1833474999994,1,VSM.ResetFeedback,0,1
1,7603,7696.1833474999994,1,VSM.MarkReceiverPages,663040,1
1,7603,7696.1833474999994,1,VSM.Allocate,223488,1
1,7603,7696.1833474999994,1,VSM.InvalidateStatic,0,0
1,7603,7696.1833474999994,1,VSM.ClearPhysicalPages,89856,1
1,7603,7696.1833474999994,1,VSM.StaticCasterCull,60928,1
1,7603,7696.1833474999994,1,VSM.DynamicCasterCull,0,1
1,7603,7696.1833474999994,1,VSM.PageCull,41728,1
1,7603,7696.1833474999994,1,VSM.StaticRaster,7424,1
1,7603,7696.1833474999994,1,VSM.FinalizePages,1792,1
