observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,5479,7640.7069225,1,VSM.PageOccupancy,54528,1
0,5479,7640.7069225,1,VSM.LayoutRemap,0,1
0,5479,7640.7069225,1,VSM.ResetFeedback,0,1
0,5479,7640.7069225,1,VSM.MarkReceiverPages,696832,1
0,5479,7640.7069225,1,VSM.Allocate,231424,1
0,5479,7640.7069225,1,VSM.InvalidateStatic,0,0
0,5479,7640.7069225,1,VSM.ClearPhysicalPages,89344,1
0,5479,7640.7069225,1,VSM.StaticCasterCull,67328,1
0,5479,7640.7069225,1,VSM.DynamicCasterCull,38144,1
0,5479,7640.7069225,1,VSM.PageCull,71936,2
0,5479,7640.7069225,1,VSM.StaticRaster,6912,1
0,5479,7640.7069225,1,VSM.FinalizePages,1792,1
0,5479,7640.7069225,1,VSM.DynamicRaster,63232,1
0,5479,7640.7069225,1,VSM.UnityCompatibilityRaster,0,0
0,5479,7640.7069225,1,VSM.Resolve,10332416,1
0,5479,7640.7069225,1,VSM.ResolveTrace,10110720,1
0,5479,7640.7069225,1,VSM.FilterHorizontal,64512,1
0,5479,7640.7069225,1,VSM.FilterVertical,0,0
0,5479,7640.7069225,1,VSM.FilterTemporalVertical,156160,1
1,5480,7640.7366323999995,1,VSM.PageOccupancy,55040,1
1,5480,7640.7366323999995,1,VSM.LayoutRemap,0,1
1,5480,7640.7366323999995,1,VSM.ResetFeedback,0,1
1,5480,7640.7366323999995,1,VSM.MarkReceiverPages,694528,1
1,5480,7640.7366323999995,1,VSM.Allocate,231680,1
1,5480,7640.7366323999995,1,VSM.InvalidateStatic,0,0
1,5480,7640.7366323999995,1,VSM.ClearPhysicalPages,90112,1
1,5480,7640.7366323999995,1,VSM.StaticCasterCull,66816,1
1,5480,7640.7366323999995,1,VSM.DynamicCasterCull,36096,1
1,5480,7640.7366323999995,1,VSM.PageCull,69632,2
1,5480,7640.7366323999995,1,VSM.StaticRaster,6912,1
1,5480,7640.7366323999995,1,VSM.FinalizePages,2048,1
1,5480,7640.7366323999995,1,VSM.DynamicRaster,63232,1
1,5480,7640.7366323999995,1,VSM.UnityCompatibilityRaster,0,0
1,5480,7640.7366323999995,1,VSM.Resolve,10859008,1
1,5480,7640.7366323999995,1,VSM.ResolveTrace,10446848,1
1,5480,7640.7366323999995,1,VSM.FilterHorizontal,65536,1
1,5480,7640.7366323999995,1,VSM.FilterVertical,0,0
1,5480,7640.7366323999995,1,VSM.FilterTemporalVertical,155904,1
2,5481,7640.7675154,1,VSM.PageOccupancy,55808,1
2,5481,7640.7675154,1,VSM.LayoutRemap,0,1
2,5481,7640.7675154,1,VSM.ResetFeedback,0,1
2,5481,7640.7675154,1,VSM.MarkReceiverPages,699904,1
2,5481,7640.7675154,1,VSM.Allocate,230656,1
2,5481,7640.7675154,1,VSM.InvalidateStatic,0,0
2,5481,7640.7675154,1,VSM.ClearPhysicalPages,90368,1
2,5481,7640.7675154,1,VSM.StaticCasterCull,65792,1
2,5481,7640.7675154,1,VSM.DynamicCasterCull,37632,1
2,5481,7640.7675154,1,VSM.PageCull,68352,2
2,5481,7640.7675154,1,VSM.StaticRaster,6912,1
2,5481,7640.7675154,1,VSM.FinalizePages,2304,1
2,5481,7640.7675154,1,VSM.DynamicRaster,64256,1
