observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,7216,7686.4787687,1,VSM.PageOccupancy,55040,1
0,7216,7686.4787687,1,VSM.LayoutRemap,0,1
0,7216,7686.4787687,1,VSM.ResetFeedback,0,1
0,7216,7686.4787687,1,VSM.MarkReceiverPages,697856,1
0,7216,7686.4787687,1,VSM.Allocate,231680,1
0,7216,7686.4787687,1,VSM.InvalidateStatic,0,0
0,7216,7686.4787687,1,VSM.ClearPhysicalPages,89600,1
0,7216,7686.4787687,1,VSM.StaticCasterCull,69376,1
0,7216,7686.4787687,1,VSM.DynamicCasterCull,37376,1
0,7216,7686.4787687,1,VSM.PageCull,73216,2
0,7216,7686.4787687,1,VSM.StaticRaster,7168,1
0,7216,7686.4787687,1,VSM.FinalizePages,2304,1
0,7216,7686.4787687,1,VSM.DynamicRaster,61696,1
0,7216,7686.4787687,1,VSM.UnityCompatibilityRaster,0,0
0,7216,7686.4787687,1,VSM.Resolve,9857792,1
0,7216,7686.4787687,1,VSM.ResolveTrace,9632000,1
0,7216,7686.4787687,1,VSM.FilterHorizontal,64768,1
0,7216,7686.4787687,1,VSM.FilterVertical,0,0
0,7216,7686.4787687,1,VSM.FilterTemporalVertical,159744,1
1,7217,7686.5043957,1,VSM.PageOccupancy,55040,1
1,7217,7686.5043957,1,VSM.LayoutRemap,0,1
1,7217,7686.5043957,1,VSM.ResetFeedback,0,1
1,7217,7686.5043957,1,VSM.MarkReceiverPages,701440,1
1,7217,7686.5043957,1,VSM.Allocate,232704,1
1,7217,7686.5043957,1,VSM.InvalidateStatic,0,0
1,7217,7686.5043957,1,VSM.ClearPhysicalPages,89856,1
1,7217,7686.5043957,1,VSM.StaticCasterCull,68096,1
1,7217,7686.5043957,1,VSM.DynamicCasterCull,37120,1
1,7217,7686.5043957,1,VSM.PageCull,72192,2
1,7217,7686.5043957,1,VSM.StaticRaster,7680,1
1,7217,7686.5043957,1,VSM.FinalizePages,2304,1
