observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,5865,7651.036773,1,VSM.PageOccupancy,55040,1
0,5865,7651.036773,1,VSM.LayoutRemap,0,1
0,5865,7651.036773,1,VSM.ResetFeedback,0,1
0,5865,7651.036773,1,VSM.MarkReceiverPages,667648,1
0,5865,7651.036773,1,VSM.Allocate,222720,1
0,5865,7651.036773,1,VSM.InvalidateStatic,0,0
0,5865,7651.036773,1,VSM.ClearPhysicalPages,89600,1
0,5865,7651.036773,1,VSM.StaticCasterCull,68608,1
0,5865,7651.036773,1,VSM.DynamicCasterCull,43776,1
0,5865,7651.036773,1,VSM.PageCull,79360,2
0,5865,7651.036773,1,VSM.StaticRaster,7168,1
0,5865,7651.036773,1,VSM.FinalizePages,1536,1
0,5865,7651.036773,1,VSM.DynamicRaster,34560,1
0,5865,7651.036773,1,VSM.UnityCompatibilityRaster,0,0
0,5865,7651.036773,1,VSM.Resolve,11142144,1
0,5865,7651.036773,1,VSM.ResolveTrace,10917632,1
0,5865,7651.036773,1,VSM.FilterHorizontal,65792,1
0,5865,7651.036773,1,VSM.FilterVertical,0,0
0,5865,7651.036773,1,VSM.FilterTemporalVertical,157440,1
1,5866,7651.0601099999994,1,VSM.PageOccupancy,54528,1
1,5866,7651.0601099999994,1,VSM.LayoutRemap,0,1
1,5866,7651.0601099999994,1,VSM.ResetFeedback,0,1
1,5866,7651.0601099999994,1,VSM.MarkReceiverPages,668416,1
1,5866,7651.0601099999994,1,VSM.Allocate,221696,1
1,5866,7651.0601099999994,1,VSM.InvalidateStatic,0,0
1,5866,7651.0601099999994,1,VSM.ClearPhysicalPages,89856,1
1,5866,7651.0601099999994,1,VSM.StaticCasterCull,66816,1
1,5866,7651.0601099999994,1,VSM.DynamicCasterCull,41728,1
1,5866,7651.0601099999994,1,VSM.PageCull,75264,2
1,5866,7651.0601099999994,1,VSM.StaticRaster,10240,1
1,5866,7651.0601099999994,1,VSM.FinalizePages,1792,1
