observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,6830,7677.2760003999992,1,VSM.PageOccupancy,56320,1
0,6830,7677.2760003999992,1,VSM.LayoutRemap,0,1
0,6830,7677.2760003999992,1,VSM.ResetFeedback,0,1
0,6830,7677.2760003999992,1,VSM.MarkReceiverPages,667392,1
0,6830,7677.2760003999992,1,VSM.Allocate,220416,1
0,6830,7677.2760003999992,1,VSM.InvalidateStatic,0,0
0,6830,7677.2760003999992,1,VSM.ClearPhysicalPages,356096,1
0,6830,7677.2760003999992,1,VSM.StaticCasterCull,72192,1
0,6830,7677.2760003999992,1,VSM.DynamicCasterCull,41472,1
0,6830,7677.2760003999992,1,VSM.PageCull,75008,2
0,6830,7677.2760003999992,1,VSM.StaticRaster,6912,1
0,6830,7677.2760003999992,1,VSM.FinalizePages,1792,1
0,6830,7677.2760003999992,1,VSM.DynamicRaster,33536,1
0,6830,7677.2760003999992,1,VSM.UnityCompatibilityRaster,0,0
0,6830,7677.2760003999992,1,VSM.Resolve,10954752,1
0,6830,7677.2760003999992,1,VSM.ResolveTrace,10729728,1
0,6830,7677.2760003999992,1,VSM.FilterHorizontal,66048,1
0,6830,7677.2760003999992,1,VSM.FilterVertical,0,0
0,6830,7677.2760003999992,1,VSM.FilterTemporalVertical,157952,1
1,6831,7677.3025934,1,VSM.PageOccupancy,55808,1
1,6831,7677.3025934,1,VSM.LayoutRemap,0,1
1,6831,7677.3025934,1,VSM.ResetFeedback,0,1
1,6831,7677.3025934,1,VSM.MarkReceiverPages,669440,1
1,6831,7677.3025934,1,VSM.Allocate,225536,1
1,6831,7677.3025934,1,VSM.InvalidateStatic,0,0
1,6831,7677.3025934,1,VSM.ClearPhysicalPages,89856,1
1,6831,7677.3025934,1,VSM.StaticCasterCull,66560,1
1,6831,7677.3025934,1,VSM.DynamicCasterCull,43776,1
1,6831,7677.3025934,1,VSM.PageCull,77824,2
1,6831,7677.3025934,1,VSM.StaticRaster,7424,1
1,6831,7677.3025934,1,VSM.FinalizePages,1536,1
1,6831,7677.3025934,1,VSM.DynamicRaster,34304,1
1,6831,7677.3025934,1,VSM.UnityCompatibilityRaster,0,0
1,6831,7677.3025934,1,VSM.Resolve,9966592,1
1,6831,7677.3025934,1,VSM.ResolveTrace,9346816,1
1,6831,7677.3025934,1,VSM.FilterHorizontal,66816,1
1,6831,7677.3025934,1,VSM.FilterVertical,0,0
1,6831,7677.3025934,1,VSM.FilterTemporalVertical,158976,1
2,6832,7677.3252466999993,1,VSM.PageOccupancy,55552,1
2,6832,7677.3252466999993,1,VSM.LayoutRemap,0,1
2,6832,7677.3252466999993,1,VSM.ResetFeedback,0,1
2,6832,7677.3252466999993,1,VSM.MarkReceiverPages,688128,1
2,6832,7677.3252466999993,1,VSM.Allocate,223488,1
2,6832,7677.3252466999993,1,VSM.InvalidateStatic,0,0
2,6832,7677.3252466999993,1,VSM.ClearPhysicalPages,89856,1
2,6832,7677.3252466999993,1,VSM.StaticCasterCull,60928,1
2,6832,7677.3252466999993,1,VSM.DynamicCasterCull,41728,1
2,6832,7677.3252466999993,1,VSM.PageCull,69888,2
2,6832,7677.3252466999993,1,VSM.StaticRaster,3328,1
2,6832,7677.3252466999993,1,VSM.FinalizePages,1536,1
2,6832,7677.3252466999993,1,VSM.DynamicRaster,34304,1
2,6832,7677.3252466999993,1,VSM.UnityCompatibilityRaster,0,0
2,6832,7677.3252466999993,1,VSM.Resolve,9545728,1
2,6832,7677.3252466999993,1,VSM.ResolveTrace,9323264,1
2,6832,7677.3252466999993,1,VSM.FilterHorizontal,65536,1
2,6832,7677.3252466999993,1,VSM.FilterVertical,0,0
2,6832,7677.3252466999993,1,VSM.FilterTemporalVertical,155648,1
