observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,5672,7646.1619538999994,1,VSM.PageOccupancy,54784,1
0,5672,7646.1619538999994,1,VSM.LayoutRemap,0,1
0,5672,7646.1619538999994,1,VSM.ResetFeedback,0,1
0,5672,7646.1619538999994,1,VSM.MarkReceiverPages,678912,1
0,5672,7646.1619538999994,1,VSM.Allocate,223232,1
0,5672,7646.1619538999994,1,VSM.InvalidateStatic,0,0
0,5672,7646.1619538999994,1,VSM.ClearPhysicalPages,89344,1
0,5672,7646.1619538999994,1,VSM.StaticCasterCull,67584,1
0,5672,7646.1619538999994,1,VSM.DynamicCasterCull,43776,1
0,5672,7646.1619538999994,1,VSM.PageCull,78080,2
0,5672,7646.1619538999994,1,VSM.StaticRaster,7424,1
0,5672,7646.1619538999994,1,VSM.FinalizePages,2304,1
0,5672,7646.1619538999994,1,VSM.DynamicRaster,35328,1
0,5672,7646.1619538999994,1,VSM.UnityCompatibilityRaster,0,0
0,5672,7646.1619538999994,1,VSM.Resolve,11161344,1
0,5672,7646.1619538999994,1,VSM.ResolveTrace,10933760,1
0,5672,7646.1619538999994,1,VSM.FilterHorizontal,67584,1
0,5672,7646.1619538999994,1,VSM.FilterVertical,0,0
0,5672,7646.1619538999994,1,VSM.FilterTemporalVertical,158720,1
1,5673,7646.1855020999992,1,VSM.PageOccupancy,54784,1
1,5673,7646.1855020999992,1,VSM.LayoutRemap,0,1
1,5673,7646.1855020999992,1,VSM.ResetFeedback,0,1
1,5673,7646.1855020999992,1,VSM.MarkReceiverPages,887296,1
1,5673,7646.1855020999992,1,VSM.Allocate,224256,1
1,5673,7646.1855020999992,1,VSM.InvalidateStatic,0,0
1,5673,7646.1855020999992,1,VSM.ClearPhysicalPages,90112,1
1,5673,7646.1855020999992,1,VSM.StaticCasterCull,66304,1
1,5673,7646.1855020999992,1,VSM.DynamicCasterCull,43520,1
1,5673,7646.1855020999992,1,VSM.PageCull,77312,2
1,5673,7646.1855020999992,1,VSM.StaticRaster,7168,1
1,5673,7646.1855020999992,1,VSM.FinalizePages,2048,1
1,5673,7646.1855020999992,1,VSM.DynamicRaster,38912,1
1,5673,7646.1855020999992,1,VSM.UnityCompatibilityRaster,0,0
1,5673,7646.1855020999992,1,VSM.Resolve,10248448,1
1,5673,7646.1855020999992,1,VSM.ResolveTrace,10025984,1
1,5673,7646.1855020999992,1,VSM.FilterHorizontal,65536,1
1,5673,7646.1855020999992,1,VSM.FilterVertical,0,0
1,5673,7646.1855020999992,1,VSM.FilterTemporalVertical,156160,1
2,5674,7646.2088959999992,1,VSM.PageOccupancy,53760,1
2,5674,7646.2088959999992,1,VSM.LayoutRemap,0,1
2,5674,7646.2088959999992,1,VSM.ResetFeedback,0,1
2,5674,7646.2088959999992,1,VSM.MarkReceiverPages,679680,1
2,5674,7646.2088959999992,1,VSM.Allocate,222464,1
2,5674,7646.2088959999992,1,VSM.InvalidateStatic,0,0
2,5674,7646.2088959999992,1,VSM.ClearPhysicalPages,89600,1
2,5674,7646.2088959999992,1,VSM.StaticCasterCull,68608,1
2,5674,7646.2088959999992,1,VSM.DynamicCasterCull,45568,1
2,5674,7646.2088959999992,1,VSM.PageCull,81664,2
2,5674,7646.2088959999992,1,VSM.StaticRaster,7168,1
2,5674,7646.2088959999992,1,VSM.FinalizePages,1536,1
2,5674,7646.2088959999992,1,VSM.DynamicRaster,34560,1
2,5674,7646.2088959999992,1,VSM.UnityCompatibilityRaster,0,0
2,5674,7646.2088959999992,1,VSM.Resolve,10944512,1
2,5674,7646.2088959999992,1,VSM.ResolveTrace,10721024,1
2,5674,7646.2088959999992,1,VSM.FilterHorizontal,67328,1
2,5674,7646.2088959999992,1,VSM.FilterVertical,0,0
2,5674,7646.2088959999992,1,VSM.FilterTemporalVertical,155392,1
3,5675,7646.2308676999992,1,VSM.PageOccupancy,54272,1
3,5675,7646.2308676999992,1,VSM.LayoutRemap,0,1
3,5675,7646.2308676999992,1,VSM.ResetFeedback,0,1
3,5675,7646.2308676999992,1,VSM.MarkReceiverPages,886272,1
3,5675,7646.2308676999992,1,VSM.Allocate,225280,1
3,5675,7646.2308676999992,1,VSM.InvalidateStatic,0,0
3,5675,7646.2308676999992,1,VSM.ClearPhysicalPages,89600,1
3,5675,7646.2308676999992,1,VSM.StaticCasterCull,67328,1
3,5675,7646.2308676999992,1,VSM.DynamicCasterCull,45568,1
3,5675,7646.2308676999992,1,VSM.PageCull,79360,2
3,5675,7646.2308676999992,1,VSM.StaticRaster,3072,1
3,5675,7646.2308676999992,1,VSM.FinalizePages,2816,1
3,5675,7646.2308676999992,1,VSM.DynamicRaster,33280,1
3,5675,7646.2308676999992,1,VSM.UnityCompatibilityRaster,0,0
3,5675,7646.2308676999992,1,VSM.Resolve,11365888,1
3,5675,7646.2308676999992,1,VSM.ResolveTrace,10954240,1
3,5675,7646.2308676999992,1,VSM.FilterHorizontal,67328,1
3,5675,7646.2308676999992,1,VSM.FilterVertical,0,0
3,5675,7646.2308676999992,1,VSM.FilterTemporalVertical,158720,1
4,5676,7646.2534759,1,VSM.PageOccupancy,52992,1
4,5676,7646.2534759,1,VSM.LayoutRemap,0,1
4,5676,7646.2534759,1,VSM.ResetFeedback,0,1
4,5676,7646.2534759,1,VSM.MarkReceiverPages,680192,1
4,5676,7646.2534759,1,VSM.Allocate,225024,1
4,5676,7646.2534759,1,VSM.InvalidateStatic,0,0
4,5676,7646.2534759,1,VSM.ClearPhysicalPages,280064,1
4,5676,7646.2534759,1,VSM.StaticCasterCull,72448,1
4,5676,7646.2534759,1,VSM.DynamicCasterCull,44032,1
4,5676,7646.2534759,1,VSM.PageCull,77824,2
4,5676,7646.2534759,1,VSM.StaticRaster,11776,1
4,5676,7646.2534759,1,VSM.FinalizePages,2048,1
4,5676,7646.2534759,1,VSM.DynamicRaster,32768,1
4,5676,7646.2534759,1,VSM.UnityCompatibilityRaster,0,0
4,5676,7646.2534759,1,VSM.Resolve,11115264,1
4,5676,7646.2534759,1,VSM.ResolveTrace,10889984,1
4,5676,7646.2534759,1,VSM.FilterHorizontal,66816,1
4,5676,7646.2534759,1,VSM.FilterVertical,0,0
4,5676,7646.2534759,1,VSM.FilterTemporalVertical,156928,1
5,5677,7646.2766695,1,VSM.PageOccupancy,56320,1
5,5677,7646.2766695,1,VSM.LayoutRemap,0,1
5,5677,7646.2766695,1,VSM.ResetFeedback,0,1
5,5677,7646.2766695,1,VSM.MarkReceiverPages,678912,1
5,5677,7646.2766695,1,VSM.Allocate,223232,1
5,5677,7646.2766695,1,VSM.InvalidateStatic,0,0
5,5677,7646.2766695,1,VSM.ClearPhysicalPages,90368,1
5,5677,7646.2766695,1,VSM.StaticCasterCull,68864,1
5,5677,7646.2766695,1,VSM.DynamicCasterCull,45312,1
5,5677,7646.2766695,1,VSM.PageCull,80896,2
5,5677,7646.2766695,1,VSM.StaticRaster,7168,1
5,5677,7646.2766695,1,VSM.FinalizePages,1792,1
5,5677,7646.2766695,1,VSM.DynamicRaster,37120,1
5,5677,7646.2766695,1,VSM.UnityCompatibilityRaster,0,0
5,5677,7646.2766695,1,VSM.Resolve,10619648,1
5,5677,7646.2766695,1,VSM.ResolveTrace,10394624,1
5,5677,7646.2766695,1,VSM.FilterHorizontal,67072,1
5,5677,7646.2766695,1,VSM.FilterVertical,0,0
5,5677,7646.2766695,1,VSM.FilterTemporalVertical,157184,1
6,5678,7646.298819,1,VSM.PageOccupancy,54784,1
