observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,4707,7620.9213081,1,VSM.PageOccupancy,60416,1
0,4707,7620.9213081,1,VSM.LayoutRemap,0,1
0,4707,7620.9213081,1,VSM.ResetFeedback,0,1
0,4707,7620.9213081,1,VSM.MarkReceiverPages,680448,1
0,4707,7620.9213081,1,VSM.Allocate,223488,1
0,4707,7620.9213081,1,VSM.InvalidateStatic,0,0
0,4707,7620.9213081,1,VSM.ClearPhysicalPages,90880,1
0,4707,7620.9213081,1,VSM.StaticCasterCull,60928,1
0,4707,7620.9213081,1,VSM.DynamicCasterCull,0,1
0,4707,7620.9213081,1,VSM.PageCull,42240,1
0,4707,7620.9213081,1,VSM.StaticRaster,3328,1
0,4707,7620.9213081,1,VSM.FinalizePages,2048,1
0,4707,7620.9213081,1,VSM.DynamicRaster,11008,1
0,4707,7620.9213081,1,VSM.UnityCompatibilityRaster,0,0
0,4707,7620.9213081,1,VSM.Resolve,10023680,1
0,4707,7620.9213081,1,VSM.ResolveTrace,9800704,1
0,4707,7620.9213081,1,VSM.FilterHorizontal,66304,1
0,4707,7620.9213081,1,VSM.FilterVertical,0,0
0,4707,7620.9213081,1,VSM.FilterTemporalVertical,155648,1
1,4708,7620.9440118999992,1,VSM.PageOccupancy,59648,1
1,4708,7620.9440118999992,1,VSM.LayoutRemap,0,1
1,4708,7620.9440118999992,1,VSM.ResetFeedback,0,1
1,4708,7620.9440118999992,1,VSM.MarkReceiverPages,682496,1
1,4708,7620.9440118999992,1,VSM.Allocate,222976,1
1,4708,7620.9440118999992,1,VSM.InvalidateStatic,0,0
1,4708,7620.9440118999992,1,VSM.ClearPhysicalPages,90112,1
1,4708,7620.9440118999992,1,VSM.StaticCasterCull,66304,1
1,4708,7620.9440118999992,1,VSM.DynamicCasterCull,0,1
1,4708,7620.9440118999992,1,VSM.PageCull,46592,1
1,4708,7620.9440118999992,1,VSM.StaticRaster,7936,1
1,4708,7620.9440118999992,1,VSM.FinalizePages,2816,1
1,4708,7620.9440118999992,1,VSM.DynamicRaster,12288,1
1,4708,7620.9440118999992,1,VSM.UnityCompatibilityRaster,0,0
1,4708,7620.9440118999992,1,VSM.Resolve,10363136,1
1,4708,7620.9440118999992,1,VSM.ResolveTrace,10139392,1
1,4708,7620.9440118999992,1,VSM.FilterHorizontal,66304,1
1,4708,7620.9440118999992,1,VSM.FilterVertical,0,0
1,4708,7620.9440118999992,1,VSM.FilterTemporalVertical,156416,1
2,4709,7620.9665215999994,1,VSM.PageOccupancy,60672,1
2,4709,7620.9665215999994,1,VSM.LayoutRemap,0,1
2,4709,7620.9665215999994,1,VSM.ResetFeedback,0,1
2,4709,7620.9665215999994,1,VSM.MarkReceiverPages,703488,1
2,4709,7620.9665215999994,1,VSM.Allocate,225536,1
2,4709,7620.9665215999994,1,VSM.InvalidateStatic,0,0
2,4709,7620.9665215999994,1,VSM.ClearPhysicalPages,89856,1
2,4709,7620.9665215999994,1,VSM.StaticCasterCull,61952,1
2,4709,7620.9665215999994,1,VSM.DynamicCasterCull,0,1
2,4709,7620.9665215999994,1,VSM.PageCull,43520,1
2,4709,7620.9665215999994,1,VSM.StaticRaster,8192,1
2,4709,7620.9665215999994,1,VSM.FinalizePages,2304,1
2,4709,7620.9665215999994,1,VSM.DynamicRaster,11008,1
2,4709,7620.9665215999994,1,VSM.UnityCompatibilityRaster,0,0
2,4709,7620.9665215999994,1,VSM.Resolve,9395712,1
2,4709,7620.9665215999994,1,VSM.ResolveTrace,9170176,1
2,4709,7620.9665215999994,1,VSM.FilterHorizontal,67584,1
2,4709,7620.9665215999994,1,VSM.FilterVertical,0,0
2,4709,7620.9665215999994,1,VSM.FilterTemporalVertical,156672,1
3,4710,7620.9883150999995,1,VSM.PageOccupancy,57344,1
3,4710,7620.9883150999995,1,VSM.LayoutRemap,0,1
3,4710,7620.9883150999995,1,VSM.ResetFeedback,0,1
3,4710,7620.9883150999995,1,VSM.MarkReceiverPages,678656,1
3,4710,7620.9883150999995,1,VSM.Allocate,223488,1
3,4710,7620.9883150999995,1,VSM.InvalidateStatic,0,0
3,4710,7620.9883150999995,1,VSM.ClearPhysicalPages,89856,1
3,4710,7620.9883150999995,1,VSM.StaticCasterCull,66816,1
3,4710,7620.9883150999995,1,VSM.DynamicCasterCull,0,1
3,4710,7620.9883150999995,1,VSM.PageCull,48640,1
3,4710,7620.9883150999995,1,VSM.StaticRaster,7424,1
3,4710,7620.9883150999995,1,VSM.FinalizePages,2304,1
3,4710,7620.9883150999995,1,VSM.DynamicRaster,11776,1
3,4710,7620.9883150999995,1,VSM.UnityCompatibilityRaster,0,0
3,4710,7620.9883150999995,1,VSM.Resolve,10692608,1
3,4710,7620.9883150999995,1,VSM.ResolveTrace,10179840,1
3,4710,7620.9883150999995,1,VSM.FilterHorizontal,67072,1
3,4710,7620.9883150999995,1,VSM.FilterVertical,0,0
3,4710,7620.9883150999995,1,VSM.FilterTemporalVertical,156416,1
4,4711,7621.0108688,1,VSM.PageOccupancy,63232,1
4,4711,7621.0108688,1,VSM.LayoutRemap,0,1
4,4711,7621.0108688,1,VSM.ResetFeedback,0,1
4,4711,7621.0108688,1,VSM.MarkReceiverPages,680448,1
4,4711,7621.0108688,1,VSM.Allocate,223232,1
4,4711,7621.0108688,1,VSM.InvalidateStatic,0,0
4,4711,7621.0108688,1,VSM.ClearPhysicalPages,90112,1
4,4711,7621.0108688,1,VSM.StaticCasterCull,64512,1
4,4711,7621.0108688,1,VSM.DynamicCasterCull,0,1
4,4711,7621.0108688,1,VSM.PageCull,46592,1
4,4711,7621.0108688,1,VSM.StaticRaster,7936,1
4,4711,7621.0108688,1,VSM.FinalizePages,2048,1
4,4711,7621.0108688,1,VSM.DynamicRaster,13568,1
4,4711,7621.0108688,1,VSM.UnityCompatibilityRaster,0,0
4,4711,7621.0108688,1,VSM.Resolve,10540544,1
4,4711,7621.0108688,1,VSM.ResolveTrace,10099200,1
4,4711,7621.0108688,1,VSM.FilterHorizontal,65280,1
4,4711,7621.0108688,1,VSM.FilterVertical,0,0
4,4711,7621.0108688,1,VSM.FilterTemporalVertical,374784,1
