observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,7988,7705.3852922999995,1,VSM.PageOccupancy,64512,1
0,7988,7705.3852922999995,1,VSM.LayoutRemap,0,1
0,7988,7705.3852922999995,1,VSM.ResetFeedback,0,1
0,7988,7705.3852922999995,1,VSM.MarkReceiverPages,680960,1
0,7988,7705.3852922999995,1,VSM.Allocate,224000,1
0,7988,7705.3852922999995,1,VSM.InvalidateStatic,0,0
0,7988,7705.3852922999995,1,VSM.ClearPhysicalPages,679936,1
0,7988,7705.3852922999995,1,VSM.StaticCasterCull,71424,1
0,7988,7705.3852922999995,1,VSM.DynamicCasterCull,0,1
0,7988,7705.3852922999995,1,VSM.PageCull,48128,1
0,7988,7705.3852922999995,1,VSM.StaticRaster,7168,1
0,7988,7705.3852922999995,1,VSM.FinalizePages,1792,1
0,7988,7705.3852922999995,1,VSM.DynamicRaster,12544,1
0,7988,7705.3852922999995,1,VSM.UnityCompatibilityRaster,0,0
0,7988,7705.3852922999995,1,VSM.Resolve,9673984,1
0,7988,7705.3852922999995,1,VSM.ResolveTrace,9450752,1
0,7988,7705.3852922999995,1,VSM.FilterHorizontal,65280,1
0,7988,7705.3852922999995,1,VSM.FilterVertical,0,0
0,7988,7705.3852922999995,1,VSM.FilterTemporalVertical,156928,1
1,7989,7705.4042535,1,VSM.PageOccupancy,60160,1
1,7989,7705.4042535,1,VSM.LayoutRemap,0,1
1,7989,7705.4042535,1,VSM.ResetFeedback,0,1
1,7989,7705.4042535,1,VSM.MarkReceiverPages,684544,1
1,7989,7705.4042535,1,VSM.Allocate,223488,1
1,7989,7705.4042535,1,VSM.InvalidateStatic,0,0
1,7989,7705.4042535,1,VSM.ClearPhysicalPages,89600,1
1,7989,7705.4042535,1,VSM.StaticCasterCull,67328,1
1,7989,7705.4042535,1,VSM.DynamicCasterCull,0,1
1,7989,7705.4042535,1,VSM.PageCull,48384,1
1,7989,7705.4042535,1,VSM.StaticRaster,7680,1
1,7989,7705.4042535,1,VSM.FinalizePages,2304,1
1,7989,7705.4042535,1,VSM.DynamicRaster,12800,1
1,7989,7705.4042535,1,VSM.UnityCompatibilityRaster,0,0
1,7989,7705.4042535,1,VSM.Resolve,10028800,1
1,7989,7705.4042535,1,VSM.ResolveTrace,9473536,1
1,7989,7705.4042535,1,VSM.FilterHorizontal,65280,1
1,7989,7705.4042535,1,VSM.FilterVertical,0,0
1,7989,7705.4042535,1,VSM.FilterTemporalVertical,157184,1
2,7990,7705.4250654,1,VSM.PageOccupancy,59648,1
2,7990,7705.4250654,1,VSM.LayoutRemap,256,1
2,7990,7705.4250654,1,VSM.ResetFeedback,0,1
2,7990,7705.4250654,1,VSM.MarkReceiverPages,682752,1
2,7990,7705.4250654,1,VSM.Allocate,221952,1
2,7990,7705.4250654,1,VSM.InvalidateStatic,0,0
2,7990,7705.4250654,1,VSM.ClearPhysicalPages,366848,1
2,7990,7705.4250654,1,VSM.StaticCasterCull,72448,1
2,7990,7705.4250654,1,VSM.DynamicCasterCull,0,1
2,7990,7705.4250654,1,VSM.PageCull,48384,1
2,7990,7705.4250654,1,VSM.StaticRaster,6912,1
2,7990,7705.4250654,1,VSM.FinalizePages,1792,1
2,7990,7705.4250654,1,VSM.DynamicRaster,13312,1
2,7990,7705.4250654,1,VSM.UnityCompatibilityRaster,0,0
2,7990,7705.4250654,1,VSM.Resolve,10154752,1
2,7990,7705.4250654,1,VSM.ResolveTrace,9596672,1
2,7990,7705.4250654,1,VSM.FilterHorizontal,68096,1
2,7990,7705.4250654,1,VSM.FilterVertical,0,0
2,7990,7705.4250654,1,VSM.FilterTemporalVertical,158720,1
3,7991,7705.4457327,1,VSM.PageOccupancy,110336,1
3,7991,7705.4457327,1,VSM.LayoutRemap,0,1
3,7991,7705.4457327,1,VSM.ResetFeedback,0,1
3,7991,7705.4457327,1,VSM.MarkReceiverPages,679168,1
3,7991,7705.4457327,1,VSM.Allocate,226304,1
3,7991,7705.4457327,1,VSM.InvalidateStatic,0,0
3,7991,7705.4457327,1,VSM.ClearPhysicalPages,90368,1
3,7991,7705.4457327,1,VSM.StaticCasterCull,69120,1
3,7991,7705.4457327,1,VSM.DynamicCasterCull,256,1
3,7991,7705.4457327,1,VSM.PageCull,50432,1
3,7991,7705.4457327,1,VSM.StaticRaster,3584,1
3,7991,7705.4457327,1,VSM.FinalizePages,1792,1
3,7991,7705.4457327,1,VSM.DynamicRaster,14080,1
3,7991,7705.4457327,1,VSM.UnityCompatibilityRaster,0,0
3,7991,7705.4457327,1,VSM.Resolve,10135552,1
3,7991,7705.4457327,1,VSM.ResolveTrace,9905664,1
3,7991,7705.4457327,1,VSM.FilterHorizontal,68352,1
3,7991,7705.4457327,1,VSM.FilterVertical,0,0
3,7991,7705.4457327,1,VSM.FilterTemporalVertical,160768,1
4,7992,7705.4670438999992,1,VSM.PageOccupancy,60672,1
4,7992,7705.4670438999992,1,VSM.LayoutRemap,0,1
4,7992,7705.4670438999992,1,VSM.ResetFeedback,0,1
