observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,6058,7656.2060618,1,VSM.PageOccupancy,60928,1
0,6058,7656.2060618,1,VSM.LayoutRemap,0,1
0,6058,7656.2060618,1,VSM.ResetFeedback,0,1
0,6058,7656.2060618,1,VSM.MarkReceiverPages,1001728,1
0,6058,7656.2060618,1,VSM.Allocate,227584,1
0,6058,7656.2060618,1,VSM.InvalidateStatic,0,0
0,6058,7656.2060618,1,VSM.ClearPhysicalPages,90880,1
0,6058,7656.2060618,1,VSM.StaticCasterCull,65024,1
0,6058,7656.2060618,1,VSM.DynamicCasterCull,0,1
0,6058,7656.2060618,1,VSM.PageCull,46336,1
0,6058,7656.2060618,1,VSM.StaticRaster,3072,1
0,6058,7656.2060618,1,VSM.FinalizePages,1792,1
0,6058,7656.2060618,1,VSM.DynamicRaster,13056,1
0,6058,7656.2060618,1,VSM.UnityCompatibilityRaster,0,0
0,6058,7656.2060618,1,VSM.Resolve,11289856,1
0,6058,7656.2060618,1,VSM.ResolveTrace,11065600,1
0,6058,7656.2060618,1,VSM.FilterHorizontal,65536,1
0,6058,7656.2060618,1,VSM.FilterVertical,0,0
0,6058,7656.2060618,1,VSM.FilterTemporalVertical,157440,1
1,6059,7656.2378236999994,1,VSM.PageOccupancy,62720,1
1,6059,7656.2378236999994,1,VSM.LayoutRemap,256,1
1,6059,7656.2378236999994,1,VSM.ResetFeedback,0,1
1,6059,7656.2378236999994,1,VSM.MarkReceiverPages,686848,1
1,6059,7656.2378236999994,1,VSM.Allocate,223232,1
1,6059,7656.2378236999994,1,VSM.InvalidateStatic,0,0
1,6059,7656.2378236999994,1,VSM.ClearPhysicalPages,91648,1
1,6059,7656.2378236999994,1,VSM.StaticCasterCull,66560,1
1,6059,7656.2378236999994,1,VSM.DynamicCasterCull,0,1
1,6059,7656.2378236999994,1,VSM.PageCull,47360,1
1,6059,7656.2378236999994,1,VSM.StaticRaster,6912,1
1,6059,7656.2378236999994,1,VSM.FinalizePages,2048,1
1,6059,7656.2378236999994,1,VSM.DynamicRaster,13056,1
1,6059,7656.2378236999994,1,VSM.UnityCompatibilityRaster,0,0
1,6059,7656.2378236999994,1,VSM.Resolve,10565888,1
1,6059,7656.2378236999994,1,VSM.ResolveTrace,10341120,1
1,6059,7656.2378236999994,1,VSM.FilterHorizontal,65280,1
1,6059,7656.2378236999994,1,VSM.FilterVertical,0,0
1,6059,7656.2378236999994,1,VSM.FilterTemporalVertical,158208,1
2,6060,7656.2600422999994,1,VSM.PageOccupancy,63232,1
2,6060,7656.2600422999994,1,VSM.LayoutRemap,0,1
2,6060,7656.2600422999994,1,VSM.ResetFeedback,0,1
2,6060,7656.2600422999994,1,VSM.MarkReceiverPages,685312,1
2,6060,7656.2600422999994,1,VSM.Allocate,223232,1
2,6060,7656.2600422999994,1,VSM.InvalidateStatic,0,0
2,6060,7656.2600422999994,1,VSM.ClearPhysicalPages,91136,1
2,6060,7656.2600422999994,1,VSM.StaticCasterCull,66816,1
2,6060,7656.2600422999994,1,VSM.DynamicCasterCull,0,1
2,6060,7656.2600422999994,1,VSM.PageCull,48128,1
2,6060,7656.2600422999994,1,VSM.StaticRaster,7424,1
2,6060,7656.2600422999994,1,VSM.FinalizePages,2048,1
2,6060,7656.2600422999994,1,VSM.DynamicRaster,12544,1
2,6060,7656.2600422999994,1,VSM.UnityCompatibilityRaster,0,0
2,6060,7656.2600422999994,1,VSM.Resolve,9425664,1
2,6060,7656.2600422999994,1,VSM.ResolveTrace,9022464,1
2,6060,7656.2600422999994,1,VSM.FilterHorizontal,68608,1
2,6060,7656.2600422999994,1,VSM.FilterVertical,0,0
2,6060,7656.2600422999994,1,VSM.FilterTemporalVertical,333056,1
3,6061,7656.2817327999992,1,VSM.PageOccupancy,52992,1
3,6061,7656.2817327999992,1,VSM.LayoutRemap,2560,1
3,6061,7656.2817327999992,1,VSM.ResetFeedback,2048,1
3,6061,7656.2817327999992,1,VSM.MarkReceiverPages,884224,1
3,6061,7656.2817327999992,1,VSM.Allocate,1933568,1
3,6061,7656.2817327999992,1,VSM.InvalidateStatic,2048,1
3,6061,7656.2817327999992,1,VSM.ClearPhysicalPages,174080,1
3,6061,7656.2817327999992,1,VSM.StaticCasterCull,57088,1
3,6061,7656.2817327999992,1,VSM.DynamicCasterCull,0,1
3,6061,7656.2817327999992,1,VSM.PageCull,37632,1
3,6061,7656.2817327999992,1,VSM.StaticRaster,7992832,1
3,6061,7656.2817327999992,1,VSM.FinalizePages,2048,1
3,6061,7656.2817327999992,1,VSM.DynamicRaster,4096,1
3,6061,7656.2817327999992,1,VSM.UnityCompatibilityRaster,0,0
3,6061,7656.2817327999992,1,VSM.Resolve,10462976,1
3,6061,7656.2817327999992,1,VSM.ResolveTrace,10326784,1
3,6061,7656.2817327999992,1,VSM.FilterHorizontal,63488,1
3,6061,7656.2817327999992,1,VSM.FilterVertical,0,0
3,6061,7656.2817327999992,1,VSM.FilterTemporalVertical,71936,1
4,6062,7656.3021899,1,VSM.PageOccupancy,62208,1
4,6062,7656.3021899,1,VSM.LayoutRemap,0,1
4,6062,7656.3021899,1,VSM.ResetFeedback,0,1
4,6062,7656.3021899,1,VSM.MarkReceiverPages,884224,1
4,6062,7656.3021899,1,VSM.Allocate,221952,1
4,6062,7656.3021899,1,VSM.InvalidateStatic,0,0
4,6062,7656.3021899,1,VSM.ClearPhysicalPages,90368,1
4,6062,7656.3021899,1,VSM.StaticCasterCull,67072,1
4,6062,7656.3021899,1,VSM.DynamicCasterCull,0,1
4,6062,7656.3021899,1,VSM.PageCull,48640,1
4,6062,7656.3021899,1,VSM.StaticRaster,7424,1
4,6062,7656.3021899,1,VSM.FinalizePages,1792,1
4,6062,7656.3021899,1,VSM.DynamicRaster,12800,1
4,6062,7656.3021899,1,VSM.UnityCompatibilityRaster,0,0
4,6062,7656.3021899,1,VSM.Resolve,11592960,1
4,6062,7656.3021899,1,VSM.ResolveTrace,11179008,1
4,6062,7656.3021899,1,VSM.FilterHorizontal,65536,1
4,6062,7656.3021899,1,VSM.FilterVertical,0,0
4,6062,7656.3021899,1,VSM.FilterTemporalVertical,156416,1
5,6063,7656.323108,1,VSM.PageOccupancy,57856,1
5,6063,7656.323108,1,VSM.LayoutRemap,0,1
5,6063,7656.323108,1,VSM.ResetFeedback,0,1
5,6063,7656.323108,1,VSM.MarkReceiverPages,680704,1
5,6063,7656.323108,1,VSM.Allocate,225024,1
5,6063,7656.323108,1,VSM.InvalidateStatic,0,0
5,6063,7656.323108,1,VSM.ClearPhysicalPages,90624,1
5,6063,7656.323108,1,VSM.StaticCasterCull,67584,1
5,6063,7656.323108,1,VSM.DynamicCasterCull,0,1
5,6063,7656.323108,1,VSM.PageCull,48640,1
5,6063,7656.323108,1,VSM.StaticRaster,7424,1
5,6063,7656.323108,1,VSM.FinalizePages,2304,1
5,6063,7656.323108,1,VSM.DynamicRaster,13056,1
5,6063,7656.323108,1,VSM.UnityCompatibilityRaster,0,0
5,6063,7656.323108,1,VSM.Resolve,11160576,1
5,6063,7656.323108,1,VSM.ResolveTrace,10936576,1
5,6063,7656.323108,1,VSM.FilterHorizontal,65536,1
5,6063,7656.323108,1,VSM.FilterVertical,0,0
5,6063,7656.323108,1,VSM.FilterTemporalVertical,157184,1
6,6064,7656.3574488999993,1,VSM.PageOccupancy,67072,1
6,6064,7656.3574488999993,1,VSM.LayoutRemap,0,1
6,6064,7656.3574488999993,1,VSM.ResetFeedback,0,1
6,6064,7656.3574488999993,1,VSM.MarkReceiverPages,681216,1
6,6064,7656.3574488999993,1,VSM.Allocate,225536,1
6,6064,7656.3574488999993,1,VSM.InvalidateStatic,0,0
6,6064,7656.3574488999993,1,VSM.ClearPhysicalPages,286976,1
6,6064,7656.3574488999993,1,VSM.StaticCasterCull,67328,1
6,6064,7656.3574488999993,1,VSM.DynamicCasterCull,0,1
6,6064,7656.3574488999993,1,VSM.PageCull,48640,1
6,6064,7656.3574488999993,1,VSM.StaticRaster,3328,1
6,6064,7656.3574488999993,1,VSM.FinalizePages,1536,1
6,6064,7656.3574488999993,1,VSM.DynamicRaster,12288,1
6,6064,7656.3574488999993,1,VSM.UnityCompatibilityRaster,0,0
6,6064,7656.3574488999993,1,VSM.Resolve,9783040,1
6,6064,7656.3574488999993,1,VSM.ResolveTrace,9559040,1
6,6064,7656.3574488999993,1,VSM.FilterHorizontal,65792,1
6,6064,7656.3574488999993,1,VSM.FilterVertical,0,0
6,6064,7656.3574488999993,1,VSM.FilterTemporalVertical,156928,1
7,6065,7656.3907169999993,1,VSM.PageOccupancy,58624,1
7,6065,7656.3907169999993,1,VSM.LayoutRemap,0,1
7,6065,7656.3907169999993,1,VSM.ResetFeedback,0,1
7,6065,7656.3907169999993,1,VSM.MarkReceiverPages,681472,1
7,6065,7656.3907169999993,1,VSM.Allocate,224768,1
7,6065,7656.3907169999993,1,VSM.InvalidateStatic,0,0
7,6065,7656.3907169999993,1,VSM.ClearPhysicalPages,90880,1
7,6065,7656.3907169999993,1,VSM.StaticCasterCull,69376,1
7,6065,7656.3907169999993,1,VSM.DynamicCasterCull,0,1
7,6065,7656.3907169999993,1,VSM.PageCull,50432,1
7,6065,7656.3907169999993,1,VSM.StaticRaster,3328,1
7,6065,7656.3907169999993,1,VSM.FinalizePages,1792,1
7,6065,7656.3907169999993,1,VSM.DynamicRaster,12800,1
7,6065,7656.3907169999993,1,VSM.UnityCompatibilityRaster,0,0
7,6065,7656.3907169999993,1,VSM.Resolve,9964800,1
7,6065,7656.3907169999993,1,VSM.ResolveTrace,9553408,1
7,6065,7656.3907169999993,1,VSM.FilterHorizontal,65280,1
7,6065,7656.3907169999993,1,VSM.FilterVertical,0,0
7,6065,7656.3907169999993,1,VSM.FilterTemporalVertical,159488,1
8,6066,7656.4230609,1,VSM.PageOccupancy,57600,1
8,6066,7656.4230609,1,VSM.LayoutRemap,2560,1
8,6066,7656.4230609,1,VSM.ResetFeedback,2048,1
8,6066,7656.4230609,1,VSM.MarkReceiverPages,866304,1
8,6066,7656.4230609,1,VSM.Allocate,1953792,1
8,6066,7656.4230609,1,VSM.InvalidateStatic,1792,1
8,6066,7656.4230609,1,VSM.ClearPhysicalPages,175360,1
8,6066,7656.4230609,1,VSM.StaticCasterCull,57088,1
8,6066,7656.4230609,1,VSM.DynamicCasterCull,0,1
8,6066,7656.4230609,1,VSM.PageCull,38144,1
