observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,6637,7671.7974876,1,VSM.PageOccupancy,64256,1
0,6637,7671.7974876,1,VSM.LayoutRemap,0,1
0,6637,7671.7974876,1,VSM.ResetFeedback,0,1
0,6637,7671.7974876,1,VSM.MarkReceiverPages,683776,1
0,6637,7671.7974876,1,VSM.Allocate,227072,1
0,6637,7671.7974876,1,VSM.InvalidateStatic,0,0
0,6637,7671.7974876,1,VSM.ClearPhysicalPages,90624,1
0,6637,7671.7974876,1,VSM.StaticCasterCull,66048,1
0,6637,7671.7974876,1,VSM.DynamicCasterCull,0,1
0,6637,7671.7974876,1,VSM.PageCull,47360,1
0,6637,7671.7974876,1,VSM.StaticRaster,3328,1
0,6637,7671.7974876,1,VSM.FinalizePages,2560,1
0,6637,7671.7974876,1,VSM.DynamicRaster,12800,1
0,6637,7671.7974876,1,VSM.UnityCompatibilityRaster,0,0
0,6637,7671.7974876,1,VSM.Resolve,10702592,1
0,6637,7671.7974876,1,VSM.ResolveTrace,10477056,1
0,6637,7671.7974876,1,VSM.FilterHorizontal,66304,1
0,6637,7671.7974876,1,VSM.FilterVertical,0,0
0,6637,7671.7974876,1,VSM.FilterTemporalVertical,157952,1
1,6638,7671.8282344,1,VSM.PageOccupancy,61440,1
1,6638,7671.8282344,1,VSM.LayoutRemap,0,1
1,6638,7671.8282344,1,VSM.ResetFeedback,0,1
1,6638,7671.8282344,1,VSM.MarkReceiverPages,684032,1
1,6638,7671.8282344,1,VSM.Allocate,222208,1
1,6638,7671.8282344,1,VSM.InvalidateStatic,0,0
1,6638,7671.8282344,1,VSM.ClearPhysicalPages,90624,1
1,6638,7671.8282344,1,VSM.StaticCasterCull,68352,1
1,6638,7671.8282344,1,VSM.DynamicCasterCull,0,1
1,6638,7671.8282344,1,VSM.PageCull,49664,1
1,6638,7671.8282344,1,VSM.StaticRaster,7680,1
1,6638,7671.8282344,1,VSM.FinalizePages,2048,1
1,6638,7671.8282344,1,VSM.DynamicRaster,12544,1
1,6638,7671.8282344,1,VSM.UnityCompatibilityRaster,0,0
1,6638,7671.8282344,1,VSM.Resolve,8967168,1
1,6638,7671.8282344,1,VSM.ResolveTrace,8741376,1
1,6638,7671.8282344,1,VSM.FilterHorizontal,66048,1
1,6638,7671.8282344,1,VSM.FilterVertical,0,0
1,6638,7671.8282344,1,VSM.FilterTemporalVertical,158976,1
2,6639,7671.8497191,1,VSM.PageOccupancy,59904,1
2,6639,7671.8497191,1,VSM.LayoutRemap,0,1
2,6639,7671.8497191,1,VSM.ResetFeedback,0,1
2,6639,7671.8497191,1,VSM.MarkReceiverPages,687360,1
2,6639,7671.8497191,1,VSM.Allocate,224512,1
2,6639,7671.8497191,1,VSM.InvalidateStatic,0,0
2,6639,7671.8497191,1,VSM.ClearPhysicalPages,91136,1
2,6639,7671.8497191,1,VSM.StaticCasterCull,68096,1
2,6639,7671.8497191,1,VSM.DynamicCasterCull,0,1
2,6639,7671.8497191,1,VSM.PageCull,49664,1
2,6639,7671.8497191,1,VSM.StaticRaster,7168,1
2,6639,7671.8497191,1,VSM.FinalizePages,1792,1
2,6639,7671.8497191,1,VSM.DynamicRaster,14080,1
2,6639,7671.8497191,1,VSM.UnityCompatibilityRaster,0,0
2,6639,7671.8497191,1,VSM.Resolve,9410560,1
2,6639,7671.8497191,1,VSM.ResolveTrace,9004800,1
2,6639,7671.8497191,1,VSM.FilterHorizontal,247552,1
2,6639,7671.8497191,1,VSM.FilterVertical,0,0
2,6639,7671.8497191,1,VSM.FilterTemporalVertical,157184,1
3,6640,7671.871948,1,VSM.PageOccupancy,59648,1
3,6640,7671.871948,1,VSM.LayoutRemap,2304,1
3,6640,7671.871948,1,VSM.ResetFeedback,1792,1
3,6640,7671.871948,1,VSM.MarkReceiverPages,679168,1
3,6640,7671.871948,1,VSM.Allocate,1954816,1
3,6640,7671.871948,1,VSM.InvalidateStatic,2048,1
3,6640,7671.871948,1,VSM.ClearPhysicalPages,175360,1
3,6640,7671.871948,1,VSM.StaticCasterCull,56320,1
3,6640,7671.871948,1,VSM.DynamicCasterCull,0,1
3,6640,7671.871948,1,VSM.PageCull,37120,1
3,6640,7671.871948,1,VSM.StaticRaster,8254208,1
3,6640,7671.871948,1,VSM.FinalizePages,2048,1
3,6640,7671.871948,1,VSM.DynamicRaster,16128,1
3,6640,7671.871948,1,VSM.UnityCompatibilityRaster,0,0
3,6640,7671.871948,1,VSM.Resolve,9965056,1
3,6640,7671.871948,1,VSM.ResolveTrace,9822208,1
3,6640,7671.871948,1,VSM.FilterHorizontal,68096,1
3,6640,7671.871948,1,VSM.FilterVertical,0,0
3,6640,7671.871948,1,VSM.FilterTemporalVertical,73472,1
4,6641,7671.8920407,1,VSM.PageOccupancy,62720,1
4,6641,7671.8920407,1,VSM.LayoutRemap,0,1
4,6641,7671.8920407,1,VSM.ResetFeedback,0,1
4,6641,7671.8920407,1,VSM.MarkReceiverPages,684800,1
4,6641,7671.8920407,1,VSM.Allocate,226048,1
4,6641,7671.8920407,1,VSM.InvalidateStatic,0,0
