observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,6251,7661.5430369999995,1,VSM.PageOccupancy,61440,1
0,6251,7661.5430369999995,1,VSM.LayoutRemap,0,1
0,6251,7661.5430369999995,1,VSM.ResetFeedback,0,1
0,6251,7661.5430369999995,1,VSM.MarkReceiverPages,683520,1
0,6251,7661.5430369999995,1,VSM.Allocate,222208,1
0,6251,7661.5430369999995,1,VSM.InvalidateStatic,0,0
0,6251,7661.5430369999995,1,VSM.ClearPhysicalPages,90368,1
0,6251,7661.5430369999995,1,VSM.StaticCasterCull,68608,1
0,6251,7661.5430369999995,1,VSM.DynamicCasterCull,0,1
0,6251,7661.5430369999995,1,VSM.PageCull,50176,1
0,6251,7661.5430369999995,1,VSM.StaticRaster,7168,1
0,6251,7661.5430369999995,1,VSM.FinalizePages,2560,1
0,6251,7661.5430369999995,1,VSM.DynamicRaster,12288,1
0,6251,7661.5430369999995,1,VSM.UnityCompatibilityRaster,0,0
0,6251,7661.5430369999995,1,VSM.Resolve,9632000,1
0,6251,7661.5430369999995,1,VSM.ResolveTrace,9403904,1
0,6251,7661.5430369999995,1,VSM.FilterHorizontal,67328,1
0,6251,7661.5430369999995,1,VSM.FilterVertical,0,0
0,6251,7661.5430369999995,1,VSM.FilterTemporalVertical,159744,1
1,6252,7661.5762663,1,VSM.PageOccupancy,57856,1
1,6252,7661.5762663,1,VSM.LayoutRemap,0,1
1,6252,7661.5762663,1,VSM.ResetFeedback,0,1
1,6252,7661.5762663,1,VSM.MarkReceiverPages,682496,1
1,6252,7661.5762663,1,VSM.Allocate,221184,1
1,6252,7661.5762663,1,VSM.InvalidateStatic,0,0
1,6252,7661.5762663,1,VSM.ClearPhysicalPages,89600,1
1,6252,7661.5762663,1,VSM.StaticCasterCull,68352,1
1,6252,7661.5762663,1,VSM.DynamicCasterCull,0,1
1,6252,7661.5762663,1,VSM.PageCull,49408,1
1,6252,7661.5762663,1,VSM.StaticRaster,3072,1
1,6252,7661.5762663,1,VSM.FinalizePages,1792,1
1,6252,7661.5762663,1,VSM.DynamicRaster,13824,1
1,6252,7661.5762663,1,VSM.UnityCompatibilityRaster,0,0
1,6252,7661.5762663,1,VSM.Resolve,10472448,1
1,6252,7661.5762663,1,VSM.ResolveTrace,10246400,1
1,6252,7661.5762663,1,VSM.FilterHorizontal,66560,1
1,6252,7661.5762663,1,VSM.FilterVertical,0,0
1,6252,7661.5762663,1,VSM.FilterTemporalVertical,158208,1
2,6253,7661.5989311999992,1,VSM.PageOccupancy,58624,1
2,6253,7661.5989311999992,1,VSM.LayoutRemap,0,1
2,6253,7661.5989311999992,1,VSM.ResetFeedback,0,1
2,6253,7661.5989311999992,1,VSM.MarkReceiverPages,684544,1
2,6253,7661.5989311999992,1,VSM.Allocate,222720,1
2,6253,7661.5989311999992,1,VSM.InvalidateStatic,0,0
2,6253,7661.5989311999992,1,VSM.ClearPhysicalPages,90112,1
2,6253,7661.5989311999992,1,VSM.StaticCasterCull,65792,1
2,6253,7661.5989311999992,1,VSM.DynamicCasterCull,0,1
2,6253,7661.5989311999992,1,VSM.PageCull,47104,1
2,6253,7661.5989311999992,1,VSM.StaticRaster,7680,1
2,6253,7661.5989311999992,1,VSM.FinalizePages,2048,1
2,6253,7661.5989311999992,1,VSM.DynamicRaster,13056,1
2,6253,7661.5989311999992,1,VSM.UnityCompatibilityRaster,0,0
2,6253,7661.5989311999992,1,VSM.Resolve,9964288,1
2,6253,7661.5989311999992,1,VSM.ResolveTrace,9738752,1
