observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,6444,7666.9407833,1,VSM.PageOccupancy,60928,1
0,6444,7666.9407833,1,VSM.LayoutRemap,0,1
0,6444,7666.9407833,1,VSM.ResetFeedback,0,1
0,6444,7666.9407833,1,VSM.MarkReceiverPages,681984,1
0,6444,7666.9407833,1,VSM.Allocate,225536,1
0,6444,7666.9407833,1,VSM.InvalidateStatic,0,0
0,6444,7666.9407833,1,VSM.ClearPhysicalPages,90880,1
0,6444,7666.9407833,1,VSM.StaticCasterCull,66048,1
0,6444,7666.9407833,1,VSM.DynamicCasterCull,0,1
0,6444,7666.9407833,1,VSM.PageCull,47616,1
0,6444,7666.9407833,1,VSM.StaticRaster,3072,1
0,6444,7666.9407833,1,VSM.FinalizePages,1792,1
0,6444,7666.9407833,1,VSM.DynamicRaster,11776,1
0,6444,7666.9407833,1,VSM.UnityCompatibilityRaster,0,0
0,6444,7666.9407833,1,VSM.Resolve,9688064,1
0,6444,7666.9407833,1,VSM.ResolveTrace,9463040,1
0,6444,7666.9407833,1,VSM.FilterHorizontal,65024,1
0,6444,7666.9407833,1,VSM.FilterVertical,0,0
0,6444,7666.9407833,1,VSM.FilterTemporalVertical,158976,1
1,6445,7666.9737259999993,1,VSM.PageOccupancy,57856,1
1,6445,7666.9737259999993,1,VSM.LayoutRemap,0,1
1,6445,7666.9737259999993,1,VSM.ResetFeedback,0,1
1,6445,7666.9737259999993,1,VSM.MarkReceiverPages,684544,1
1,6445,7666.9737259999993,1,VSM.Allocate,224768,1
1,6445,7666.9737259999993,1,VSM.InvalidateStatic,0,0
1,6445,7666.9737259999993,1,VSM.ClearPhysicalPages,283392,1
1,6445,7666.9737259999993,1,VSM.StaticCasterCull,73472,1
1,6445,7666.9737259999993,1,VSM.DynamicCasterCull,0,1
1,6445,7666.9737259999993,1,VSM.PageCull,49920,1
1,6445,7666.9737259999993,1,VSM.StaticRaster,8192,1
1,6445,7666.9737259999993,1,VSM.FinalizePages,2048,1
1,6445,7666.9737259999993,1,VSM.DynamicRaster,11776,1
1,6445,7666.9737259999993,1,VSM.UnityCompatibilityRaster,0,0
1,6445,7666.9737259999993,1,VSM.Resolve,9629184,1
1,6445,7666.9737259999993,1,VSM.ResolveTrace,9403136,1
1,6445,7666.9737259999993,1,VSM.FilterHorizontal,65792,1
1,6445,7666.9737259999993,1,VSM.FilterVertical,0,0
1,6445,7666.9737259999993,1,VSM.FilterTemporalVertical,158976,1
2,6446,7666.9958633,1,VSM.PageOccupancy,60672,1
2,6446,7666.9958633,1,VSM.LayoutRemap,0,1
