observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,5286,7635.7672353,1,VSM.PageOccupancy,55552,1
0,5286,7635.7672353,1,VSM.LayoutRemap,0,1
0,5286,7635.7672353,1,VSM.ResetFeedback,0,1
0,5286,7635.7672353,1,VSM.MarkReceiverPages,680448,1
0,5286,7635.7672353,1,VSM.Allocate,224256,1
0,5286,7635.7672353,1,VSM.InvalidateStatic,0,0
0,5286,7635.7672353,1,VSM.ClearPhysicalPages,89600,1
0,5286,7635.7672353,1,VSM.StaticCasterCull,68608,1
0,5286,7635.7672353,1,VSM.DynamicCasterCull,37632,1
0,5286,7635.7672353,1,VSM.PageCull,73472,2
0,5286,7635.7672353,1,VSM.StaticRaster,7424,1
0,5286,7635.7672353,1,VSM.FinalizePages,1792,1
0,5286,7635.7672353,1,VSM.DynamicRaster,30976,1
0,5286,7635.7672353,1,VSM.UnityCompatibilityRaster,0,0
0,5286,7635.7672353,1,VSM.Resolve,10614528,1
0,5286,7635.7672353,1,VSM.ResolveTrace,10392320,1
0,5286,7635.7672353,1,VSM.FilterHorizontal,64512,1
0,5286,7635.7672353,1,VSM.FilterVertical,0,0
0,5286,7635.7672353,1,VSM.FilterTemporalVertical,156160,1
1,5287,7635.7889409,1,VSM.PageOccupancy,56320,1
1,5287,7635.7889409,1,VSM.LayoutRemap,0,1
1,5287,7635.7889409,1,VSM.ResetFeedback,0,1
1,5287,7635.7889409,1,VSM.MarkReceiverPages,679936,1
1,5287,7635.7889409,1,VSM.Allocate,224256,1
1,5287,7635.7889409,1,VSM.InvalidateStatic,0,0
1,5287,7635.7889409,1,VSM.ClearPhysicalPages,279808,1
1,5287,7635.7889409,1,VSM.StaticCasterCull,71680,1
1,5287,7635.7889409,1,VSM.DynamicCasterCull,36096,1
1,5287,7635.7889409,1,VSM.PageCull,69632,2
1,5287,7635.7889409,1,VSM.StaticRaster,7424,1
1,5287,7635.7889409,1,VSM.FinalizePages,2304,1
1,5287,7635.7889409,1,VSM.DynamicRaster,30720,1
1,5287,7635.7889409,1,VSM.UnityCompatibilityRaster,0,0
1,5287,7635.7889409,1,VSM.Resolve,10180096,1
1,5287,7635.7889409,1,VSM.ResolveTrace,9959168,1
1,5287,7635.7889409,1,VSM.FilterHorizontal,65280,1
1,5287,7635.7889409,1,VSM.FilterVertical,0,0
1,5287,7635.7889409,1,VSM.FilterTemporalVertical,154880,1
2,5288,7635.811083,1,VSM.PageOccupancy,54016,1
2,5288,7635.811083,1,VSM.LayoutRemap,0,1
2,5288,7635.811083,1,VSM.ResetFeedback,0,1
2,5288,7635.811083,1,VSM.MarkReceiverPages,681728,1
2,5288,7635.811083,1,VSM.Allocate,224000,1
2,5288,7635.811083,1,VSM.InvalidateStatic,0,0
2,5288,7635.811083,1,VSM.ClearPhysicalPages,90112,1
2,5288,7635.811083,1,VSM.StaticCasterCull,67840,1
2,5288,7635.811083,1,VSM.DynamicCasterCull,36608,1
2,5288,7635.811083,1,VSM.PageCull,71168,2
2,5288,7635.811083,1,VSM.StaticRaster,7424,1
2,5288,7635.811083,1,VSM.FinalizePages,1792,1
2,5288,7635.811083,1,VSM.DynamicRaster,30976,1
2,5288,7635.811083,1,VSM.UnityCompatibilityRaster,0,0
2,5288,7635.811083,1,VSM.Resolve,10508544,1
2,5288,7635.811083,1,VSM.ResolveTrace,10286080,1
