observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,7409,7691.2612993999992,1,VSM.PageOccupancy,58112,1
0,7409,7691.2612993999992,1,VSM.LayoutRemap,0,1
0,7409,7691.2612993999992,1,VSM.ResetFeedback,0,1
0,7409,7691.2612993999992,1,VSM.MarkReceiverPages,681984,1
0,7409,7691.2612993999992,1,VSM.Allocate,226048,1
0,7409,7691.2612993999992,1,VSM.InvalidateStatic,0,0
0,7409,7691.2612993999992,1,VSM.ClearPhysicalPages,90624,1
0,7409,7691.2612993999992,1,VSM.StaticCasterCull,68096,1
0,7409,7691.2612993999992,1,VSM.DynamicCasterCull,36864,1
0,7409,7691.2612993999992,1,VSM.PageCull,71680,2
0,7409,7691.2612993999992,1,VSM.StaticRaster,7168,1
0,7409,7691.2612993999992,1,VSM.FinalizePages,1536,1
0,7409,7691.2612993999992,1,VSM.DynamicRaster,30976,1
0,7409,7691.2612993999992,1,VSM.UnityCompatibilityRaster,0,0
0,7409,7691.2612993999992,1,VSM.Resolve,9957632,1
0,7409,7691.2612993999992,1,VSM.ResolveTrace,9732608,1
0,7409,7691.2612993999992,1,VSM.FilterHorizontal,65536,1
0,7409,7691.2612993999992,1,VSM.FilterVertical,0,0
0,7409,7691.2612993999992,1,VSM.FilterTemporalVertical,157952,1
1,7410,7691.2828717999992,1,VSM.PageOccupancy,60928,1
1,7410,7691.2828717999992,1,VSM.LayoutRemap,0,1
1,7410,7691.2828717999992,1,VSM.ResetFeedback,0,1
1,7410,7691.2828717999992,1,VSM.MarkReceiverPages,682496,1
1,7410,7691.2828717999992,1,VSM.Allocate,225280,1
1,7410,7691.2828717999992,1,VSM.InvalidateStatic,0,0
1,7410,7691.2828717999992,1,VSM.ClearPhysicalPages,91136,1
1,7410,7691.2828717999992,1,VSM.StaticCasterCull,68608,1
1,7410,7691.2828717999992,1,VSM.DynamicCasterCull,34304,1
1,7410,7691.2828717999992,1,VSM.PageCull,68864,2
1,7410,7691.2828717999992,1,VSM.StaticRaster,7168,1
1,7410,7691.2828717999992,1,VSM.FinalizePages,1792,1
1,7410,7691.2828717999992,1,VSM.DynamicRaster,32000,1
1,7410,7691.2828717999992,1,VSM.UnityCompatibilityRaster,0,0
1,7410,7691.2828717999992,1,VSM.Resolve,9251072,1
1,7410,7691.2828717999992,1,VSM.ResolveTrace,9027328,1
1,7410,7691.2828717999992,1,VSM.FilterHorizontal,65280,1
1,7410,7691.2828717999992,1,VSM.FilterVertical,0,0
1,7410,7691.2828717999992,1,VSM.FilterTemporalVertical,157184,1
2,7411,7691.3051621999994,1,VSM.PageOccupancy,56576,1
2,7411,7691.3051621999994,1,VSM.LayoutRemap,0,1
2,7411,7691.3051621999994,1,VSM.ResetFeedback,0,1
2,7411,7691.3051621999994,1,VSM.MarkReceiverPages,678912,1
2,7411,7691.3051621999994,1,VSM.Allocate,224000,1
2,7411,7691.3051621999994,1,VSM.InvalidateStatic,0,0
2,7411,7691.3051621999994,1,VSM.ClearPhysicalPages,89856,1
2,7411,7691.3051621999994,1,VSM.StaticCasterCull,68096,1
2,7411,7691.3051621999994,1,VSM.DynamicCasterCull,36608,1
2,7411,7691.3051621999994,1,VSM.PageCull,70656,2
2,7411,7691.3051621999994,1,VSM.StaticRaster,7680,1
2,7411,7691.3051621999994,1,VSM.FinalizePages,1792,1
2,7411,7691.3051621999994,1,VSM.DynamicRaster,30720,1
2,7411,7691.3051621999994,1,VSM.UnityCompatibilityRaster,0,0
2,7411,7691.3051621999994,1,VSM.Resolve,9662720,1
2,7411,7691.3051621999994,1,VSM.ResolveTrace,9245696,1
2,7411,7691.3051621999994,1,VSM.FilterHorizontal,65536,1
2,7411,7691.3051621999994,1,VSM.FilterVertical,0,0
2,7411,7691.3051621999994,1,VSM.FilterTemporalVertical,349952,1
3,7412,7691.3266177,1,VSM.PageOccupancy,56064,1
3,7412,7691.3266177,1,VSM.LayoutRemap,0,1
3,7412,7691.3266177,1,VSM.ResetFeedback,0,1
3,7412,7691.3266177,1,VSM.MarkReceiverPages,695808,1
3,7412,7691.3266177,1,VSM.Allocate,227072,1
3,7412,7691.3266177,1,VSM.InvalidateStatic,0,0
3,7412,7691.3266177,1,VSM.ClearPhysicalPages,90880,1
3,7412,7691.3266177,1,VSM.StaticCasterCull,66816,1
3,7412,7691.3266177,1,VSM.DynamicCasterCull,37888,1
3,7412,7691.3266177,1,VSM.PageCull,70656,2
3,7412,7691.3266177,1,VSM.StaticRaster,7424,1
3,7412,7691.3266177,1,VSM.FinalizePages,1792,1
3,7412,7691.3266177,1,VSM.DynamicRaster,30976,1
3,7412,7691.3266177,1,VSM.UnityCompatibilityRaster,0,0
3,7412,7691.3266177,1,VSM.Resolve,10426112,1
3,7412,7691.3266177,1,VSM.ResolveTrace,10203392,1
3,7412,7691.3266177,1,VSM.FilterHorizontal,65536,1
3,7412,7691.3266177,1,VSM.FilterVertical,0,0
3,7412,7691.3266177,1,VSM.FilterTemporalVertical,156160,1
4,7413,7691.3476275999992,1,VSM.PageOccupancy,54784,1
4,7413,7691.3476275999992,1,VSM.LayoutRemap,0,1
4,7413,7691.3476275999992,1,VSM.ResetFeedback,0,1
4,7413,7691.3476275999992,1,VSM.MarkReceiverPages,698112,1
4,7413,7691.3476275999992,1,VSM.Allocate,223744,1
4,7413,7691.3476275999992,1,VSM.InvalidateStatic,0,0
4,7413,7691.3476275999992,1,VSM.ClearPhysicalPages,90112,1
