observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,11269,7812.6187120999994,1,VSM.PageOccupancy,58880,1
0,11269,7812.6187120999994,1,VSM.LayoutRemap,0,1
0,11269,7812.6187120999994,1,VSM.ResetFeedback,0,1
0,11269,7812.6187120999994,1,VSM.MarkReceiverPages,605952,1
0,11269,7812.6187120999994,1,VSM.Allocate,230144,1
0,11269,7812.6187120999994,1,VSM.InvalidateStatic,0,0
0,11269,7812.6187120999994,1,VSM.ClearPhysicalPages,90368,1
0,11269,7812.6187120999994,1,VSM.StaticCasterCull,66048,1
0,11269,7812.6187120999994,1,VSM.DynamicCasterCull,0,1
0,11269,7812.6187120999994,1,VSM.PageCull,47616,1
0,11269,7812.6187120999994,1,VSM.StaticRaster,3072,1
0,11269,7812.6187120999994,1,VSM.FinalizePages,1792,1
0,11269,7812.6187120999994,1,VSM.DynamicRaster,12032,1
0,11269,7812.6187120999994,1,VSM.UnityCompatibilityRaster,0,0
0,11269,7812.6187120999994,1,VSM.Resolve,6430464,1
0,11269,7812.6187120999994,1,VSM.ResolveTrace,6206720,1
0,11269,7812.6187120999994,1,VSM.FilterHorizontal,64768,1
0,11269,7812.6187120999994,1,VSM.FilterVertical,0,0
0,11269,7812.6187120999994,1,VSM.FilterTemporalVertical,157440,1
1,11270,7812.6383762999994,1,VSM.PageOccupancy,58112,1
1,11270,7812.6383762999994,1,VSM.LayoutRemap,0,1
1,11270,7812.6383762999994,1,VSM.ResetFeedback,0,1
1,11270,7812.6383762999994,1,VSM.MarkReceiverPages,606976,1
1,11270,7812.6383762999994,1,VSM.Allocate,229120,1
1,11270,7812.6383762999994,1,VSM.InvalidateStatic,0,0
1,11270,7812.6383762999994,1,VSM.ClearPhysicalPages,320512,1
1,11270,7812.6383762999994,1,VSM.StaticCasterCull,70400,1
1,11270,7812.6383762999994,1,VSM.DynamicCasterCull,0,1
1,11270,7812.6383762999994,1,VSM.PageCull,50688,1
1,11270,7812.6383762999994,1,VSM.StaticRaster,7936,1
1,11270,7812.6383762999994,1,VSM.FinalizePages,2048,1
1,11270,7812.6383762999994,1,VSM.DynamicRaster,14848,1
1,11270,7812.6383762999994,1,VSM.UnityCompatibilityRaster,0,0
1,11270,7812.6383762999994,1,VSM.Resolve,7076352,1
1,11270,7812.6383762999994,1,VSM.ResolveTrace,6650624,1
1,11270,7812.6383762999994,1,VSM.FilterHorizontal,67328,1
1,11270,7812.6383762999994,1,VSM.FilterVertical,0,0
1,11270,7812.6383762999994,1,VSM.FilterTemporalVertical,159232,1
2,11271,7812.6566147999993,1,VSM.PageOccupancy,59904,1
2,11271,7812.6566147999993,1,VSM.LayoutRemap,0,1
2,11271,7812.6566147999993,1,VSM.ResetFeedback,0,1
2,11271,7812.6566147999993,1,VSM.MarkReceiverPages,603904,1
2,11271,7812.6566147999993,1,VSM.Allocate,229632,1
2,11271,7812.6566147999993,1,VSM.InvalidateStatic,0,0
2,11271,7812.6566147999993,1,VSM.ClearPhysicalPages,382976,1
2,11271,7812.6566147999993,1,VSM.StaticCasterCull,73216,1
2,11271,7812.6566147999993,1,VSM.DynamicCasterCull,0,1
2,11271,7812.6566147999993,1,VSM.PageCull,49152,1
2,11271,7812.6566147999993,1,VSM.StaticRaster,7168,1
2,11271,7812.6566147999993,1,VSM.FinalizePages,2304,1
2,11271,7812.6566147999993,1,VSM.DynamicRaster,12288,1
2,11271,7812.6566147999993,1,VSM.UnityCompatibilityRaster,0,0
2,11271,7812.6566147999993,1,VSM.Resolve,6165760,1
2,11271,7812.6566147999993,1,VSM.ResolveTrace,5938944,1
2,11271,7812.6566147999993,1,VSM.FilterHorizontal,67072,1
2,11271,7812.6566147999993,1,VSM.FilterVertical,0,0
2,11271,7812.6566147999993,1,VSM.FilterTemporalVertical,158208,1
3,11272,7812.6751154999993,1,VSM.PageOccupancy,56320,1
3,11272,7812.6751154999993,1,VSM.LayoutRemap,2560,1
3,11272,7812.6751154999993,1,VSM.ResetFeedback,2048,1
3,11272,7812.6751154999993,1,VSM.MarkReceiverPages,681216,1
3,11272,7812.6751154999993,1,VSM.Allocate,937984,1
3,11272,7812.6751154999993,1,VSM.InvalidateStatic,0,0
