observation,camera_frame_observed,editor_time_observed,vsm_active_observed,marker,gpu_ns,gpu_sample_count
0,8567,7756.1752098,1,VSM.PageOccupancy,59648,1
0,8567,7756.1752098,1,VSM.LayoutRemap,0,1
0,8567,7756.1752098,1,VSM.ResetFeedback,0,1
0,8567,7756.1752098,1,VSM.MarkReceiverPages,1004544,1
0,8567,7756.1752098,1,VSM.Allocate,228864,1
0,8567,7756.1752098,1,VSM.InvalidateStatic,0,0
0,8567,7756.1752098,1,VSM.ClearPhysicalPages,91392,1
0,8567,7756.1752098,1,VSM.StaticCasterCull,66560,1
0,8567,7756.1752098,1,VSM.DynamicCasterCull,0,1
0,8567,7756.1752098,1,VSM.PageCull,47360,1
0,8567,7756.1752098,1,VSM.StaticRaster,7168,1
0,8567,7756.1752098,1,VSM.FinalizePages,1536,1
0,8567,7756.1752098,1,VSM.DynamicRaster,12800,1
0,8567,7756.1752098,1,VSM.UnityCompatibilityRaster,0,0
0,8567,7756.1752098,1,VSM.Resolve,6981632,1
0,8567,7756.1752098,1,VSM.ResolveTrace,6753792,1
0,8567,7756.1752098,1,VSM.FilterHorizontal,67584,1
0,8567,7756.1752098,1,VSM.FilterVertical,0,0
0,8567,7756.1752098,1,VSM.FilterTemporalVertical,159232,1
1,8568,7756.1946388999995,1,VSM.PageOccupancy,59392,1
1,8568,7756.1946388999995,1,VSM.LayoutRemap,0,1
1,8568,7756.1946388999995,1,VSM.ResetFeedback,0,1
1,8568,7756.1946388999995,1,VSM.MarkReceiverPages,646912,1
1,8568,7756.1946388999995,1,VSM.Allocate,224512,1
1,8568,7756.1946388999995,1,VSM.InvalidateStatic,0,0
1,8568,7756.1946388999995,1,VSM.ClearPhysicalPages,90624,1
1,8568,7756.1946388999995,1,VSM.StaticCasterCull,431872,1
1,8568,7756.1946388999995,1,VSM.DynamicCasterCull,0,1
1,8568,7756.1946388999995,1,VSM.PageCull,49664,1
1,8568,7756.1946388999995,1,VSM.StaticRaster,8704,1
1,8568,7756.1946388999995,1,VSM.FinalizePages,2560,1
1,8568,7756.1946388999995,1,VSM.DynamicRaster,15616,1
1,8568,7756.1946388999995,1,VSM.UnityCompatibilityRaster,0,0
